gene	log_min	log_max
Pms1	-14.757368	-11.30349
Ormdl1	-13.445181	-9.9913025
Osgepl1	-13.039716	-9.585837
Asnsd1	-12.791255	-9.337377
Dnah7a	-16.703278	-13.249399
Stk17b	-11.993748	-8.539869
Hecw2	-14.911518	-11.45764
Gtf3c3	-12.919088	-9.46521
Pgap1	-13.09236	-9.638481
Ankrd44	-12.181489	-8.727611
Sf3b1	-10.256764	-6.8028865
Coq10b	-11.185824	-7.7319465
Hspd1	-10.59403	-7.1401525
Hspe1	-10.134498	-6.6806197
Mob4	-10.833981	-7.3801026
Rftn2	-11.097476	-7.643598
Gm10561	-12.781304	-9.327426
Mars2	-13.841077	-10.387198
Plcl1	-13.09236	-9.638481
Satb2	-14.563211	-11.109333
9130024F11Rik	-14.6883745	-11.234496
4930558J18Rik	-17.396425	-13.942547
1700066M21Rik	-14.029129	-10.575251
Tyw5	-12.677926	-9.224048
Maip1	-12.254762	-8.800883
Spats2l	-11.327999	-7.874121
Kctd18	-13.30208	-9.848202
Sgo2a	-14.563211	-11.109333
Aox1	-12.989706	-9.535828
Aox3	-14.100588	-10.646709
Aox2	-17.396425	-13.942547
Bzw1	-11.028237	-7.5743594
Clk1	-10.652366	-7.1984878
Ppil3	-12.447665	-8.993787
Nif3l1	-13.318888	-9.865009
Orc2	-12.7329855	-9.279107
Gm15834	-16.01013	-12.5562525
Fam126b	-11.289402	-7.835524
Ndufb3	-9.835824	-6.381946
Cflar	-11.082877	-7.628999
Casp8	-12.781304	-9.327426
Trak2	-11.588283	-8.134404
Stradb	-13.14793	-9.694052
Tmem237	-12.24893	-8.795052
G730003C15Rik	-15.316983	-11.863105
Mpp4	-17.396425	-13.942547
Als2	-14.451986	-10.998108
Cdk15	-16.297812	-12.843934
Fzd7	-12.170678	-8.7168
Sumo1	-10.817174	-7.363296
Nop58	-11.67284	-8.218962
Bmpr2	-10.83681	-7.382932
Fam117b	-12.863826	-9.409947
Ica1l	-16.01013	-12.5562525
Wdr12	-12.742465	-9.288587
Carf	-13.682853	-10.228974
Nbeal1	-10.212554	-6.758676
Cyp20a1	-12.186939	-8.733061
Abi2	-11.984779	-8.530901
Raph1	-11.360944	-7.907066
2310016D23Rik	-16.703278	-13.249399
Ctla4	-17.396425	-13.942547
Pard3b	-12.170678	-8.7168
Pard3bos1	-16.297812	-12.843934
Nrp2	-14.911518	-11.45764
Ino80d	-11.835743	-8.381865
Ino80dos	-14.138329	-10.68445
Gm20342	-13.407441	-9.953563
Ndufs1	-11.783297	-8.329418
Eef1b2	-9.218066	-5.764189
Zdbf2	-14.218371	-10.764493
Fastkd2	-13.4646	-10.010721
Klf7	-10.783041	-7.329163
Creb1	-11.5733795	-8.119501
Mettl21a	-13.014399	-9.56052
2810408I11Rik	-14.757368	-11.30349
Ccnyl1	-13.785507	-10.331629
Fzd5	-12.260627	-8.806748
Plekhm3	-13.039716	-9.585837
Idh1	-11.967079	-8.513201
Pikfyve	-12.48377	-9.029892
Map2	-14.305383	-10.851504
Rpe	-12.138929	-8.685051
Kansl1l	-11.878972	-8.425094
Acadl	-10.969936	-7.5160584
Myl1	-16.703278	-13.249399
Lancl1	-12.035132	-8.581254
Erbb4	-14.757368	-11.30349
Gm29113	-17.396425	-13.942547
Ikzf2	-12.989706	-9.535828
Gm29112	-17.396425	-13.942547
Gm28112	-16.297812	-12.843934
Bard1	-15.09384	-11.639961
Atic	-12.016527	-8.562649
Fn1	-9.461195	-6.0073175
Apol7d	-16.703278	-13.249399
Mreg	-15.604666	-12.150787
Pecr	-12.977584	-9.5237055
Tmem169	-15.786987	-12.333109
Xrcc5	-12.7329855	-9.279107
Smarcal1	-13.001976	-9.548098
Rpl37a	-7.803751	-4.3498735
Igfbp2	-14.305383	-10.851504
Igfbp5	-12.346569	-8.892691
Tns1	-9.0735445	-5.619667
Arpc2	-9.311862	-5.8579845
Aamp	-10.896638	-7.44276
Pnkd	-10.874332	-7.4204545
Tmbim1	-11.438001	-7.9841228
Gm29358	-15.786987	-12.333109
Catip	-16.703278	-13.249399
Slc11a1	-16.703278	-13.249399
Ctdsp1	-11.2102165	-7.7563386
Usp37	-13.039716	-9.585837
Cnot9	-13.119759	-9.66588
Plcd4	-16.297812	-12.843934
Zfp142	-13.105966	-9.652087
Bcs1l	-13.222037	-9.768159
Rnf25	-13.407441	-9.953563
Stk36	-15.786987	-12.333109
Ttll4	-13.4646	-10.010721
Cyp27a1	-13.504604	-10.050726
Wnt6	-14.831475	-11.377597
Ihh	-14.6238365	-11.169958
Nhej1	-13.899918	-10.446039
Slc23a3	-16.703278	-13.249399
Cnppd1	-12.399213	-8.945334
Retreg2	-12.002797	-8.548919
Zfand2b	-12.346569	-8.892691
Abcb6	-14.6238365	-11.169958
Atg9a	-12.4547825	-9.000904
Ankzf1	-12.989706	-9.535828
Glb1l	-13.504604	-10.050726
Stk16	-11.339641	-7.8857627
Tuba4a	-12.521228	-9.067349
Dnajb2	-11.527128	-8.07325
Ptprn	-14.305383	-10.851504
Dnpep	-11.907487	-8.4536085
Des	-12.608933	-9.155055
Speg	-10.80338	-7.349502
Gmppa	-12.308828	-8.85495
Chpf	-11.496528	-8.042649
Obsl1	-13.078937	-9.625058
Tmem198	-15.450515	-11.996636
Inha	-15.199201	-11.745322
Stk11ip	-14.506053	-11.052175
Slc4a3	-12.10312	-8.649241
Epha4	-13.445181	-9.9913025
Sgpp2	-16.01013	-12.5562525
Farsb	-12.584241	-9.1303625
Mogat1	-17.396425	-13.942547
Acsl3	-12.771452	-9.317574
Utp14b	-13.682853	-10.228974
Kcne4	-12.23737	-8.783491
Wdfy1	-12.113221	-8.659343
Mrpl44	-12.811458	-9.357579
Serpine2	-8.319273	-4.865395
Cul3	-11.643852	-8.189974
Dock10	-15.199201	-11.745322
Irs1	-12.584241	-9.1303625
Rhbdd1	-12.669037	-9.215158
Col4a4	-12.742465	-9.288587
Col4a3	-13.635224	-10.181346
C430014B12Rik	-15.316983	-11.863105
Mff	-11.235218	-7.78134
Tm4sf20	-17.396425	-13.942547
Agfg1	-11.75807	-8.304192
A030005L19Rik	-17.396425	-13.942547
Slc19a3	-16.703278	-13.249399
Sphkap	-11.750978	-8.2971
Pid1	-11.477531	-8.023653
Trip12	-11.41501	-7.9611325
Fbxo36	-14.029129	-10.575251
Sp110	-13.426133	-9.972255
Sp140	-13.078937	-9.625058
Sp100	-15.604666	-12.150787
A630001G21Rik	-16.297812	-12.843934
Cab39	-10.871395	-7.417517
Itm2c	-9.976445	-6.5225673
Psmd1	-10.853953	-7.4000754
Armc9	-13.589763	-10.135884
Ncl	-9.649692	-6.195814
C130036L24Rik	-14.6883745	-11.234496
Ptma	-8.185285	-4.731407
Pde6d	-11.786953	-8.333075
Cops7b	-13.335982	-9.882104
Nppc	-16.297812	-12.843934
Dis3l2	-13.371074	-9.917195
Gm29055	-16.297812	-12.843934
Gm28375	-17.396425	-13.942547
Chrng	-17.396425	-13.942547
Eif4e2	-11.685998	-8.23212
Efhd1	-11.047286	-7.593408
Gigyf2	-11.801714	-8.347836
Kcnj13	-15.786987	-12.333109
Snorc	-12.426612	-8.9727335
Ngef	-12.930517	-9.476639
Neu2	-16.703278	-13.249399
Inpp5d	-17.396425	-13.942547
Atg16l1	-12.677926	-9.224048
Sag	-16.01013	-12.5562525
Dgkd	-12.568111	-9.114233
Usp40	-13.269291	-9.8154125
Dnajb3	-16.703278	-13.249399
Mroh2a	-17.396425	-13.942547
Hjurp	-11.809176	-8.355298
Arl4c	-13.635224	-10.181346
Sh3bp4	-12.48377	-9.029892
Agap1	-12.498585	-9.044706
Gm28499	-16.703278	-13.249399
Ackr3	-11.794306	-8.340427
Cops8	-11.472169	-8.0182905
Gm9991	-15.786987	-12.333109
Col6a3	-10.644155	-7.1902766
Mlph	-16.01013	-12.5562525
Rab17	-15.786987	-12.333109
Lrrfip1	-9.802547	-6.3486695
Rbm44	-14.506053	-11.052175
Ramp1	-9.375826	-5.921948
Ube2f	-11.816695	-8.362817
Scly	-13.335982	-9.882104
Klhl30	-13.426133	-9.972255
Ilkap	-11.422615	-7.968737
Hes6	-12.365987	-8.912108
Per2	-12.5522375	-9.098359
Traf3ip1	-13.105966	-9.652087
Asb1	-13.133745	-9.679867
Gm29100	-17.396425	-13.942547
Twist2	-13.682853	-10.228974
Gm29101	-16.01013	-12.5562525
Hdac4	-12.002797	-8.548919
Ndufa10	-11.033397	-7.579519
Cops9	-10.152198	-6.69832
Gpc1	-12.874637	-9.420758
Ankmy1	-14.563211	-11.109333
Dusp28	-12.761696	-9.307817
5033417F24Rik	-15.786987	-12.333109
Rnpepl1	-12.33383	-8.8799515
9430060I03Rik	-15.450515	-11.996636
Capn10	-13.445181	-9.9913025
Kif1a	-11.936839	-8.482961
Sned1	-12.977584	-9.5237055
Mterf4	-13.3890915	-9.935213
Gm28535	-17.396425	-13.942547
Pask	-15.786987	-12.333109
Ppp1r7	-11.809176	-8.355298
Hdlbp	-10.313037	-6.859159
Sept2	-13.105966	-9.652087
Farp2	-13.4646	-10.010721
Stk25	-11.736942	-8.283064
Bok	-13.285551	-9.831673
Thap4	-13.30208	-9.848202
Atg4b	-12.372544	-8.918666
Dtymk	-11.397489	-7.9436107
Ing5	-12.513623	-9.059745
D2hgdh	-14.351903	-10.898025
Gal3st2b	-16.703278	-13.249399
Gal3st2c	-17.396425	-13.942547
Fam174a	-10.950706	-7.4968276
D1Ertd622e	-13.176917	-9.723039
Ppip5k2	-13.353374	-9.899495
Gin1	-12.885566	-9.431687
Pam	-8.819266	-5.3653884
B230216N24Rik	-13.133745	-9.679867
1810006J02Rik	-16.703278	-13.249399
Rnf152	-16.297812	-12.843934
Pign	-13.995228	-10.541349
Relch	-12.521228	-9.067349
Tnfrsf11a	-12.965609	-9.51173
Gm7160	-15.450515	-11.996636
Zcchc2	-13.4646	-10.010721
Phlpp1	-13.001976	-9.548098
Bcl2	-11.134933	-7.6810555
Kdsr	-12.133735	-8.679856
Vps4b	-11.656632	-8.202754
Serpinb8	-13.371074	-9.917195
Cdh19	-16.297812	-12.843934
Dsel	-12.0540905	-8.600212
Tsn	-10.538911	-7.085033
Nifk	-12.5366125	-9.082734
Clasp1	-12.039839	-8.58596
2900060B14Rik	-13.371074	-9.917195
Tfcp2l1	-17.396425	-13.942547
Gli2	-12.695945	-9.242066
Gm26831	-17.396425	-13.942547
Inhbb	-15.604666	-12.150787
Ralb	-12.073415	-8.619536
Tmem185b	-13.426133	-9.972255
Epb41l5	-13.504604	-10.050726
Ptpn4	-13.133745	-9.679867
Tmem177	-14.100588	-10.646709
Tmem37	-15.786987	-12.333109
Dbi	-9.117996	-5.664119
3110009E18Rik	-13.237542	-9.783664
Steap3	-11.932593	-8.478715
Insig2	-10.867006	-7.4131284
2210011K15Rik	-17.396425	-13.942547
Ccdc93	-13.335982	-9.882104
Ddx18	-11.507547	-8.053669
Dpp10	-14.506053	-11.052175
Actr3	-10.373557	-6.919679
Slc35f5	-12.43358	-8.979702
Gpr39	-15.450515	-11.996636
Lypd1	-16.297812	-12.843934
Mgat5	-12.243134	-8.789255
2900009J06Rik	-14.260931	-10.807053
Ccnt2	-12.260627	-8.806748
Map3k19	-16.703278	-13.249399
Rab3gap1	-11.805438	-8.35156
Zranb3	-14.260931	-10.807053
R3hdm1	-11.567479	-8.113601
Ubxn4	-10.700626	-7.2467484
Mcm6	-12.392479	-8.938601
Dars	-11.801714	-8.347836
Thsd7b	-17.396425	-13.942547
Cd55b	-17.396425	-13.942547
Gm15675	-16.703278	-13.249399
Cd55	-13.4646	-10.010721
Pfkfb2	-14.6883745	-11.234496
Yod1	-12.832077	-9.378199
AA986860	-14.998529	-11.544651
Mapkapk2	-11.659853	-8.205975
Eif2d	-12.608933	-9.155055
Rassf5	-14.911518	-11.45764
Ikbke	-13.930689	-10.47681
Gm28913	-16.703278	-13.249399
Srgap2	-12.528891	-9.075012
Gm29488	-17.396425	-13.942547
Fam72a	-15.199201	-11.745322
Rab7b	-16.703278	-13.249399
Slc41a1	-12.48377	-9.029892
Rab29	-13.318888	-9.865009
Nucks1	-10.508872	-7.054994
Slc45a3	-14.177549	-10.723671
Elk4	-12.284437	-8.830559
Mfsd4a	-13.176917	-9.723039
Cdk18	-17.396425	-13.942547
Klhdc8a	-16.703278	-13.249399
Nuak2	-17.396425	-13.942547
Tmcc2	-13.841077	-10.387198
Dstyk	-12.154678	-8.7008
6030442K20Rik	-16.01013	-12.5562525
Rbbp5	-13.635224	-10.181346
Tmem81	-15.09384	-11.639961
Nfasc	-13.930689	-10.47681
Lrrn2	-14.911518	-11.45764
Mdm4	-11.719671	-8.265793
Pik3c2b	-13.567783	-10.113905
