gene,male_acrophase_hour,female_acrophase_hour,circular_distance_hour,average_acrophase_hour,average_acrophase_rad,male_bf_log10,female_bf_log10
Acot13,7.74,8.97,1.23,8.35,2.1868,2.89,2.57
Dbp,12.42,12.91,0.49,12.66,3.3155,40.32,18.24
Fkbp5,12.34,11.54,0.81,11.94,3.1259,8.07,5.69
Nr1d2,11.16,12.58,1.42,11.87,3.107,4.89,5.2
Retnla,2.79,23.97,2.82,1.38,0.3611,12.31,4.53
