gene,male_acrophase_hour,female_acrophase_hour,circular_distance_hour,average_acrophase_hour,average_acrophase_rad,male_bf_log10,female_bf_log10
Ckb,5.42,6.36,0.94,5.89,1.5425,32.74,586.78
Clock,0.55,0.02,0.53,0.28,0.0736,283.22,135.42
Cmtm6,0.8,0.8,0.0,0.8,0.2088,7.99,32.29
Cmtm8,9.28,8.39,0.89,8.84,2.3136,9.25,2.2
Col27a1,15.79,15.79,0.0,15.79,4.1349,179.98,88.88
Coq10b,10.98,12.14,1.16,11.56,3.0262,341.35,177.91
Crybg3,0.38,23.94,0.43,0.16,0.0422,459.1,141.61
Cyp1b1,22.06,21.22,0.84,21.64,5.6651,29.27,7.56
Cyp2j6,9.1,6.47,2.63,7.79,2.0385,7.94,2.52
Cyp51,21.0,18.63,2.36,19.81,5.1874,279.13,200.71
Cys1,15.33,15.37,0.04,15.35,4.0183,1365.4,617.95
Dapk1,0.18,2.17,1.99,1.17,0.3071,15.78,2.99
Dapk2,0.92,1.99,1.07,1.45,0.3808,20.43,72.86
Dbp,10.31,9.88,0.43,10.09,2.6422,9707.44,9488.21
Ddx17,23.14,21.32,1.83,22.23,5.8202,118.75,88.67
Dgat2,10.42,11.42,1.0,10.92,2.8583,61.5,26.34
Dnajb2,20.71,19.49,1.22,20.1,5.2609,112.18,36.02
Dnajc10,16.2,18.74,2.54,17.47,4.5731,16.74,38.03
Dnajc12,10.77,8.06,2.7,9.42,2.4653,7.12,4.45
Dock10,15.11,15.22,0.11,15.16,3.9696,95.91,42.3
Dock5,14.64,15.74,1.1,15.19,3.9767,26.74,37.97
Dock8,17.32,17.33,0.01,17.32,4.5349,21.59,56.02
Dpysl2,14.55,14.85,0.3,14.7,3.8489,54.19,11.19
Dst,22.65,19.84,2.82,21.24,5.5618,36.86,133.4
Dusp14,11.02,10.61,0.41,10.82,2.8314,26.36,8.01
Dusp18,5.91,6.19,0.27,6.05,1.5839,19.61,2.99
E030013I19Rik,18.06,20.32,2.25,19.19,5.0239,402.75,310.73
E130006D01Rik,1.54,1.3,0.25,1.42,0.3715,19.57,8.88
Ect2l,12.47,11.84,0.63,12.15,3.1815,13.45,53.99
Eepd1,11.01,10.77,0.25,10.89,2.8511,8.49,28.85
Egln3,7.91,7.57,0.34,7.74,2.0261,11.97,15.07
Elmo1,14.04,14.92,0.88,14.48,3.7903,96.15,6.46
Eln,1.57,1.53,0.04,1.55,0.4051,2320.39,3054.01
Enpp4,11.58,11.44,0.13,11.51,3.0134,29.51,10.87
Epb41,15.64,15.2,0.44,15.42,4.0368,480.26,350.95
Ephx1,13.04,11.72,1.32,12.38,3.2413,457.7,280.25
Erf,7.92,10.19,2.28,9.05,2.3705,17.9,3.75
Etfbkmt,12.34,11.54,0.8,11.94,3.1267,49.12,49.51
Fabp3,10.39,10.5,0.11,10.45,2.7354,241.5,219.61
Fam107a,12.06,10.04,2.03,11.05,2.8929,245.06,113.42
Fam13a,12.79,11.21,1.58,12.0,3.1421,68.47,45.53
Fam13c,21.39,21.34,0.05,21.36,5.5926,50.07,169.89
Fas,0.3,23.34,0.96,23.82,6.2351,98.07,67.21
Fbxl22,5.62,5.55,0.07,5.58,1.4618,760.85,658.81
Fermt2,0.58,23.47,1.11,0.03,0.0066,294.3,84.47
