gene	log_min	log_max
Prdx1	-9.522336	-6.068458
Wasf1	-15.018003	-11.564125
Trmt44	-13.701138	-10.247259
Gm26682	-16.33368	-12.879802
Adap2	-18.731575	-15.277698
Paqr6	-12.715419	-9.26154
Plec	-10.99425	-7.5403724
Chtop	-11.423256	-7.969378
Hcar1	-16.497984	-13.044106
Lrrc61	-14.47833	-11.024451
Btbd3	-12.730161	-9.276282
Tyms	-13.529402	-10.075523
Rbpms2	-10.722434	-7.268556
Hoxc10	-11.378281	-7.9244027
Cyp1b1	-12.374311	-8.920433
Pcgf5	-10.864087	-7.410209
Gm10432	-16.42899	-12.975112
A630072M18Rik	-14.013077	-10.559198
Gm31462	-18.220749	-14.766871
Trim32	-12.965341	-9.511462
Zfp607a	-14.620702	-11.166823
Sla2	-17.884277	-14.4304
Insyn2a	-18.731575	-15.277698
Atg4b	-12.483533	-9.0296545
Gm49886	-16.785666	-13.331787
Mkrn2os	-18.731575	-15.277698
Polr3h	-12.875549	-9.421671
Psmc3	-10.316341	-6.8624635
Zfp873	-14.345391	-10.891513
Fanca	-18.443893	-14.990016
Alas2	-16.27484	-12.820962
Irf2bp1	-12.218841	-8.764962
Rhbdd1	-13.260707	-9.8068285
Ibtk	-12.362817	-8.908938
Clca3a1	-18.731575	-15.277698
5330438D12Rik	-14.396466	-10.942588
Camta1	-11.308405	-7.854527
Tmem259	-11.722167	-8.268289
Ddx51	-14.013077	-10.559198
Entr1	-12.674011	-9.220133
Gm35065	-17.527603	-14.073725
Adgrb1	-17.527603	-14.073725
Gm43387	-16.045998	-12.59212
Ackr2	-19.830187	-16.37631
Ankrd13a	-12.529716	-9.075837
Ppp2r5a	-11.197348	-7.7434697
Plcxd3	-12.753534	-9.299656
Lix1	-16.166626	-12.712748
Zfp280c	-13.59774	-10.143862
1190005I06Rik	-10.524537	-7.070659
Pdcd7	-12.202157	-8.748279
1700088E04Rik	-15.009907	-11.556028
Tceal9	-10.114718	-6.6608405
Atg4a	-13.04913	-9.595252
Skint8	-19.13704	-15.683162
Fam78b	-15.235068	-11.78119
Klrg2	-15.567508	-12.113629
Cyb5d1	-14.761284	-11.307405
Tecpr1	-12.567559	-9.113681
Usp13	-13.154365	-9.700486
Hist1h3a	-16.303827	-12.849949
Gm26739	-19.830187	-16.37631
Gm42504	-19.13704	-15.683162
Ivd	-11.944483	-8.490604
Dhx57	-12.94775	-9.493872
Atp1b1	-14.6826935	-11.228815
Gm6787	-18.038427	-14.58455
Edem1	-12.357119	-8.90324
Zdbf2	-14.978158	-11.52428
Fhl4	-16.57209	-13.118213
Pex11a	-13.903262	-10.449384
Snhg5	-12.805539	-9.351661
Swap70	-12.115511	-8.661633
Med31	-11.772494	-8.318616
Hvcn1	-18.443893	-14.990016
Mtss2	-11.538892	-8.085013
Bfar	-11.667102	-8.213223
Loxl3	-12.223304	-8.769425
Gm31812	-16.785666	-13.331787
Hist1h1a	-16.116615	-12.662738
Gm30556	-16.3962	-12.942323
Scfd2	-14.052536	-10.598658
Gemin6	-13.531239	-10.07736
Rnf220	-12.160226	-8.706347
Yme1l1	-11.217685	-7.763807
Cog4	-12.588106	-9.134228
Zfp551	-15.13884	-11.684961
Tsn	-10.598576	-7.1446977
Mto1	-13.303693	-9.849814
Parn	-12.527692	-9.073813
Ccser1	-19.830187	-16.37631
Ski	-10.557813	-7.103935
Itgbl1	-10.074273	-6.620395
Gm42903	-18.038427	-14.58455
Slc33a1	-12.814476	-9.360598
Gnl2	-12.305627	-8.851748
March8	-12.403044	-8.949165
Akna	-14.609832	-11.155953
Stx5a	-11.91411	-8.460232
Ttc39c	-14.143212	-10.689334
Dnph1	-16.694693	-13.240815
Myoz2	-13.13192	-9.678041
Topors	-11.725787	-8.271909
Creb3	-11.807947	-8.354069
Cebpa	-16.192602	-12.738724
Irgm1	-13.690304	-10.236425
Dock5	-12.751846	-9.297968
Gm42743	-17.19113	-13.737252
Pla2g4a	-11.588222	-8.134343
Wapl	-11.176717	-7.722839
Gm4221	-16.462893	-13.009014
Gm42681	-18.220749	-14.766871
Aarsd1	-11.621152	-8.1672735
Ippk	-13.405319	-9.951441
Btg2	-8.759666	-5.3057885
Ammecr1l	-12.611279	-9.1574
Gm37885	-15.352851	-11.8989725
Slc2a12	-14.95499	-11.501112
Plpp2	-13.13192	-9.678041
Fam160a2	-12.838092	-9.384213
Pigz	-17.432293	-13.978415
Phc1	-13.057108	-9.6032295
Zfyve1	-13.3656	-9.911721
Gm9796	-17.884277	-14.4304
Ctrl	-18.443893	-14.990016
Kdm4b	-13.280538	-9.826659
2900026A02Rik	-10.301176	-6.847298
Kdm4c	-12.45368	-8.999802
Ass1	-15.473479	-12.019601
Kif18a	-15.018003	-11.564125
Mpv17l	-12.674791	-9.220913
Samm50	-11.307212	-7.853334
Ythdf3	-11.769963	-8.316085
Cd276	-13.643979	-10.190101
Skp1a	-10.435944	-6.9820657
Ilf3	-12.208503	-8.754624
Aifm2	-13.413456	-9.959578
Sh3bp5	-16.068987	-12.615109
Sbk1	-14.526883	-11.073005
H6pd	-12.756071	-9.302193
Cradd	-13.244017	-9.790138
Mindy4	-14.3834505	-10.929572
Ago1	-12.213904	-8.760026
Fam161b	-14.648404	-11.194526
Wnt9b	-19.830187	-16.37631
Vps26b	-12.898716	-9.444838
Homer2	-16.996975	-13.543097
Eif2b2	-12.496511	-9.042633
Mall	-16.739145	-13.285267
Sbno1	-11.209897	-7.756019
Tceanc	-14.423017	-10.969138
Foxq1	-17.345282	-13.891403
Akap8l	-11.987516	-8.533638
Acss3	-18.731575	-15.277698
Zfp729a	-13.36872	-9.914842
Gm27028	-17.19113	-13.737252
Ldhb	-10.6519575	-7.1980796
Ppih	-13.406941	-9.953063
Slc37a2	-16.166626	-12.712748
4933427E11Rik	-19.830187	-16.37631
D3Ertd751e	-13.406941	-9.953063
Gm44698	-18.038427	-14.58455
Pias3	-12.69769	-9.243812
Zfp773	-16.068987	-12.615109
Tmem159	-12.165372	-8.7114935
Fcgr1	-19.13704	-15.683162
A730020E08Rik	-19.13704	-15.683162
Cd6	-17.432293	-13.978415
Gm43112	-16.939816	-13.485938
Gm44148	-16.885748	-13.43187
Gm16754	-16.996975	-13.543097
Tlr6	-16.092518	-12.63864
AI854703	-16.939816	-13.485938
Smc2	-12.890934	-9.437056
Cript	-11.132341	-7.6784635
Izumo1	-18.038427	-14.58455
Nop56	-11.682321	-8.228442
Atad3aos	-14.676896	-11.223018
C130046K22Rik	-16.739145	-13.285267
Trip12	-11.449961	-7.996083
Gm5141	-14.392109	-10.9382305
Gm29394	-16.023525	-12.569647
Sfmbt2	-14.3208	-10.866921
Lmod1	-8.635885	-5.1820073
4930509G22Rik	-16.996975	-13.543097
Gm38407	-19.13704	-15.683162
Usp37	-13.058252	-9.604374
Tmem214	-12.301856	-8.847978
Cmtm5	-18.220749	-14.766871
Fam126a	-12.776603	-9.322724
Cpa3	-15.423469	-11.96959
Nolc1	-11.911559	-8.457681
Gm49086	-18.038427	-14.58455
Psmc4	-10.983403	-7.5295253
Sgo1	-16.166626	-12.712748
Vps35l	-12.577426	-9.123548
2610027K06Rik	-14.445693	-10.991815
Pphln1	-12.871739	-9.417861
Mtmr14	-13.113593	-9.659715
Ttn	-16.497984	-13.044106
Zfp316	-13.716506	-10.262628
Mfsd4b1	-15.878944	-12.425066
Lgals9	-14.806308	-11.352429
Osr2	-18.220749	-14.766871
9230114K14Rik	-12.102653	-8.648774
Ebf4	-14.42751	-10.973632
Foxd2os	-16.3962	-12.942323
Pcna	-11.849822	-8.395944
Tomm40l	-12.957025	-9.503146
Kcnj12	-14.620702	-11.166823
Mmp23	-11.041138	-7.58726
Tmem150a	-12.777467	-9.323588
Gm43466	-15.225018	-11.771139
Zfp2	-13.771065	-10.317186
Kif21a	-15.0510645	-11.597186
Lrch2	-12.993929	-9.5400505
Coq4	-13.2101145	-9.756236
R3hdm1	-11.621424	-8.167545
B230369F24Rik	-13.946866	-10.492988
Dnajc3	-10.420915	-6.9670367
Zfp523	-12.903611	-9.449733
Desi2	-11.144096	-7.6902184
Gm11266	-13.864041	-10.410163
Cygb	-15.4994545	-12.045576
Vmn1r81	-18.443893	-14.990016
Fam219a	-13.61558	-10.161701
Agap3	-12.482888	-9.02901
Cgas	-14.49265	-11.038772
Gm9888	-19.13704	-15.683162
Tle2	-12.832592	-9.378714
Wipi2	-12.238831	-8.784952
Nr2c2	-11.955449	-8.501571
Gpn3	-12.459328	-9.005449
Nt5c3	-12.753534	-9.299656
Qrich1	-12.250509	-8.796631
Nup43	-13.895294	-10.441416
Vwa3a	-15.411347	-11.957469
Clptm1l	-11.566598	-8.11272
Serbp1	-9.592087	-6.1382093
Gm17746	-17.057598	-13.603721
Gm20939	-15.341552	-11.887673
Cd164l2	-19.13704	-15.683162
Zfp532	-12.59241	-9.138532
Nusap1	-16.116615	-12.662738
Ttc27	-13.782816	-10.328938
Tox	-15.473479	-12.019601
Gm44170	-18.443893	-14.990016
Mars2	-13.992457	-10.538579
Rgn	-18.731575	-15.277698
A730085K08Rik	-19.830187	-16.37631
Depdc7	-15.918165	-12.464287
Zfp689	-14.993906	-11.540028
Poc5	-13.270573	-9.816694
Gm11536	-19.13704	-15.683162
Yod1	-12.885137	-9.431258
Daam1	-11.500048	-8.046169
Kctd16	-14.761284	-11.307405
Eif6	-11.384276	-7.9303985
Gm47123	-14.362128	-10.90825
Ssh1	-12.241358	-8.787479
Inip	-13.465437	-10.011559
Gm41442	-16.996975	-13.543097
Ankrd26	-12.787902	-9.334023
Mndal	-16.001547	-12.547668
Cyyr1	-17.122137	-13.66826
Adnp2	-12.85852	-9.404641
H2-M9	-18.443893	-14.990016
Npw	-19.13704	-15.683162
2810442N19Rik	-18.220749	-14.766871
Gm26586	-17.057598	-13.603721
Apobec2	-16.246668	-12.79279
Gm45371	-17.527603	-14.073725
Shprh	-12.190064	-8.736186
Yif1a	-11.811563	-8.357684
Bin3	-13.621598	-10.16772
Cxcl2	-16.534351	-13.080473
Lgi4	-16.364452	-12.910574
Gm53	-15.719315	-12.265436
Thumpd2	-13.580213	-10.126334
Sowaha	-19.13704	-15.683162
Cenpj	-14.312736	-10.858857
Ppp1r16a	-13.402082	-9.948204
Gm15411	-16.739145	-13.285267
Abr	-12.401261	-8.947383
Manba	-12.933494	-9.479615
Atad3a	-12.949804	-9.495926
Gm44836	-18.443893	-14.990016
Fam234b	-14.184741	-10.730863
Sp100	-16.141308	-12.68743
Slc4a2	-12.292758	-8.83888
Zc3h7a	-12.045299	-8.59142
Timm50	-12.398296	-8.944418
Mir17hg	-15.085256	-11.631377
Usp16	-11.6557665	-8.201888
Gm50250	-18.443893	-14.990016
Timm29	-12.896765	-9.442886
Myo1a	-18.220749	-14.766871
AI504432	-17.527603	-14.073725
Akirin1	-11.798478	-8.3446
4933425L06Rik	-18.731575	-15.277698
Ces1d	-19.13704	-15.683162
Taf9	-16.534351	-13.080473
Hist2h2bb	-15.286893	-11.8330145
Nt5dc2	-15.11169	-11.657811
2900052L18Rik	-15.176228	-11.722349
Egfl7	-16.57209	-13.118213
Mtss1	-11.484495	-8.030617
Znrd1as	-13.3749895	-9.921111
Capza2	-10.262033	-6.8081555
A330076H08Rik	-16.694693	-13.240815
Cep290	-12.053653	-8.599774
Syngr2	-11.61221	-8.158332
4632404H12Rik	-15.375841	-11.921963
Zfp579	-13.705504	-10.251626
Dancr	-13.154365	-9.700486
Arl16	-12.857582	-9.403704
Cds2	-11.361345	-7.9074674
2310010J17Rik	-12.482888	-9.02901
Ano8	-14.096847	-10.642968
A230020J21Rik	-18.443893	-14.990016
Gm11541	-19.830187	-16.37631
Endog	-12.227787	-8.773909
Bnipl	-16.996975	-13.543097
Gm12522	-19.830187	-16.37631
Srp14	-10.2870245	-6.8331466
Ncoa4	-11.846748	-8.39287
Rpusd2	-15.36428	-11.910401
Gm26916	-18.038427	-14.58455
Gm29488	-15.687054	-12.233175
Mei4	-14.396466	-10.942588
Fam8a1	-11.898544	-8.444666
Srrd	-13.233043	-9.779164
Oit3	-18.731575	-15.277698
Epha3	-11.082042	-7.628164
Rpa2	-13.256508	-9.802629
Uevld	-13.256508	-9.802629
Slc26a6	-14.577914	-11.124036
Gm47112	-16.996975	-13.543097
Atf6	-12.217852	-8.763973
Canx	-10.387071	-6.9331927
Cep112it	-15.4863825	-12.032504
Kifc1	-16.885748	-13.43187
Spred1	-12.128535	-8.674657
Rpl21	-8.139811	-4.685933
BC049715	-17.432293	-13.978415
Aprt	-11.194678	-7.7408004
Gm45605	-15.375841	-11.921963
Rbmxl1	-12.210464	-8.756585
Pcdh10	-16.785666	-13.331787
Gosr2	-12.740111	-9.286233
Nr1d2	-11.66312	-8.209242
Eif4g2	-9.446529	-5.992652
Slc48a1	-10.931413	-7.477535
Btg3	-11.279173	-7.825295
Stap1	-16.834455	-13.380577
Thbs4	-19.13704	-15.683162
Ifit1	-16.092518	-12.63864
Hagh	-11.48402	-8.030142
Mrpl2	-11.95014	-8.496262
Nnat	-17.19113	-13.737252
Fam184b	-14.316759	-10.862881
AA465934	-15.581693	-12.127814
Gm16045	-17.265238	-13.81136
Gm3448	-15.46074	-12.006862
Nudt10	-15.042696	-11.588818
Mycbpap	-18.443893	-14.990016
Ereg	-13.405319	-9.951441
Amz2	-12.503065	-9.049187
Gpc1	-13.51122	-10.057342
Sp2	-13.031132	-9.577253
Mcc	-14.860374	-11.406496
Tcp11	-18.038427	-14.58455
Card6	-14.860374	-11.406496
Gm9747	-17.432293	-13.978415
Trim30a	-16.166626	-12.712748
Marcks	-13.410193	-9.956315
1700016F12Rik	-16.739145	-13.285267
Ctnna1	-10.347304	-6.8934264
Pnrc2	-11.764295	-8.310416
4930505N22Rik	-18.443893	-14.990016
Jade3	-15.059504	-11.605625
0610010F05Rik	-12.787902	-9.334023
Gprc5d	-19.830187	-16.37631
A630089N07Rik	-14.116455	-10.662577
1110038B12Rik	-13.022253	-9.568375
Mmp24	-18.220749	-14.766871
Gm12195	-19.13704	-15.683162
Teddm2	-15.276311	-11.8224325
Ppp1r16b	-19.13704	-15.683162
4930404I05Rik	-19.13704	-15.683162
Mc5r	-16.27484	-12.820962
Gm11715	-18.038427	-14.58455
Wdr27	-14.3748665	-10.920988
Fkbp10	-11.575399	-8.121521
Hdgf	-10.62205	-7.1681724
Pik3r3	-13.578284	-10.124406
Unc93b1	-14.445693	-10.991815
Map4k3	-12.64102	-9.187141
Ankrd1	-12.316479	-8.8626
Pak1ip1	-11.507794	-8.053916
Med20	-13.10156	-9.647681
Pan3	-12.307788	-8.8539095
Smarca4	-11.759282	-8.305404
Nup133	-13.20347	-9.749592
Fbln7	-11.148328	-7.69445
Cstf3	-12.371426	-8.917547
Pla2g15	-13.077918	-9.62404
Ptges	-19.13704	-15.683162
Rab3b	-17.057598	-13.603721
Lilrb4a	-18.731575	-15.277698
Tia1	-12.002548	-8.54867
Gm5144	-14.932348	-11.47847
Eomes	-19.830187	-16.37631
Tgfa	-17.632963	-14.179085
Cyth4	-17.750746	-14.296868
Mlec	-11.505366	-8.051488
Tsen15	-12.543312	-9.089434
Lrrc49	-13.949656	-10.495777
Acot11	-12.571775	-9.117897
Ctsl	-9.83782	-6.383942
Sos1	-12.486762	-9.032884
Gm10549	-15.878944	-12.425066
Jpx	-14.502312	-11.048433
A430110L20Rik	-16.57209	-13.118213
Klhl32	-16.3962	-12.942323
Orai2	-15.703053	-12.249175
Papolb	-19.13704	-15.683162
Lca5	-13.690304	-10.236425
Mfap3	-12.441242	-8.987364
Edn3	-19.13704	-15.683162
Sema3e	-14.95499	-11.501112
Abhd17c	-14.468896	-11.0150175
Olfr912	-19.13704	-15.683162
Rpsa	-8.355026	-4.901149
Nudt14	-13.504039	-10.05016
Tnfrsf13c	-18.443893	-14.990016
Bcl9l	-11.287327	-7.833449
Cdk9	-11.610862	-8.156983
Slc5a3	-12.459957	-9.006079
Ets2	-11.090491	-7.6366134
Elf4	-13.8287735	-10.374895
Pabpn1l	-19.830187	-16.37631
BC028471	-19.830187	-16.37631
Atl3	-10.792655	-7.338777
Ankrd29	-12.223801	-8.769922
Tspan13	-17.432293	-13.978415
Map3k15	-17.122137	-13.66826
Usp21	-13.342504	-9.888625
Gm43113	-16.652134	-13.198256
Zfp473	-16.996975	-13.543097
BC002059	-14.213417	-10.759539
2310002D06Rik	-16.834455	-13.380577
a	-19.13704	-15.683162
Nol6	-13.439947	-9.986069
Rbpms	-8.716264	-5.262386
Gm16272	-19.830187	-16.37631
Rasip1	-16.785666	-13.331787
Kcnj4	-19.13704	-15.683162
Cacna2d3	-17.632963	-14.179085
Pradc1	-13.038966	-9.585088
Ngef	-14.109877	-10.655998
Dhx38	-12.849182	-9.395304
Klhl42	-12.9821825	-9.528304
Gas8	-12.8189745	-9.365096
Runx2	-15.286893	-11.8330145
Ptprc	-17.527603	-14.073725
Gm28151	-16.834455	-13.380577
Tent5c	-13.439947	-9.986069
Fam172a	-11.950896	-8.497018
Napa	-11.37999	-7.9261117
Slc25a11	-11.785883	-8.332005
2610528A11Rik	-18.731575	-15.277698
Dlec1	-18.220749	-14.766871
Rpl10a	-8.60292	-5.149042
Baz2a	-12.316479	-8.8626
Gm44317	-17.632963	-14.179085
Uqcrh	-9.28978	-5.8359017
Zfp568	-12.398889	-8.94501
Cyhr1	-10.978668	-7.5247903
Sec24d	-11.164575	-7.7106967
Sgsm3	-13.69679	-10.242911
Eci1	-11.905393	-8.451514
Pdss1	-14.8262415	-11.372363
Ucn2	-18.443893	-14.990016
Casp12	-11.25002	-7.796142
Gls2	-16.534351	-13.080473
Gm36419	-18.443893	-14.990016
Fitm1	-16.045998	-12.59212
Gm30541	-15.423469	-11.96959
Ocln	-19.830187	-16.37631
Sgcd	-10.603679	-7.149801
Usp49	-14.11316	-10.659282
Osgin1	-14.767593	-11.313715
Chic2	-11.649307	-8.195429
Hsh2d	-19.830187	-16.37631
Zfp703	-12.329106	-8.875228
Hgf	-14.3748665	-10.920988
2310068J16Rik	-14.786763	-11.332885
Actg2	-10.182626	-6.728748
Atg12	-11.832189	-8.37831
Gm47424	-17.432293	-13.978415
1700001G11Rik	-16.739145	-13.285267
Tmem201	-13.773404	-10.319526
Barx1	-18.731575	-15.277698
Helz2	-14.432025	-10.978147
Hacl1	-13.204796	-9.750917
Phrf1	-12.609815	-9.155936
Zbtb11	-12.39475	-8.940871
Ipo13	-12.878416	-9.424538
Shq1	-14.536883	-11.083005
Appbp2	-11.624423	-8.170545
Arl9	-18.038427	-14.58455
AA388235	-18.731575	-15.277698
Gm10848	-13.54233	-10.088451
Csad	-11.837582	-8.383703
Ing4	-11.947495	-8.493617
Adora2b	-15.841204	-12.387325
Fastkd2	-13.392436	-9.938558
0610040F04Rik	-19.830187	-16.37631
Dennd5a	-11.393771	-7.9398932
1700049E15Rik	-17.19113	-13.737252
Uhrf2	-11.864295	-8.410417
Rps10	-8.248894	-4.795016
Gpr34	-17.345282	-13.891403
Cdk5rap1	-14.049444	-10.595566
Mical2	-10.750526	-7.2966485
Srpx	-15.018003	-11.564125
Pign	-13.851302	-10.397424
Scyl1	-11.858067	-8.404188
Gm49980	-14.025053	-10.571175
Egln1	-11.891386	-8.437508
AW047730	-17.750746	-14.296868
Nptxr	-12.764575	-9.310697
Mrps26	-11.778528	-8.32465
Camsap3	-15.703053	-12.249175
Gm4316	-18.731575	-15.277698
Gabarapl2	-10.624057	-7.170179
Letm1	-12.053234	-8.599356
C87436	-12.65317	-9.199291
Fbxo30	-10.918254	-7.464376
Gm14209	-18.038427	-14.58455
Gm20300	-12.808211	-9.354333
Plaat1	-15.042696	-11.588818
Zfp677	-14.277228	-10.82335
Tril	-13.300769	-9.84689
Ddx19b	-13.732114	-10.278235
Clec2l	-19.830187	-16.37631
Tmigd1	-18.731575	-15.277698
1810008B01Rik	-17.057598	-13.603721
Lrp10	-11.543163	-8.089285
Olfr775	-19.13704	-15.683162
Nt5c2	-12.250509	-8.796631
Adora1	-15.980041	-12.526162
Zfp354c	-12.451804	-8.997926
Card10	-16.834455	-13.380577
Purg	-13.3440275	-9.890149
Mttp	-14.541921	-11.088042
Snx24	-11.9159355	-8.462057
Scarb2	-10.747567	-7.2936893
Khdc4	-12.541944	-9.088065
L3mbtl2	-13.68815	-10.234272
Gm16141	-15.352851	-11.8989725
Rpl30	-8.136609	-4.682731
Med30	-11.864642	-8.410764
Vangl1	-13.072094	-9.618216
Gm36584	-18.220749	-14.766871
Prkcz	-15.286893	-11.8330145
Fam24b	-18.443893	-14.990016
Ift81	-11.9247465	-8.470868
Eno1	-11.030526	-7.576648
Hydin	-19.830187	-16.37631
Cdc42bpa	-11.169067	-7.7151895
Atp5g3	-10.102841	-6.6489635
Efcab11	-18.443893	-14.990016
Ppp3cb	-11.404452	-7.9505744
Gm50410	-16.57209	-13.118213
Gm28119	-15.898362	-12.444484
Ube3a	-10.641889	-7.1880107
Palm	-12.178118	-8.724239
Rbm27	-11.5741	-8.120221
Sntb1	-12.508338	-9.05446
Rasgef1a	-17.057598	-13.603721
Pdlim1	-9.783033	-6.3291554
Rem2	-19.13704	-15.683162
Atpsckmt	-13.067458	-9.61358
Rnaseh2c	-11.067855	-7.613977
F2	-17.884277	-14.4304
Slc2a9	-16.996975	-13.543097
Gm45890	-16.33368	-12.879802
Snx11	-13.402082	-9.948204
Clec2e	-17.750746	-14.296868
