tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
Nr2e3 (mouse),7,Ppfia4;Caprin2;Sphk1;Dpp9;Marcksl1;Gpr146;Zdhhc23,3.4285714285714284,4,7.1149811022917895,4.517294372788282,9.0
FOXD1 (human),7,Lrch1;Tef;Gnl1;Hebp2;Ythdf2;Mamdc2;Acan,3.4285714285714284,6,12.515943963036353,4.387732684563412,13.0
PPARA (human),11,Slc50a1;Baz1b;Rara;Timp1;Rarres1;Pf4;Ndufv3;Hmgcs2;Mast4;Palld;Asph,3.2727272727272725,7,18.77443246010542,6.866238950616409,15.0
FEV (human),11,Cd74;Slc16a1;Rfx2;Papss2;Hes6;Ccnb1ip1;Cacnb2;Bmf;Gnl1;Serinc1;Spty2d1,3.2727272727272725,6,6.952666700613477,5.485016661902498,13.0
AP1 (mouse),11,Necap2;Plxnd1;Gga2;Flrt1;Ephx1;Sqle;Arsg;Tsc22d3;Phactr3;Spsb1;Sertad4,3.2727272727272725,4,13.587242518423746,7.036552736702134,9.0
SREBF1 (mouse),68,Pdgfc;Sdf2l1;Adam33;Slco3a1;Hsp90b1;Slc9a3r1;Ece1;Hnrnpa1;Flywch2;Akr1c14;Actr3b;Herpud1;Enpp4;Nav2;Rnd3;St3gal5;Fdft1;Tmem229b;Snrpn;Hmgcs1;Adamts8;Cyp2u1;Arrdc2;Arrdc4;Ifit3;Vwc2;Col6a6;Idi1;Stard4;Rfx2;Prex2;Lrg1;Hat1;Mapkapk3;Has3;Vbp1;Capzb;Mmab;Cd14;Ptprf;Cetn3;Stk35;Rpa3;Per3;Per1;Mid1;Slc1a4;Fdps;Prnp;Sfpq;Eepd1;Slc16a11;Adnp2;Sulf1;Plcl1;Cyp4f14;Ak4;Serpini1;Itpr2;Dusp18;Klf9;Clec2d;Arntl;Gng10;Sgk1;Stip1;Hspa5;Grcc10,3.1764705882352944,6,14.070489615016303,5.282458238353303,13.0
NR1H2 (human),24,Psmd9;Nr1d2;Fasn;Lxn;Alkbh7;Mrpl27;Pxmp2;Timp1;Mcm5;Col14a1;C1galt1c1;Aimp2;Gcdh;Pdk4;Sec14l1;Socs2;Elmo1;Ubxn2b;Idh2;A4galt;Chid1;Pik3ip1;Camk2b;Spata24,3.0,5,13.139206743115025,4.491540802289306,11.0
HNF4A (mouse),16,Fzd4;Nr1d2;Eln;Cdkn2b;Tmem229b;Il4ra;Adamts12;Irx3;Mcoln1;Akr1c14;Scn2b;Stip1;Scd2;Zfp36l1;Rasd1;Plat,3.0,0,20.494185652695606,6.516283066687646,1.0
STAT1 (human),60,Necap2;Frzb;Bmf;Actn2;Flywch2;Dync1i2;Nrp1;Sh3rf1;Prdm6;Ccnb1ip1;Etv1;Nav2;Gnl1;Gas7;Fkbp5;Plxnd1;Papss2;Bcl6;Amfr;Hsbp1l1;Vgll3;Pdk4;Cited4;Fgfr2;Lpl;Wnt16;Grhpr;Dbp;Clock;Thra;Stard3;Lrg1;Lrrc17;Fam13a;Capzb;Mmab;Tpd52l1;Ephb6;Upp2;Anln;Fdps;Prnp;Vcan;Pdlim4;Sytl5;Gramd4;Abhd11;Ndp;Tmtc1;Arl6ip5;Banp;Aldoa;Gdf15;Npy1r;Gnpda1;Steap3;Ephx1;Smad7;Ncald;Pde4b,3.0,6,13.374325934080233,6.9969109667740845,13.0
SOX10 (mouse),12,Tob2;Ythdf2;Ppp1r15a;Insig1;Baiap2;Serinc3;Unc5d;Dclk1;Mapk12;Hist3h2a;Hist1h2ap;Ddit3,3.0,7,14.179441464316348,5.0003565875561815,15.0
NFYA (mouse),66,Pdgfc;Sdf2l1;Adam33;Slco3a1;Hsp90b1;Slc9a3r1;Hnrnpa1;Flywch2;Herpud1;Enpp4;Etv1;Nav2;Rnd3;St3gal5;Fdft1;Tmem229b;Snrpn;Yipf4;Hmgcs1;Mcm5;Adamts8;Cyp2u1;Arrdc2;Arrdc4;Ifit3;Pdk4;Magt1;Vwc2;Col6a6;Cdh18;Idi1;Stard4;Rfx2;Prex2;Tmem97;Fam13a;Vbp1;Capzb;Mmab;Ereg;Capsl;Ptprf;Cetn3;Stk35;Rpa3;Per3;Per1;Fdps;Prnp;Sfpq;Adnp2;Sulf1;Plcl1;Cyp4f14;Ak4;Itpr2;Dusp18;Klf9;Clec2d;Arntl;Gng10;Hist1h3e;Sgk1;Stip1;Trip10;Hspa5,2.909090909090909,6,14.751656816171938,5.528177568644351,13.0
MYOG (mouse),88,Pkig;Pdgfc;Oplah;Mmp15;Rapgef5;Shd;Mecom;Kcnd3;Kcnk1;Khdrbs3;Ech1;Hhip;Gab1;Kcns3;Neu2;Tcap;Nrp1;Higd1a;Cytl1;Adcy7;Flrt1;Nr1d1;Kitl;Gas7;Zfp365;Snrpn;Tle6;Glt8d2;Ppef1;Angpt2;Adamts8;Ifitm3;Apcdd1;Cbfa2t3;Klhdc8b;Slc22a4;Gse1;Wnt5a;Cdk2ap1;Rasd1;Cyp2j6;Lonrf3;Tmem82;Ngef;Sncg;Pacsin2;Cgnl1;Mapkapk3;Slc25a34;Rnaseh2b;Il4ra;Sat1;Dst;Tmem86a;Tspan9;Ptprm;Sertad4;Plvap;Perp;Inhbb;Npr3;Wnt4;Eepd1;Prr7;Mthfr;Slc6a7;Eln;Rnf152;Fam71e1;Sbsn;Fam107a;Rhobtb1;Tmsb10;Smarcd2;F8a;Sost;Cdo1;Manf;Sox9;Rhoc;Aldoa;Rhou;Igsf9;Acvrl1;Podn;Serp2;Cilp2;Hist2h2be,2.8636363636363638,6,13.708591073040873,5.549325144859618,13.0
FOXJ1 (human),59,Stard3;Pkig;Pdgfc;Alkbh7;Sult1a1;Bik;Rnaseh2b;Jam2;Map3k6;Synpo2l;Pmvk;Tspan15;Slc25a14;Hnrnpa1;Ech1;Capsl;Ikzf2;Il16;Tfap4;Dync1i2;Capg;Herpud1;Mid1;Proca1;Ccnb1ip1;Bmp3;Mast4;Fam98b;Lama2;Spata24;Serpine1;Nr1d1;Slc6a7;Gas7;Rnf145;Spty2d1;Sulf1;Snrpn;Cacnb2;Notch3;Fam107a;Klf9;Ang;Syne1;Nceh1;Rps21;Vgll4;Dpf1;Sgk1;Igsf9;Stip1;Mpp2;Vwc2;Idh2;Lox;Grhpr;H2afv;Slc4a8;Ddit3,2.8474576271186445,6,12.866345586354651,5.884039947570353,13.0
