gene,acrophase_hour,acrophase_rad,bf_log10,expected_mesor
Caprin2,3.48,0.9121,13.32,-12.2221
Capsl,12.2,3.194,14.65,-13.3696
Capzb,10.53,2.757,14.81,-8.2193
Car11,16.14,4.225,8.59,-10.7859
Casq1,9.4,2.4604,3.86,-10.12
Cbfa2t3,2.2,0.5754,6.34,-11.6242
Ccdc107,4.29,1.1223,321.69,-8.6677
Ccdc112,0.83,0.2166,139.83,-10.9101
Ccdc42os,1.25,0.3263,24.12,-12.4432
Ccdc60,2.9,0.7603,19.0,-12.8227
Ccdc69,1.02,0.268,26.12,-10.8485
Ccdc71l,12.91,3.3793,257.08,-10.9026
Ccdc80,14.27,3.7347,66.53,-8.5154
Cck,4.81,1.2582,30.93,-12.5701
Ccn2,21.69,5.6786,1902.8,-6.1935
Ccn5,18.69,4.8937,376.43,-8.9261
Ccnb1ip1,3.69,0.9668,66.91,-13.2036
Cct7,19.1,5.0016,11.6,-8.668
Cd14,14.79,3.871,12.7,-13.4671
Cd200,10.13,2.653,81.65,-7.2148
Cd74,7.73,2.0226,33.02,-12.8492
Cd9,7.72,2.0202,642.92,-6.9909
Cdc14a,10.44,2.7344,38.1,-11.0337
Cdc25b,9.29,2.433,38.08,-12.079
Cdc42ep4,12.35,3.2319,11.32,-11.0235
Cdh18,3.23,0.8465,2.41,-12.7605
Cdh2,17.14,4.4868,3.94,-12.6225
Cdh3,1.56,0.4091,2.43,-12.2852
Cdk14,18.99,4.9717,26.0,-11.7528
Cdk2,11.25,2.9458,3.76,-12.2105
Cdk2ap1,13.1,3.4296,69.94,-10.5861
Cdkl5,17.86,4.6754,72.89,-9.2733
Cdkn1a,1.28,0.3349,334.37,-9.7567
Cdkn2b,22.98,6.015,46.96,-12.0743
Cdkn2c,13.38,3.5019,30.21,-11.6991
Cdo1,13.15,3.4418,40.58,-9.289
Cebpb,12.49,3.2695,786.74,-9.32
Cebpd,12.52,3.2768,389.65,-9.3117
Cers6,20.93,5.4794,5.83,-13.0853
Cetn3,12.94,3.3867,162.49,-8.8792
Cfap45,3.86,1.0093,11.03,-13.7103
Cgnl1,18.06,4.7277,31.04,-10.8329
Chchd10,10.31,2.6993,51.53,-10.914
Chchd6,5.19,1.3596,21.62,-10.6764
Chid1,20.28,5.3093,6.94,-11.3804
Chmp4c,17.95,4.7,12.41,-9.5925
Chst2,18.27,4.7833,3.66,-11.5947
Ciart,11.41,2.9881,472.99,-13.0819
Cilp2,12.19,3.1916,17.32,-12.3528
Cirbp,9.19,2.4063,362.22,-9.4898
Cited4,23.84,6.2424,28.72,-12.7313
Ckb,5.42,1.4194,32.74,-8.0215
Clec2d,13.37,3.5005,281.01,-10.9639
Clock,0.55,0.1431,283.22,-9.8712
Cmtm6,0.8,0.2084,7.99,-10.8893
Cmtm8,9.28,2.4304,9.25,-12.6487
Cnn1,23.84,6.24,26.02,-6.4579
Cnn3,13.69,3.5842,55.45,-7.9822
Col14a1,8.08,2.1154,74.8,-9.4975
Col15a1,9.74,2.5507,69.93,-8.6207
Col23a1,7.32,1.9171,3.82,-13.0778
Col27a1,15.79,4.1351,179.98,-10.8289
Col6a6,6.74,1.7635,22.08,-12.557
Colec11,7.07,1.8502,4.25,-13.0552
Commd8,13.21,3.4581,39.22,-10.3107
Coq10b,10.98,2.8744,341.35,-9.3618
Cpne5,4.43,1.1605,9.87,-13.7902
Cpt1a,5.59,1.463,14.31,-10.598
Cpxm1,19.8,5.1844,3.7,-12.3693
Creb3l1,0.12,0.0309,37.67,-10.2702
Creld1,18.95,4.96,2.31,-10.1109
Creld2,21.44,5.6127,12.29,-10.6825
Crhr2,16.65,4.359,4.11,-12.4609
Crispld2,8.79,2.3,65.9,-8.8199
Crybg3,0.38,0.0989,459.1,-10.6339
Csf1,11.6,3.0375,36.34,-10.4549
Csrnp1,5.29,1.3851,21.85,-10.8566
Cstad,8.69,2.2738,2.24,-12.3545
Cyb561,13.72,3.5923,244.47,-10.3291
Cyp1b1,22.06,5.7754,29.27,-11.2275
Cyp26b1,9.06,2.3712,12.83,-12.0141
Cyp2j6,9.1,2.3831,7.94,-12.599
Cyp2u1,13.44,3.5188,2.32,-12.25
Cyp39a1,15.2,3.9803,24.76,-12.174
Cyp4f14,15.78,4.1303,8.81,-13.3242
Cyp51,21.0,5.4968,279.13,-10.3175
Cys1,15.33,4.0126,1365.4,-9.9435
Cytl1,11.52,3.016,83.49,-12.1239
D17H6S53E,13.4,3.5087,14.59,-11.7318
D330023K18Rik,2.88,0.755,4.04,-11.3984
Daam1,1.25,0.3267,45.61,-9.8645
Dact1,2.29,0.5984,3.62,-11.8513
Dapk1,0.18,0.0466,15.78,-12.0264
Dapk2,0.92,0.2409,20.43,-10.2517
Dbi,3.55,0.9289,24.66,-7.9374
Dbp,10.31,2.6989,9707.44,-9.414
Dclk1,14.7,3.8493,24.84,-12.2268
Ddi1,21.58,5.6506,2.16,-13.6664
Ddit3,16.66,4.3617,60.76,-9.7233
Ddit4,9.05,2.3686,4.31,-10.9699
Ddx17,23.14,6.0592,118.75,-9.3564
Defb25,3.42,0.8954,7.77,-13.4916
Dgat2,10.42,2.7273,61.5,-13.6367
Dgkg,4.93,1.2911,37.02,-11.5217
Dgkh,11.76,3.0796,18.64,-10.7394
Dhcr24,20.49,5.3641,45.25,-11.2584
Dhrs3,0.14,0.0378,451.49,-9.2459
Dipk1a,10.72,2.8063,7.58,-11.0404
Dlx5,10.54,2.7588,26.47,-13.1594
Dlx6,10.84,2.8372,11.75,-13.4001
Dnah8,3.39,0.8876,4.3,-12.7884
Dnajb2,20.71,5.4206,112.18,-9.7849
Dnajc10,16.2,4.2404,16.74,-9.0273
Dnajc12,10.77,2.8192,7.12,-12.5554
Dock10,15.11,3.9557,95.91,-10.2528
Dock5,14.64,3.8332,26.74,-11.3821
Dock8,17.32,4.5335,21.59,-10.4686
Dpf1,3.17,0.8304,4.0,-12.8134
Dpm3,0.94,0.2453,34.35,-8.4972
Dpp9,20.74,5.4298,4.78,-10.8474
Dpy19l3,2.67,0.6981,43.02,-12.0582
Dpysl2,14.55,3.8097,54.19,-9.7588
Dst,22.65,5.9306,36.86,-7.2919
Dtd1,10.07,2.6369,2.66,-10.4239
Dtd2,10.03,2.6267,4.67,-10.8312
Dusp14,11.02,2.8855,26.36,-11.8686
Dusp18,5.91,1.5482,19.61,-13.376
Dusp23,0.82,0.2139,3.97,-11.5689
Dusp5,2.27,0.5951,10.23,-12.0781
Dusp8,23.44,6.1357,11.99,-9.2305
Dync1i2,17.38,4.5504,57.46,-8.581
E030013I19Rik,18.06,4.7288,402.75,-8.495
E130006D01Rik,1.54,0.4036,19.57,-12.0896
E230001N04Rik,10.85,2.8404,5.89,-12.1963
Ebp,14.82,3.8809,7.31,-10.3137
Ece1,2.99,0.7836,13.21,-10.9158
Ech1,6.32,1.6534,18.01,-9.1627
Ecrg4,9.29,2.4321,30.73,-12.0012
Ect2l,12.47,3.264,13.45,-13.2667
Eef2k,11.97,3.1328,85.47,-9.7533
Eepd1,11.01,2.8835,8.49,-12.7562
Efhc2,6.96,1.8224,2.67,-12.3575
Efhd2,14.37,3.7608,24.78,-9.7351
Egln3,7.91,2.0708,11.97,-12.7745
Eif3j2,23.58,6.1721,17.78,-12.0216
Eif4a1,11.86,3.1048,71.81,-8.3909
Eif4ebp2,0.42,0.1094,46.44,-9.4175
Elmo1,14.04,3.6751,96.15,-11.635
Elmsan1,2.02,0.528,2.72,-10.8292
Eln,1.57,0.411,2320.39,-6.3248
Endod1,1.05,0.2759,34.73,-8.8997
Enkur,5.55,1.4524,11.38,-13.3824
Enpp4,11.58,3.0309,29.51,-11.2012
Epb41,15.64,4.095,480.26,-10.0966
Ephb6,18.62,4.8752,17.95,-12.1287
Ephx1,13.04,3.4135,457.7,-9.3476
Ereg,22.38,5.8593,21.36,-11.5623
Erf,7.92,2.0722,17.9,-10.9887
Etfbkmt,12.34,3.2315,49.12,-11.5091
Ets1,4.05,1.0611,17.4,-10.7724
Etv1,13.14,3.4409,19.9,-10.24
Etv5,11.86,3.1062,13.24,-12.4072
Ewsr1,10.77,2.8194,50.33,-9.4457
Exd2,17.22,4.5092,7.61,-11.5437
F3,11.37,2.9762,39.62,-10.614
F8a,14.2,3.7188,6.11,-11.5782
Fabp3,10.39,2.7213,241.5,-9.9981
Fam107a,12.06,3.1583,245.06,-12.6941
Fam120c,0.5,0.1296,23.55,-11.9675
Fam135a,13.65,3.5723,13.27,-10.4412
Fam13a,12.79,3.3494,68.47,-11.5644
Fam13c,21.39,5.5989,50.07,-8.9971
Fam204a,7.5,1.9641,4.26,-10.2905
Fam71e1,8.63,2.2595,2.05,-13.567
Fam78b,9.95,2.604,23.11,-12.7445
Fam98b,1.88,0.4927,10.49,-10.361
Fas,0.3,0.0774,98.07,-9.7282
Fasn,20.82,5.4519,34.37,-10.816
Fbxl22,5.62,1.4715,760.85,-7.9833
Fbxo30,1.25,0.3266,376.7,-8.6299
Fbxo5,11.74,3.0728,3.26,-13.4188
Fdft1,17.5,4.5809,26.2,-10.6243
Fdps,20.07,5.2533,312.66,-9.6244
Fem1c,0.03,0.0074,14.19,-10.8373
Fendrr,6.5,1.7026,4.08,-13.6309
Fermt2,0.58,0.1518,294.3,-7.5999
Fez1,12.86,3.3661,242.1,-9.9822
Fgf16,11.13,2.9127,8.35,-13.501
Fgf2os,15.47,4.0503,4.03,-13.7988
Fgfr2,21.3,5.5769,120.44,-9.7397
Fhod3,22.69,5.9398,29.18,-11.9135
Fibin,13.21,3.4577,1811.87,-8.3939
Filip1l,22.1,5.7869,280.32,-6.8134
Fkbp5,12.71,3.3282,870.48,-11.318
Flrt1,19.15,5.0123,47.96,-11.55
Flywch2,9.46,2.4763,6.72,-11.5971
Fmo1,15.38,4.0253,70.11,-11.7733
Fmo2,17.91,4.6883,3981.83,-6.8037
Fmo3,15.38,4.0278,3362.66,-9.2534
Foxf1,6.94,1.8166,38.34,-11.8023
Foxo3,11.91,3.1179,51.48,-10.3915
Foxp2,20.7,5.4199,4.27,-9.0735
Foxs1,23.92,6.262,30.52,-11.1111
Frmd4a,0.11,0.029,13.98,-10.9363
Frmd8os,6.71,1.757,6.81,-13.4093
Frzb,12.61,3.3001,57.66,-11.0747
Fuz,7.3,1.91,2.97,-10.6229
Fzd4,14.83,3.8812,17.51,-10.3712
G530011O06Rik,14.38,3.7652,105.89,-12.6324
Gab1,12.87,3.3693,12.55,-10.6718
Gabra3,21.87,5.7257,48.44,-9.883
Gabrq,20.21,5.2907,7.69,-13.316
Gadd45g,8.14,2.1305,125.87,-8.5395
Galnt16,2.96,0.7752,53.13,-10.1082
Galnt6,5.52,1.4449,83.78,-12.4428
Gas7,13.8,3.6118,4.53,-12.7103
Gbp5,16.15,4.2271,8.86,-13.8089
Gcdh,16.6,4.3464,4.9,-11.3019
Gdf15,1.96,0.5138,35.1,-11.7659
Gdpd5,0.38,0.1003,47.09,-12.2591
Gem,1.1,0.2888,45.47,-9.0669
Gfod1,22.47,5.8814,18.99,-11.7157
Gga2,0.02,0.0053,4.24,-10.149
Gin1,18.62,4.8737,8.45,-11.2651
Gja4,11.95,3.1284,57.24,-11.334
Gk,1.46,0.3817,107.5,-10.4208
Glrx,8.47,2.2183,4.78,-11.0628
Glt8d2,16.71,4.3742,13.08,-13.3048
Glul,12.74,3.3347,1363.65,-9.78
Gm10069,20.46,5.3573,5.26,-13.1148
Gm10115,14.85,3.8875,19.08,-10.9726
Gm11827,12.57,3.2909,2.77,-13.4481
Gm11946,16.7,4.3709,9.71,-12.5722
Gm12802,14.2,3.7168,3.26,-13.4548
Gm12840,19.72,5.1631,3.53,-10.9174
Gm12992,16.88,4.4194,4.77,-13.5407
Gm13010,2.2,0.575,5.34,-13.5687
Gm13861,15.1,3.9524,26.31,-10.0293
Gm14305,12.06,3.1571,16.26,-11.8689
Gm14326,7.83,2.0502,4.34,-12.6776
Gm14419,9.93,2.6002,7.66,-13.641
Gm14902,4.98,1.3039,4.4,-13.3609
Gm14964,9.46,2.4763,22.01,-13.7102
Gm15721,13.52,3.5399,56.72,-13.6231
Gm15809,14.16,3.7076,3.93,-13.7362
Gm15867,22.57,5.9093,3.65,-11.9434
Gm15972,11.7,3.064,11.0,-13.7493
Gm16133,2.37,0.6205,41.65,-12.585
Gm16973,13.96,3.6556,2.9,-13.3607
Gm17167,12.88,3.3711,212.2,-11.4813
Gm17501,21.3,5.5755,31.04,-10.6643
Gm19689,0.4,0.105,8.89,-13.4912
Gm1976,10.64,2.7865,5.55,-12.5487
Gm26797,13.48,3.5282,2.09,-13.301
Gm26879,11.28,2.9526,3.08,-13.7425
Gm31105,15.0,3.9273,25.03,-12.3985
Gm32036,14.19,3.7161,6.2,-13.5332
Gm3336,1.27,0.3323,11.39,-13.4937
Gm34030,9.93,2.6005,10.43,-12.4795
Gm34471,23.35,6.1133,4.52,-13.7502
Gm41724,2.09,0.548,19.73,-12.6884
Gm43581,4.25,1.1122,2.16,-13.6931
Gm43672,14.24,3.7292,13.15,-11.6935
Gm44421,11.49,3.0084,7.3,-13.6233
Gm44700,1.76,0.4595,6.22,-13.8134
Gm45051,13.23,3.4645,14.95,-12.7073
Gm47283,16.85,4.4122,812.6,-9.6814
Gm47664,15.87,4.154,43.63,-12.7194
Gm47863,17.68,4.6297,11.24,-12.4867
Gm4876,4.56,1.1951,99.86,-11.3396
Gm48882,12.49,3.271,11.14,-12.4375
Gm49708,11.17,2.9238,42.07,-10.3406
Gm49980,12.19,3.1918,8.91,-12.2823
Gm5820,19.92,5.2154,2.01,-13.3972
Gm5860,9.55,2.4997,12.14,-12.6341
Gm5914,6.84,1.7904,10.66,-12.263
Gm8251,5.66,1.4809,9.91,-13.5361
Gm830,0.53,0.1385,74.64,-10.813
Gm8797,6.21,1.6253,457.19,-12.0354
Gm973,3.69,0.9664,10.73,-13.444
Gmnn,14.04,3.6747,8.82,-12.3104
Gng10,10.85,2.8395,102.93,-9.375
Gnl1,12.25,3.2076,18.49,-10.3701
Gnpda1,14.75,3.8627,2.74,-11.984
Gnpda2,9.23,2.4171,4.0,-10.4091
Gpcpd1,9.26,2.4237,31.1,-10.417
Gpm6a,15.22,3.9846,2.52,-13.8108
Gpr146,8.15,2.1327,104.17,-11.4673
Gprc5b,7.88,2.0641,2.41,-13.1267
Gramd1c,13.45,3.5202,23.19,-13.0826
Gramd4,0.16,0.0411,16.31,-13.0147
Grap,23.55,6.1643,27.21,-12.8925
Grcc10,3.21,0.8392,8.15,-8.4031
Grhpr,13.59,3.5591,7.49,-9.8789
Grip2,23.5,6.1527,31.01,-10.4436
Grk5,0.13,0.0342,59.17,-10.9111
Grtp1,9.7,2.5393,5.17,-11.9835
Gse1,16.96,4.4404,7.1,-12.7498
Gsta4,17.91,4.6878,5.07,-12.79
Gsto1,12.42,3.2502,27.46,-10.7665
Gstt1,18.7,4.8954,120.29,-9.5419
Gstz1,8.01,2.0963,3.55,-11.2693
H1fx,15.29,4.0032,3.59,-11.6621
H2-Ab1,6.74,1.7648,10.25,-13.4455
