tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
CREB1 (human),44,Scp2;Dgat2;Mbd1;Cdc25b;Slc10a6;Htra4;Pld1;Tef;Nr1d2;Aifm3;Pgf;Ccdc74a;Selenbp1;Fbxl13;Magt1;Rab6b;Rbm3;Fabp3;Smtnl2;Tmem52;Ptgs2;Has1;Fam13a;Lysmd2;Spon2;Tspan4;Ctsk;Slc43a1;Acaa2;Sox12;Wnt10b;Fmo4;Ccl11;Rheb;Fam107a;Tnnt2;Ptgfr;Glul;Tsc22d3;Rhoj;Fam180a;Aldh3a1;Aldh3b1;Nt5dc2,3.8181818181818183,6,12.09335904047149,3.1914692657177675,13.0
TEAD4 (human),32,Crlf1;Bhlhe40;Bhlhe41;Tmem52;Zbtb16;Sh3bp2;Lepr;Dsp;St5;Fndc5;Egr3;Eci2;Tspan4;Camkk2;Rere;Tef;St3gal4;Nr1d2;Prdx6;Cyb561;Adm;Tmem158;Erf;Ankrd12;Krba1;Tmsb10;Lbh;Fbxl13;Arntl;Atp1b1;Dbp;Nt5dc2,3.75,5,11.256616339833851,3.971485247977001,11.0
CBFB (human),13,Dsp;Mkx;Klhl13;Nr1d2;Hoxb5;Esrrg;Fam107a;Igfbp7;Arntl;Pdk4;Gsta3;Arhgap18;Pde4b,3.6923076923076925,0,11.245951110798243,8.024337270535252,1.0
SMARCA2 (human),36,Mmp14;Ece1;St5;Tspan4;Per1;Gpc3;Fdps;Nptn;St3gal4;Ldhd;Tmem158;Angptl2;Cdkn1a;Tusc3;Hmgn2;Igfbp3;Cacnb4;Fam107a;Serpini1;Mab21l2;Adamts4;Sost;Arntl;Mthfd1l;Hmcn1;Tnnt2;Tsc22d3;Hist3h2a;Svil;Sorbs1;Aldh3b1;Idi1;Dbi;Dpp4;Pik3ip1;Nt5dc2,3.666666666666667,6,11.885246710901848,6.003350901146426,13.0
NR1H3 (human),23,Srsf3;Has1;Fam13a;Ece1;Fndc5;Tspan4;Socs2;Fdps;A4galt;Rere;Nr1d2;Rpn1;Ldhd;Igfbp7;Sord;Ccdc74a;Selenbp1;Mgst1;Pdk4;Magt1;Idi1;Plaur;Pik3ip1,3.6521739130434785,6,12.117239225730245,4.798019572728883,13.0
CEBPD (human),23,Larp6;Mbd1;Ptgs2;Psmb8;Rasl11a;Leo1;Ece1;Tspan4;Col5a3;Ndufv3;Rpl31;Cdkn1a;Fam107a;Angpt2;Serpini1;Arrdc4;Hist3h2a;Sorbs1;Acsf3;Ncam1;Plaur;Pkd1;Nt5dc2,3.6521739130434785,6,10.507658411421255,6.432898554411152,13.0
YY1 (mouse),23,Unc119b;Mmp14;Cdc25b;Srsf3;Pdcd4;Trim67;Lcn8;Rnf144a;Rarres1;Mknk2;Fkbp5;Hmgn2;Cebpd;Slc25a47;Per3;Per1;Marveld1;Cntfr;Hoxb5;Col4a3;Tusc3;Tnnt2;Rhoc,3.6521739130434785,6,11.660586086200095,5.4986242554332625,13.0
FOXO3A (mouse),10,Rbpj;Tmem158;Pdcd4;Cacnb4;Sord;Socs2;Magt1;Pde8a;Lox;Tmem191c,3.6,6,11.800480573796428,6.239462607701972,13.0
NRF1 (mouse),20,Cirbp;Tef;Ckb;Arrdc3;Lrrn4cl;Dbi;Cyb5r2;Pim3;Ccl2;Creld2;Zfp119b;Camkk2;Taf4b;Tmem191c;Erp29;Sord;Aspa;Fastkd3;Hspa8;Hspb7,3.6,5,11.200627060138327,5.731323568112591,11.0
USF1 (mouse),20,Cdc25b;Spp1;Crybg3;Tmem86a;Cd55;Dnajb11;Nptn;Tef;Prkd1;Hspa4l;Anxa3;Col4a3;Cacnb4;Ccdc74a;Aspa;Nln;Fastkd3;Magt1;Rasd2;Pde8a,3.6,6,10.725754993855322,5.875373294270175,13.0
RELA (mouse),27,Egr3;Dnajb11;Mknk2;Gjb5;Ldhd;Tmem229b;Dio2;Mthfd1l;Hist3h2a;Lmo2;Hk2;Rbm3;Rbpj;Psmb8;Prrx1;Cdc42ep3;Mkx;Per3;Per1;Zfp119b;Tspyl5;Prdx6;Igfbp3;Cys1;Tsc22d3;Rhoj;Rgs17,3.5555555555555554,6,12.137482162000845,5.566258699105876,13.0
POU2F1 (human),17,Cadm1;Cdc25b;Fam13a;Dsp;Lysmd2;Klhl13;Grem2;Anxa3;Fmo4;Col4a3;Cacnb4;Sema3c;Arrdc3;Tnnt2;Fastkd3;Aox1;Clock,3.5294117647058827,6,11.793835259977039,5.460968884951836,13.0
MYC (mouse),34,Asphd2;Bhlhe40;Bhlhe41;Eci2;Tef;Gjb5;Ldhd;Fkbp5;Pgf;Arrdc4;Magt1;Wee1;Hat1;Gcat;Socs2;Ctsk;Snx8;Per1;Slc43a1;Camkk2;Taf4b;Acaa2;A4galt;Nptn;Prdx6;Agtr1a;Cyb561;Ankrd12;Efhd1;Sord;Manf;Fastkd3;Myh11;Hspa8,3.5294117647058827,5,11.827048799339801,4.3658622822926505,11.0
BCL6 (human),24,Lum;Rbpj;Fxyd6;Fam13a;Trim67;Lysmd2;Ccl7;Socs2;Enpp2;Taf4b;Htra4;Klhl13;Angptl7;Ccl11;Esrrg;Slc4a10;Fbxl13;Mab21l2;Cebpd;Sema3e;Arntl;Arrdc3;Fibin;Hlf,3.5000000000000004,6,12.428450029474533,5.528574832360482,13.0
JUN (mouse),31,Unc119b;Arl4d;Dlx6;Cytl1;Rere;Nr1d1;Ldhd;Dio2;Mthfd1l;Cldn10;Sorbs1;Idi1;Hk2;Dbp;Wee1;Hlf;Rbm3;Tmem52;Hat1;Has1;Ccl2;Lmcd1;Per1;Zfp119b;Ndufv3;Rpl31;Anxa3;Cys1;Rhoj;Acsf3;Dtx4,3.483870967741936,5,9.37153447544946,5.7826273584071455,11.0
RXRA (human),28,Ethe1;Srsf3;Rnaseh2b;Arl4d;Ttc39b;Prg4;Icam2;Socs2;Per1;Rarres1;Fdps;Klhl13;Rere;Serpine1;Nr1d1;Nr1d2;Ldhd;G0s2;Deptor;Fkbp5;Sord;Smpdl3b;Fibin;Magt1;Rasd2;Acsf3;Idi1;Pkd1,3.4285714285714284,6,11.961996005907194,4.329041991638023,13.0
PURA (human),7,Cyb5r2;G0s2;Slc25a47;Esrrg;Slc10a6;Mpped2;Dbi,3.4285714285714284,6,9.886554831667858,5.0465133073825825,13.0
CREB1 (mouse),14,Larp6;Smtnl2;Cdc25b;Bok;Cirbp;Utp14b;Dpy19l3;Sox12;Hmgcs2;Smpdl3b;Cebpd;Igsf9;Pde8a;Gap43,3.4285714285714284,5,10.151380675266783,4.1089679052599,11.0
JUN (human),57,Hyou1;Mmp14;Bhlhe40;Fxyd6;Cdc25b;Fst;Bok;Ttc39b;Icam2;Slc10a6;Rarres1;Cytl1;Rere;Add2;Tef;Gjb5;Gabra3;Dhrs3;Angpt2;Haus8;Aqp1;Svil;Lmo2;Hk2;Plaur;Ethe1;Rbpj;Fabp3;Has1;Leo1;Pim3;Fndc5;Mgp;Ctsk;Per1;Ern1;Klhl13;Nptn;Fzd1;Wnt10b;Hoxb5;Rpn1;Erp29;Sbsn;Cacnb4;Sord;Limch1;Glul;Rhoj;Cutc;Aldh3a1;Aldh3b1;Hspb1;Dpp4;Cxcl5;Pik3ip1;Col8a1,3.3684210526315788,5,10.094725417518308,5.901990694792477,11.0
HMGA1 (mouse),18,Mettl7a1;Srsf3;Eci2;Lgals3;Prkd1;Ccdc74a;Col27a1;Selenbp1;Cldn10;Atp1b1;Ptgs1;Plekha6;Snx8;Fzd1;Tnnt2;Mpped2;Aldh3a1;Dtx4,3.3333333333333335,7,11.581636751893436,4.379915797146857,15.0
CRTC3 (human),18,Larp6;Rbpj;Zbtb16;St5;Per1;Camkk2;Klhl13;Pld1;Nptn;Prdx6;Cdkn1a;Sema3c;Hmcn1;Vgll3;Mgst1;Fam180a;Npy1r;Aldh3a1,3.3333333333333335,5,11.183144959104673,6.093375443121422,11.0
Nkx3-2 (mouse),18,Srsf3;Kcnd3;Icam2;Socs2;Ctsk;Gpc3;Tnfaip2;Tspyl5;Rpn1;Angptl7;Epyc;Krba1;Col27a1;Ly6c1;Hmcn1;Tnnt2;Ncam1;Pde4b,3.3333333333333335,3,9.663149156222445,5.030828886903739,7.0
WT1 (human),51,Larp6;Bhlhe41;Dgat2;Mbd1;Slco3a1;Cdc25b;Npas2;Kcnd3;Fst;Arl4d;Ttc39b;Egr3;Eci2;Icam2;Nfil3;Tnfaip2;Add2;Nr1d1;Nr1d2;Tmem229b;Adamtsl2;Reep2;Atp1b1;Prex1;Lepr;Pim3;Lingo1;Fndc5;Mia;Foxf1;Spon2;Tspan4;Per3;Per2;Slc43a1;Col5a3;Gpc3;Klhl13;Acaa2;Wnt4;St13;Ankrd12;Krba1;Sord;Smpdl3b;Mgst1;Map4k4;Pde8a;Acsf3;Slc2a1;Pkd1,3.294117647058824,5,10.366162757080145,4.870118203972541,11.0
UBTF (human),22,Ptgs1;Zbtb16;Cdc25b;Kcnd3;Ece1;Tspan4;Dnajb11;Rere;Cyb561;Eln;Adm;Gpr146;Pgf;Selenbp1;Aspa;Haus8;Glul;Meox2;Sorbs1;Hspb7;Col8a1;Nt5dc2,3.2727272727272725,6,11.908016349438668,4.799804955413439,13.0
MYOG (human),22,Prex1;Unc119b;Lypd1;Fxyd6;Ptgs2;Prrx1;S100a4;Map3k6;Bok;Gcat;Ern1;Sox12;Rpl31;Cyb561;Cacnb4;Sord;Stk32b;Manf;Vgll3;Nln;Fibin;Hspb7,3.2727272727272725,5,10.314353983846544,5.641085929891264,11.0
USF1 (human),41,Larp6;Crlf1;Bhlhe40;Bhlhe41;Mbd1;Fabp3;Psmb8;Sh3bp2;Fam13a;Ece1;Egr3;Icam2;Per3;Per1;Cd55;Ern1;Taf4b;Fam174b;Tef;Serpine1;St3gal4;Nr1d2;Hoxb5;Gabra3;Cyb561;G0s2;Tmem229b;Angptl2;Fkbp5;Sbsn;Igfbp3;Ankrd12;Cpt1a;Selenbp1;Tnnt2;Pde8a;Aldh3b1;Aox1;Wee1;Nt5dc2;Rbm3,3.2195121951219514,5,11.067559588479241,3.9348012789915763,11.0
TFAP2A (human),75,Mbd1;Bgn;Npas2;Kcnd3;Trim67;Ece1;Cytl1;St3gal4;Tmem229b;Adamtsl2;Fkbp4;Aqp1;Svil;Atp1b1;Wif1;Lox;Dbi;Lonrf3;Clock;Lingo1;Foxf1;Spon2;Per3;Per2;Cyp1b1;Prdx6;Esrrg;Cys1;Ankrd12;Krba1;Aspa;Fam180a;Aldh3a1;Aldh3b1;Crlf1;Bhlhe40;Bhlhe41;Fst;Lcn8;Cirbp;Egr3;Tcap;Rarres1;Add2;Nr1d2;Kat2b;Aifm3;Pgf;Fbxl13;Rasd2;Wee1;Fabp3;Smtnl2;Tmem52;Ptgs1;Zbtb16;Sh3bp2;Crnde;Lepr;Pim3;Tspan4;Dpy19l3;Camkk2;Cd55;Ern1;Gpc3;Wnt4;Sox12;Cntfr;Cyb561;Tusc3;Efhd1;Rhoc;Myh11;Nt5dc2,3.2,5,11.266390402938569,4.795702961940333,11.0
ZNF281 (human),19,Cadm1;Bgn;Sh3bp2;Plekha6;Dnajb11;Marveld1;Sox12;Creb3l1;St3gal4;Adm;Ckb;Krba1;Tmsb10;Cebpd;Glul;Pdia6;Arhgap18;Aldh3b1;Hspb7,3.1578947368421053,5,10.699158563360625,6.579832713289372,11.0
TP63 (human),19,Cdc42ep3;Mia;Tspan4;Ctsk;Camkk2;Ndufv3;St3gal4;Ldhd;Lpcat3;Cdkn1a;Fkbp5;Tusc3;Hmgn2;Tmsb10;Mgst1;Lox;Idi1;Hspb1;Rbm3,3.1578947368421053,6,11.581581918599431,7.511870456941821,13.0
HIF1A (mouse),19,Larp6;Mthfd2;Foxs1;Smtnl2;Has1;Mgp;Btc;Lmcd1;Pld1;Pitpnc1;Tmem191c;Serpine1;Cyb561;Tmem229b;Rcan2;Cdc14a;Lbh;Acsf3;Arhgap18,3.1578947368421053,6,14.342324227629941,6.164533806099973,13.0
SNAI1 (human),23,Sh3bp2;Pim3;Ttc39b;Eci2;Creld2;Tcap;Camkk2;Dnajb11;Tef;Creb3l1;Nr1d1;Cdkn1a;Adamtsl2;Aifm3;Hmgn2;Ankrd12;Fbxl13;Smpdl3b;Sost;Tsc22d3;Rasd2;Dbp;Pik3ip1,3.130434782608696,6,12.079915633179056,5.001518811803835,13.0
ZFHX3 (human),23,Plscr2;Lypd1;Fam13a;Ece1;Icam2;Slc10a6;Camkk2;Rarres1;Dnajb11;Col5a3;Gpc3;Htra4;St13;Fmo4;Erp29;Pgf;Ankrd12;Efhd1;Limch1;Hist3h2a;Cldn10;Hspa5;Pkd1,3.130434782608696,5,9.236533739665607,6.473051941235523,11.0
SNAI2 (human),23,Sh3bp2;Pim3;Ttc39b;Eci2;Creld2;Tcap;Camkk2;Dnajb11;Tef;Creb3l1;Nr1d1;Cdkn1a;Adamtsl2;Aifm3;Hmgn2;Ankrd12;Fbxl13;Smpdl3b;Sost;Tsc22d3;Rasd2;Dbp;Pik3ip1,3.130434782608696,6,12.079915633179056,5.001518811803835,13.0
ARID3A (mouse),23,Mettl7a1;Cirbp;Rnf144a;Pld1;Pitpnc1;Tek;Ldhd;Adamtsl2;Epyc;Rbpj;Ctla2a;Mgp;Mkx;Zfp119b;Prdx6;Pax1;Serpinb8;Ccl11;Rcan2;Krba1;Sema3e;Aox1;Pde4b,3.130434782608696,5,12.312653616812227,5.228620824050255,11.0
ZNF354C (human),23,Asphd2;Scp2;Zbtb16;S100a4;Sh3bp2;Leo1;Spp1;Pim3;Dsp;St5;Tspan4;Enpp2;Cytl1;Serpine1;Prdx6;Esrrg;Tmsb10;Selenbp1;Stk32b;Nmb;Sorbs1;Hlf;Mapk6,3.130434782608696,5,9.932744010566811,3.9419007396414583,11.0
TCF3 (human),23,Sh3bp2;Pim3;Ttc39b;Eci2;Creld2;Tcap;Camkk2;Dnajb11;Tef;Creb3l1;Nr1d1;Cdkn1a;Adamtsl2;Aifm3;Hmgn2;Ankrd12;Fbxl13;Smpdl3b;Sost;Tsc22d3;Rasd2;Dbp;Pik3ip1,3.130434782608696,6,12.079915633179056,5.001518811803835,13.0
TFAP2C (human),27,Fabp3;Smtnl2;Cdc25b;Slc25a47;Egr3;Spon2;Tspan4;Creld2;Per2;Tcap;Gpc3;Wnt4;St3gal4;Hoxb5;Cyb561;Gpr146;Adamtsl2;Ckb;Cacnb4;Rheb;Cdc14a;Serpini1;Cpt1a;Lmo2;Pde8a;Aldh3a1;Lonrf3,3.111111111111111,6,10.909469149887673,5.274948440187871,13.0
GLI2 (human),31,Mbd1;Bgn;Zbtb16;Cdc25b;Npas2;Trim67;Dsp;Cirbp;Ttc39b;Tspan4;Per1;Tcap;Acaa2;Wnt2;Add2;Tef;Nr1d2;Hoxb5;Rpl31;Erf;Krba1;Serpini1;Selenbp1;Fbxl13;Smpdl3b;Hist3h2a;Sorbs1;Lrrn4cl;Dock10;Dbp;Wee1,3.096774193548387,5,11.18724517354321,3.498148186083581,11.0
