gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Chd9	0.5	0.48	0.48	0.58	1.0	-264.72388	-253.85532	-260.12286	-256.46133	0.0	-3.5883768	-9.910365286948682	2.24175436530145	0.32247557003257327	99
Rbl2	0.4	0.3299999999999999	0.3299999999999999	0.53	1.0	-178.82712	-171.84016	-173.92459	-177.4827	0.0	-0.58387476	-10.497119833037614	5.196506672436987	0.20195439739413681	62
Aktip	0.36	0.0999999999999999	0.0999999999999999	0.68	0.9599999999999996	-229.98589	-229.8636	-228.76883	-231.2524	0.0	0.5500383	-10.051196362084939	4.4052499492794945	0.28013029315960913	86
Gm45464	0.37	0.39	0.37	0.64	1.0	-24.412212	-23.100876	-23.90424	-23.58911	0.0	-0.35746905	-13.518545260829335	0.208505646779785	0.016286644951140065	5
Rpgrip1l	0.13	0.37	0.13	0.65	1.0	-61.108223	-61.622936	-61.297966	-61.549744	0.63136166	0.19174999	-12.359508189560035	0.3721261811036216	0.05211726384364821	16
Fto	0.31	0.45	0.31	0.55	1.0	-215.32751	-209.60901	-211.4061	-213.64185	0.0	-0.7320767	-10.24122294828818	3.142951166072217	0.254071661237785	78
Irx3	0.15	0.47	0.15	0.62	1.0	-50.863537	-47.13247	-51.479073	-46.836372	0.0	-1.7489753	-12.537059926556175	3.286521351831264	0.03908794788273615	12
Irx5	0.24	0.27	0.24	0.69	0.93	-11.508062	-11.434468	-11.000036	-11.889395	0.0	0.16561055	-14.302245502147144	5.176937727089409	0.006514657980456026	2
Mmp2	0.3199999999999999	0.32	0.3199999999999999	0.49	1.0	-594.45496	-574.48444	-590.56085	-585.56445	0.0	-3.8610964	-8.398976447454363	1.0726908583885235	0.6482084690553745	199
Lpcat2	0.36	0.44	0.36	0.7	0.9	-47.175667	-44.90153	-46.470276	-45.950493	0.0	-0.53208625	-12.721698769858731	2.7203759985155136	0.035830618892508145	11
Slc6a2	0.1999999999999999	0.23	0.1999999999999999	0.4	1.0	-36.83873	-37.141464	-37.315723	-36.53869	0.0	-0.13030623	-13.131782396269385	0.8408912983836707	0.02280130293159609	7
Ces1a	0.34	0.41	0.34	0.63	1.0	-7.820604	-8.339514	-7.786278	-8.338973	1.0	0.22512488	-14.943029786478863	3.5106165634342648	0.003257328990228013	1
Ces1d	0.44	0.24	0.24	0.42	1.0	-16.933964	-18.35296	-17.81338	-16.843067	0.38025546	-0.039475895	-13.943159368439039	1.6743775945149562	0.006514657980456026	2
Ces1f	0.37	0.4399999999999999	0.37	0.53	1.0	-6.058409	-5.93698	-6.0555353	-5.955433	0.0	-0.044722047	-15.021066482529665	3.5861351487753494	0.003257328990228013	1
Gnao1	0.44	0.3299999999999999	0.3299999999999999	0.55	1.0	-164.83588	-149.34554	-161.42912	-152.59402	0.0	-5.316569	-10.693208866197338	4.588727566498445	0.16938110749185667	52
Amfr	0.39	0.47	0.39	0.59	1.0	-235.94649	-230.73132	-235.40605	-232.90933	0.0	-1.3190197	-9.975104479033707	5.826519425081777	0.2996742671009772	92
Nudt21	0.3399999999999999	0.39	0.3399999999999999	0.56	1.0	-219.1182	-214.98563	-218.17065	-218.33939	0.0	-0.33823228	-10.27969347221546	0.9593013633110568	0.2768729641693811	85
Ogfod1	0.14	0.26	0.14	0.73	0.8099999999999999	-87.81687	-85.245094	-85.13953	-87.19834	0.0	-0.26862428	-11.877685199499528	0.7455522723128158	0.08794788273615635	27
Bbs2	0.3399999999999999	0.12	0.12	0.61	1.0	-81.58888	-76.58702	-80.511795	-77.68971	0.0	-1.693388	-11.972418345603478	5.067848729561101	0.06514657980456026	20
Mt3	0.39	0.49	0.39	0.58	1.0	-18.967548	-18.460388	-18.78249	-18.790453	0.0	-0.07691156	-13.989327677880564	0.5278592783040139	0.006514657980456026	2
Mt2	0.37	0.41	0.37	0.44	1.0	-649.527	-635.4945	-650.0268	-637.1742	0.0	-5.3647456	-8.325943186909797	3.410715696349381	0.6514657980456026	200
Mt1	0.47	0.3	0.3	0.6	1.0	-1070.637	-1050.9795	-1073.511	-1052.1176	0.0	-8.042877	-6.767512787577262	1.838036795128577	0.9674267100977199	297
Gm39228	0.28	0.36	0.28	0.69	0.93	-9.776991	-10.267712	-9.562645	-10.46456	1.0	0.29860726	-14.361114733366488	5.801071305034265	0.003257328990228013	1
Nup93	0.27	0.37	0.27	0.48	1.0	-97.66493	-96.96539	-97.328674	-97.081566	0.0	-0.2533528	-11.674556625575125	2.6639838980397967	0.09446254071661238	29
Herpud1	0.49	0.15	0.15	0.72	0.84	-380.38953	-387.6225	-383.57697	-389.9252	0.5593182	4.141291	-9.270269454034379	1.5731429118673397	0.495114006514658	152
Nlrc5	0.4499999999999999	0.3299999999999999	0.3299999999999999	0.56	1.0	-17.075817	-16.998325	-17.174036	-16.716656	0.0	-0.15598181	-13.930448361509498	4.877994538451351	0.006514657980456026	2
Cpne2	0.5	0.3	0.3	0.61	1.0	-217.24942	-215.95956	-218.16165	-219.68294	0.0	1.0568632	-10.373509514183414	1.4655748239160662	0.26058631921824105	80
Fam192a	0.37	0.4399999999999999	0.37	0.56	1.0	-151.8516	-144.84048	-150.3814	-147.12802	0.0	-2.0514212	-10.806279181368193	5.802821244281311	0.18241042345276873	56
Rspry1	0.24	0.34	0.24	0.55	1.0	-142.21819	-143.36336	-141.08986	-143.45819	1.0	0.53852755	-11.039508983598184	2.466025821486499	0.14332247557003258	44
Arl2bp	0.34	0.37	0.34	0.49	1.0	-190.629	-182.19577	-189.80437	-186.96298	0.0	-1.5921303	-10.475448280636842	2.0541172697909857	0.23452768729641693	72
Gm45767	0.3	0.39	0.3	0.62	1.0	-20.178371	-19.728104	-19.70751	-20.207586	0.0	0.012687852	-13.706039851058662	0.24420042205159298	0.013029315960912053	4
Cx3cl1	0.46	0.33	0.33	0.65	1.0	-78.48918	-74.53534	-77.26783	-75.71956	0.0	-1.2028319	-11.973963190241703	2.0192177401762796	0.06840390879478828	21
Ccl17	0.48	0.43	0.43	0.52	1.0	-6.439566	-6.337615	-6.4216323	-6.312351	0.0	-0.055248734	-14.989162291814278	1.7144933060362906	0.003257328990228013	1
Ciapin1	0.3199999999999999	0.43	0.3199999999999999	0.53	1.0	-136.93076	-135.56955	-137.29666	-135.74973	0.0	-0.5129149	-11.162060762113887	5.995659291280636	0.14332247557003258	44
Coq9	0.0999999999999999	0.3299999999999999	0.0999999999999999	0.71	0.87	-145.67192	-143.95708	-143.91147	-144.47708	0.0	-0.5189122	-10.928254933394381	5.539536191707249	0.13355048859934854	41
Polr2c	0.47	0.2299999999999999	0.2299999999999999	0.64	1.0	-378.82007	-373.57028	-375.78238	-376.50644	0.0	-1.0047964	-9.040083169231387	4.487654322520652	0.5309446254071661	163
Dok4	0.41	0.12	0.12	0.67	0.9899999999999998	-60.58734	-58.567425	-60.777596	-58.70156	0.0	-0.818984	-12.230021397128032	4.792557432261837	0.048859934853420196	15
Ccdc102a	0.42	0.21	0.21	0.35	1.0	-167.40166	-171.3136	-172.35806	-167.53772	0.0	0.059091244	-10.95225626574556	1.3009457106661069	0.18566775244299674	57
Adgrg1	0.5	0.37	0.37	0.63	1.0	-37.775444	-38.436443	-37.996105	-38.527496	0.66617036	0.32661217	-12.935748438515716	1.4800139650916568	0.026058631921824105	8
Adgrg3	0.41	0.31	0.31	0.52	1.0	-14.845718	-15.490822	-15.405858	-15.061007	0.1317057	0.09349846	-14.075023381746824	1.6945038078455683	0.003257328990228013	1
Katnb1	0.35	0.48	0.35	0.42	1.0	-63.19176	-63.579662	-64.2938	-62.212708	0.0	-0.4251975	-12.352529480192185	3.60834413278077	0.05537459283387622	17
Kifc3	0.35	0.3299999999999999	0.3299999999999999	0.59	1.0	-63.97246	-62.39856	-63.055744	-63.072968	0.0	-0.39064535	-12.28526807990254	5.443304735516539	0.048859934853420196	15
Cngb1	0.4	0.42	0.4	0.55	1.0	-7.3966484	-7.7780333	-7.2724166	-7.7498817	1.0	0.15340729	-15.050894734946159	5.698848227049788	0.003257328990228013	1
Zfp319	0.48	0.36	0.36	0.6	1.0	-63.243427	-60.745995	-62.621178	-61.002556	0.0	-0.97319806	-12.323989326594653	1.3455905949157678	0.05537459283387622	17
Usb1	0.45	0.41	0.41	0.68	0.9599999999999996	-53.29132	-52.48008	-53.11087	-52.95503	0.0	-0.14604987	-12.511156190901788	1.3047044151040188	0.04560260586319218	14
Mmp15	0.35	0.43	0.35	0.64	1.0	-27.3987	-26.366968	-27.009373	-27.137981	0.0	-0.113228954	-13.28337743208856	0.37255516411286127	0.016286644951140065	5
Cfap20	0.3	0.4599999999999999	0.3	0.52	1.0	-264.11435	-259.14825	-261.45648	-262.38345	0.0	-0.7517186	-9.806246647528127	3.593427118430941	0.3713355048859935	114
Csnk2a2	0.35	0.3	0.3	0.57	1.0	-130.91951	-124.312805	-127.19975	-126.24812	0.0	-2.0287573	-10.957317231930237	4.475754339419131	0.15309446254071662	47
Gins3	0.22	0.29	0.22	0.55	1.0	-21.547913	-23.086304	-21.660084	-22.718945	0.9270854	0.5085727	-13.486327041290885	3.7079403724597957	0.016286644951140065	5
Ndrg4	0.49	0.47	0.47	0.55	1.0	-153.15866	-148.43274	-153.27121	-147.51631	0.0	-2.4504411	-10.85870550787497	5.480047711587952	0.14332247557003258	44
Setd6	0.25	0.47	0.25	0.58	1.0	-153.43758	-148.35735	-151.793	-150.75534	0.0	-1.1648802	-10.848054821185519	6.151175624070198	0.16286644951140064	50
Cnot1	0.3199999999999999	0.21	0.21	0.56	1.0	-222.43408	-224.04178	-224.52249	-225.75566	0.0	1.4425434	-10.289652468053838	1.2872896133960587	0.2768729641693811	85
4930513N10Rik	0.18	0.3	0.18	0.62	1.0	-9.342142	-10.234922	-9.245596	-10.108507	1.0	0.3328281	-14.34154731430115	3.474196527389377	0.006514657980456026	2
Sap18b	0.25	0.4499999999999999	0.25	0.67	0.9899999999999998	-83.58058	-80.535965	-82.73961	-81.01587	0.0	-1.1138405	-11.890134915899498	3.2470787272787978	0.07166123778501629	22
Slc38a7	0.3399999999999999	0.3	0.3	0.68	0.9599999999999996	-71.06246	-68.286514	-69.30552	-69.39915	0.0	-0.7223684	-12.113048533323319	1.0708329207590772	0.06188925081433225	19
Got2	0.39	0.41	0.39	0.6	1.0	-245.1437	-238.3293	-246.51555	-239.76953	0.0	-2.333975	-10.00730519361491	1.1787796748666146	0.2964169381107492	91
Cdh11	0.24	0.45	0.24	0.6	1.0	-261.58392	-256.53247	-256.04852	-262.65878	0.0	0.4668056	-10.060792260530139	3.350081466723276	0.254071661237785	78
Cdh5	0.16	0.19	0.16	0.66	1.0	-87.0497	-85.05013	-87.27203	-85.24324	0.0	-0.7845345	-12.078512907531922	0.7579087457020046	0.03257328990228013	10
Bean1	0.35	0.42	0.35	0.57	1.0	-6.0592947	-6.0073137	-5.951619	-6.1562996	0.0	0.04212869	-14.989389912585079	3.4401876975132915	0.003257328990228013	1
Tk2	0.3199999999999999	0.41	0.3199999999999999	0.65	1.0	-80.39988	-77.081154	-79.435486	-77.4103	0.0	-1.2983574	-11.938285573505102	1.0953306706554065	0.06840390879478828	21
Cklf	0.15	0.31	0.15	0.59	1.0	-78.41453	-78.529526	-78.44639	-78.860634	0.7229483	0.19374135	-11.971857632458194	5.740389091322258	0.06514657980456026	20
Cmtm3	0.0799999999999999	0.16	0.0799999999999999	0.67	0.9899999999999998	-181.89986	-182.87961	-180.3151	-183.22282	1.0	0.5745575	-10.580186276461259	5.635693243066773	0.18892508143322476	58
Cmtm4	0.12	0.41	0.12	0.61	1.0	-86.51565	-84.653984	-85.506546	-85.42845	0.0	-0.47216338	-11.796094735573703	6.218724612007102	0.07166123778501629	22
Dync1li2	0.49	0.42	0.42	0.6	1.0	-202.87599	-198.76802	-202.73763	-199.47452	0.0	-1.4772414	-10.227546408532536	4.5229118000289255	0.26058631921824105	80
K230015D01Rik	0.33	0.2099999999999999	0.2099999999999999	0.69	0.93	-14.737783	-14.835538	-14.333445	-15.135706	1.0	0.17281555	-13.973298241750385	4.087660407151933	0.009771986970684038	3
Nae1	0.4599999999999999	0.42	0.42	0.57	1.0	-258.66623	-247.87114	-254.48882	-251.07031	0.0	-3.2988646	-9.947102955462258	1.2671870680098625	0.34201954397394135	105
Car7	0.29	0.47	0.29	0.7	0.9	-15.616781	-15.983667	-15.412498	-16.366566	1.0	0.32562727	-13.984114784979266	6.172963377785824	0.009771986970684038	3
Pdp2	0.47	0.21	0.21	0.54	1.0	-123.59568	-124.07384	-124.71248	-127.38967	0.0	1.6477094	-11.349919625957263	1.7030931373407938	0.11400651465798045	35
Rrad	0.3199999999999999	0.4599999999999999	0.3199999999999999	0.62	1.0	-458.02484	-447.1496	-458.7748	-447.57144	0.0	-4.5398536	-8.85532594685285	5.712810342152462	0.4820846905537459	148
Gm33023	0.29	0.45	0.29	0.61	1.0	-29.15159	-28.368774	-28.65041	-28.782553	0.0	-0.160271	-13.47518414095192	2.8703846068519203	0.016286644951140065	5
Ciao2b	0.41	0.49	0.41	0.61	1.0	-428.3404	-415.21655	-421.64404	-419.06573	0.0	-4.0279326	-9.076487847543355	2.267591426991637	0.6123778501628665	188
Ces2e	0.1	0.49	0.1	0.68	0.9599999999999996	-25.535667	-24.949482	-24.384853	-25.512012	0.0	-0.010273209	-13.390784009329114	3.3230133802275215	0.006514657980456026	2
Ces2g	0.27	0.48	0.27	0.67	0.9899999999999998	-169.40576	-171.4849	-169.2731	-172.46426	1.0	1.3282906	-10.688657690756987	6.044953977362948	0.1758957654723127	54
