gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
Selenocompound metabolism,3,Txnrd3;Inmt;Papss2,0.825192,-0.615554,-0.956745,-0.136163,-0.242204,-0.670111,0.252298,-0.433826,-0.844699,-0.008509,0.209639,-0.319001,0.736398
Endocytosis,8,Hspa1a;Hspa1b;Asap2;Ldlr;Fgfr2;Hspa8;Cav1;Grk5,0.682921,-0.665585,-0.830318,-0.446721,-0.167153,-0.381774,0.053243,-0.121621,-0.370418,0.145383,0.017336,-0.186666,0.193467
Drug metabolism,9,Upb1;Gsta4;Gstt1;Rrm2;Fmo1;Fmo2;Fmo3;Fmo4;Upp2,0.575443,0.311844,0.028917,0.530829,-0.116387,-0.461652,0.235172,-0.263599,-0.507021,-0.035896,-0.095424,-0.374108,0.099589
Steroid biosynthesis,5,Hsd17b7;Dhcr24;Msmo1;Cyp51;Sqle,0.54658,-0.527028,-0.856743,-0.163292,-0.074546,-0.41318,0.283812,-0.15664,-0.502415,0.179781,0.019552,-0.200411,0.216511
Antigen processing and presentation,8,Cd74;Hsp90aa1;Hspa5;Hspa8;Hspa1a;Hspa1b;Hsp90ab1;Ifi30,0.521659,-0.557165,-0.77664,-0.340063,-0.37793,-0.582439,-0.180233,-0.277896,-0.530336,-0.033865,-0.035507,-0.257154,0.176689
ErbB signaling pathway,11,Jun;Ereg;Pik3r3;Myc;Pak4;Pak3;Pak6;Hbegf;Cdkn1a;Eif4ebp1;Camk2b,0.492,-0.364802,-0.634589,-0.093172,0.061317,-0.115969,0.239145,0.127197,-0.096134,0.328839,-0.035319,-0.273682,0.155409
Cocaine addiction,7,Jun;Bdnf;Ppp1r1b;Atf4;Gnai1;Creb3l1;Drd1,0.437586,-0.021904,-0.426871,0.314303,-0.453221,-0.752097,-0.171712,-0.015634,-0.253959,0.228867,-0.078834,-0.352479,0.220294
Protein processing in endoplasmic reticulum,21,Hspa1a;Hspa1b;Hsp90b1;Xbp1;Pdia6;Hyou1;Cryab;Atf4;Hspa4l;Hsph1;Hsp90aa1;Hspa5;Hspa8;Ube2g1;Dnajc1;Dnajb2;Dnajb1;Dnaja1;Ddit3;Hsp90ab1;Herpud1,0.427463,-0.396263,-0.524418,-0.279582,-0.169698,-0.302446,-0.065887,-0.125446,-0.254435,0.026956,0.0312,-0.095821,0.124944
VEGF signaling pathway,6,Sphk1;Mapk12;Mapkapk3;Pik3r3;Hspb1;Ptgs2,0.425793,-0.013265,-0.380401,0.333293,-0.393298,-0.663372,-0.118969,-0.172992,-0.384962,0.113608,0.032495,-0.221722,0.342955
Spliceosome,8,Hnrnpm;Hspa1a;Srsf5;Hspa1b;Hspa8;Bcas2;Cdc40;Hnrnpa1,0.424754,-0.443363,-0.614117,-0.254846,-0.225282,-0.416875,-0.029933,-0.227511,-0.404666,-0.021545,-0.01861,-0.209935,0.180476
