gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
Pax6 (human),10,Prrx2;Hat1;Hfe;Pkig;Lxn;Sult1a1;Banp;Gnl1;Tfap4;Smpdl3b,0.587291,0.255881,-0.028084,0.515934,-0.199428,-0.469307,0.0227,-0.33141,-0.580295,-0.129659,-0.016039,-0.190365,0.155189
IRF7 (human),4,Mamstr;Tet1;Irf7;Ide,0.580606,0.158647,-0.238653,0.59074,-0.167076,-0.54375,0.179298,0.1246,-0.16542,0.485663,-0.421959,-0.951247,-0.058744
SMAD3 (human),6,Tgfb3;Foxf1;Serpine1;Eln;Npas4;Ankrd1,0.572939,-0.472508,-0.762768,-0.213934,-0.12843,-0.404968,0.070122,0.100431,-0.237591,0.384835,-0.012977,-0.291604,0.250583
NR1H2 (human),22,Psmd9;Nr1d2;Lxn;Tmc7;Mrpl27;Timp1;Kank4;Col14a1;Dnajb1;Xirp1;Bcas2;Aimp2;Pdk4;Ide;Sec14l1;Socs2;Elmo1;Plaur;Pik3ip1;Camk2b;Samhd1;Spata24,0.353489,0.10361,-0.086089,0.289745,-0.249879,-0.38965,-0.134183,0.033454,-0.126288,0.167528,-0.110617,-0.259156,0.023747
CRX (human),45,Psmd9;Baz1a;Sult1a1;Tmc7;Mbd2;Cenpa;Prrx2;Hat1;Rnft1;Has3;Fbxo31;Synpo2l;Aph1a;Tspan15;Rsad1;Scn2b;Tspan9;Cd14;Id1;Socs2;Spc24;Pnpla2;Fdps;Gpcpd1;Rbm14;Trib3;Hnrnpm;Serpinf1;Nr1d1;Slc16a11;Bloc1s1;Gramd1c;Fkbp5;Cys1;Efhb;Smpdl3b;Rhebl1;Por;Dpf1;Aldoa;Nqo1;Gdf15;Cdk2ap1;Hspb1;Wee1,0.338266,0.162326,0.04743,0.26934,-0.175941,-0.283679,-0.075383,-0.056187,-0.158368,0.065123,-0.091953,-0.19168,0.004251
MYC (human),79,Haghl;Upb1;Ngef;Atf3;Psmd9;Hes1;Klf11;Klf15;Pdgfb;Bhlhe40;Bhlhe41;Egln3;Dgat2;Fabp3;Tmem51;Bik;Mapkapk3;Foxo3;Hsp90b1;Has3;Pcyt2;Me3;Unc5b;Unc5d;Hnrnpa1;Actn2;Crispld2;Epb41;Ppp1r3b;C4b;Commd8;Ppp1r1b;Il16;Ccdc107;Per3;Per1;Tcap;Herpud1;Stbd1;Rgs2;Prr7;Tef;Asb2;Serpine1;Fam120c;Mthfr;Nr1d1;Nr1d2;Bloc1s1;Cyb561;Rnf145;G0s2;Fmo4;Tmem229b;Angptl2;Tmem38b;Snrpn;Ankrd23;Enkur;Fkbp5;Sbsn;Grb14;Rbbp4;Ankrd12;Cpt1a;Selenbp1;Dnaja1;Asph;Slc24a4;Lsp1;Eif5a2;Tnnt2;Rpusd4;Aldoa;Gdf15;Efna1;Cdh16;Axin2;Wee1,0.28894,0.090952,0.00249,0.198763,-0.197988,-0.284708,-0.119317,-0.038087,-0.11498,0.040753,-0.03828,-0.125975,0.038166
KLF11 (human),83,Ngef;Hes1;Hes6;Gbp5;Klf12;Cryab;Pdgfb;Dusp8;Bhlhe40;Lag3;Prrx2;Rasl10b;Zbtb16;Cdc25b;Ly6e;Slc25a34;Hr;Kcnd3;Pim3;Marcksl1;Ntrk3;Cirbp;Mfsd10;Mapk12;Ppp1r1b;Wnk4;Rcor2;Ifi30;Tspan4;Rrad;Tcap;Nxph3;Asb10;Inhbb;Irf7;Rbm24;Prr7;Cck;Asb2;Serpine1;Flrt1;Mthfr;Nr1d1;Nr1d2;Pax1;Cyb561;Rnf152;Timp1;Dhrs3;Gpr146;Adamtsl5;Sbsn;Igfbp6;Mamstr;Fam107a;Abhd11;Ccdc42;Phactr3;Selenbp1;Cebpb;Lsp1;Haus8;Tnni3;Hsbp1l1;Pfn1;Cbfa2t3;Dpf1;Igsf8;Acvrl1;Adrb1;Mapre2;Tgfbi;Nol3;Ephx1;Nr4a2;Efna1;Espn;Nr4a1;Hspb7;Dbp;Cldn7;Thra;Camk2b,0.263176,0.036036,-0.048904,0.127774,-0.22714,-0.30981,-0.138921,-0.02655,-0.095551,0.039639,-0.131437,-0.224063,-0.026114
Sox5 (mouse),22,Prex2;Gbp5;Pawr;Peli1;Rspo3;Snrpn;Csf1;Ppef1;Hsp90aa1;Plekhg3;Fhl2;Mylk4;Rhebl1;Rin3;Apcdd1;Tmem50b;Capsl;Cd74;Pde7a;Pak3;Hba-a1;Hba-a2,0.255487,-0.016192,-0.202567,0.156437,-0.259701,-0.421619,-0.100116,-0.121641,-0.25324,0.015633,-0.004213,-0.167443,0.125647
USF1 (human),75,Upb1;Ngef;Atf3;Hes1;Klf11;Klf15;Pdgfb;Hsph1;Bhlhe40;Bhlhe41;Fabp3;Tmem51;Bik;Foxo3;Hsp90b1;Has3;Fam13a;Me3;Unc5d;Upp2;Hnrnpa1;Actn2;Tm4sf1;Crispld2;Epb41;Ppp1r3b;Commd8;Ppp1r1b;Il16;Ccdc107;Per3;Per1;Herpud1;Capn3;Cacna1d;Prr7;Tef;Asb2;Serpine1;Fam120c;Mthfr;Nr1d2;Gnl1;Cyb561;Rnf145;G0s2;Tmem229b;Angptl2;Slc8a3;Tmem38b;Snrpn;Ckm;Ankrd23;Enkur;Fkbp5;Sbsn;Ankrd12;Rhobtb1;Cpt1a;Selenbp1;Dnaja1;Asph;Slc24a4;Lsp1;Rhebl1;Pfn1;Eif5a2;Tnnt2;Rpusd4;Tgfb3;Efna1;Cdh16;Axin2;Wee1;Rbm3,0.245709,0.091769,-0.017687,0.200784,-0.15394,-0.232283,-0.073458,-0.050535,-0.128955,0.020946,-0.048682,-0.144474,0.042968
IRF2 (human),42,C3;Lrrc39;Mecom;Spsb1;Kank4;Rnaseh2b;Slc16a9;Acp6;Myo10;Hhip;Ube2g1;Ptprd;Ide;Pcsk5;Bbs5;Klhl31;Rem1;Fdps;Rgs1;Samhd1;Coq10b;Smc2;Ier5;Ier3;Gnl1;Fmo3;Tmem38b;Cys1;Klf9;Apobr;Smpdl3b;Glrx;Akap5;Gpm6a;Dpf1;Glul;Nqo1;Mapre2;Tgfb2;Hist1h2ae;Tshr;Palld,0.243792,0.100796,-0.006282,0.218726,-0.01838,-0.137186,0.100453,-0.142996,-0.254049,-0.040808,-0.022439,-0.131502,0.073061
