gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Gm10532	0.44	0.2	0.2	0.7	0.9	-67.07078	-64.945305	-67.03768	-64.90376	0.0	-0.94112265	-17.038048661270278	1.498531118896338	0.0007151796888968353	8
Gm36278	0.49	0.3	0.3	0.42	1.0	-175.8279	-173.84846	-175.55328	-174.06863	0.0	-0.7640378	-15.832016129853805	4.773564304524667	0.0022349365278026105	25
Dkc1	0.49	0.35	0.35	0.55	1.0	-8257.717	-8186.05	-8242.386	-8198.414	0.0	-25.75485	-10.628983853166831	1.3753135485452734	0.2706955122474522	3028
Gm10134	0.42	0.33	0.33	0.5	1.0	-1025.2181	-1021.42566	-1024.6721	-1022.32117	0.0	-1.2581393	-13.619563977254575	1.5982531640399635	0.017343107455748255	194
Polq	0.0899999999999999	0.4399999999999999	0.0899999999999999	0.8	0.5999999999999999	-182.39249	-181.20807	-181.20663	-182.27	0.0	-0.053193387	-15.770360316434298	6.205800381815643	0.002324333988914715	26
Gfpt2	0.37	0.18	0.18	0.62	1.0	-613.1504	-601.35345	-608.5781	-605.6864	0.0	-3.2415693	-14.287874393354652	1.8990999503095676	0.009833720722331485	110
Tmem126a	0.26	0.17	0.17	0.69	0.93	-12109.612	-11949.447	-12043.518	-12017.085	0.0	-40.184113	-9.907101450847989	2.320866851116395	0.48667977829429643	5444
Reck	0.3199999999999999	0.1999999999999999	0.1999999999999999	0.6	1.0	-10506.364	-10380.29	-10397.06	-10453.7705	0.0	-22.841175	-10.250771055940632	5.135757991216845	0.375826926515287	4204
Hip1	0.3	0.13	0.13	0.43	1.0	-18306.06	-18172.492	-18367.268	-18187.727	0.0	-51.391796	-9.047870111962634	4.394683606827945	0.7143751117468264	7991
Gm13889	0.3299999999999999	0.07	0.07	0.65	1.0	-28841.266	-28522.475	-28514.922	-28815.688	0.0	-11.1084385	-8.225705944962549	1.1917795940369995	0.8043983550867155	8998
