gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
RORB (mouse),19,Larp6;Mmp15;Slc39a11;Tspan4;Nfil3;Fam174b;Pld1;Cry1;Mvd;Phf19;Ahsg;Cdkn1a;Alms1;Ccl19;Serpina3c;Smpdl3b;Manf;Pdk4;Gsta3,0.222516,-0.1489,-0.391751,0.098368,-0.035512,-0.257414,0.226237,-0.177645,-0.464262,0.113754,-0.258028,-0.482989,-0.076007
SND1 (human),48,Klf11;Fxyd4;Fabp4;Cyp2e1;Gstp1;Spp1;Slc25a47;Dmxl2;Pabpc1l;Ccl7;Mia;Lmcd1;Per2;Cd55;Prdm8;Klhl31;Ccnb1ip1;Vcan;Cpxm1;Ptx3;Tef;Vim;Fmo3;Tmem229b;Alms1;Adamtsl2;Fkbp5;Ldlr;Tfdp2;Insig1;Fgf1;Clec2d;Sp100;Aqp1;Cmbl;Dixdc1;Rhoc;Fibin;Elmo1;Scg3;Myh11;Arhgap22;Nfkbiz;Agap2;Cxcl5;Dpp4;Mlana;Aldh1a2,0.221546,0.002393,-0.182714,0.186043,0.142702,-0.004007,0.275429,0.025883,-0.121116,0.188561,0.223938,0.02041,0.412293
FOS (human),33,Lum;Hpgd;Il20rb;Cenpm;Slc9a3r1;Osgin1;Bok;Pcsk6;Ctsk;Per2;Mid1;Cox19;Hist4h4;Crym;Vim;Serpine1;Nr1d1;Gja4;Ahsg;G0s2;Fgf1;Slco2b1;Inmt;Uba52;Ankrd1;Scg3;Hspa5;Nfkbiz;Dpp4;Plaur;Tiam2;Col8a1;Rbm3,0.204873,-0.032299,-0.28806,0.232533,0.016182,-0.141312,0.180665,-0.026647,-0.226986,0.13853,0.172573,0.019623,0.378421
NFIA (human),40,Accs;Mrvi1;Hsph1;Cyp2e1;Slc25a34;Sh3bp2;Slc25a47;Osgin1;Tmem86a;Ano1;Enpp2;Rarres1;Chchd10;Cytl1;Tnfaip2;Marveld1;Gfod2;Daam2;Sytl2;Tef;Cntfr;Nfatc2;Cyb561;Ahsg;Angptl7;Angptl1;Fkbp5;Tfdp2;Sema3e;Sp110;Tnnt2;Ppl;Edn1;Adrb2;Cc2d2a;Cst6;Gabre;Ephx2;Aldh3b1;Scin,0.200305,-0.006013,-0.212049,0.176137,-0.031551,-0.208085,0.138617,-0.206319,-0.401033,-0.037519,-0.07185,-0.253588,0.072962
JUN (human),78,Hpgd;Aif1l;Hyou1;Mrvi1;Mmp14;Cenpm;Tcp11l2;Cdc25b;Plod2;Bok;Slc36a2;Ttc39b;Slc10a6;Il34;Rarres1;Ccnb1ip1;Cox19;Cytl1;Nav3;Lasp1;Add2;Tef;Dhrs9;Frmd4b;Insig1;Fgf1;Angpt2;Pi15;Haus8;Aqp1;Svil;Gabre;Lmo2;Clspn;Plaur;Tiam2;Vamp5;Il20rb;Fabp4;Has1;Leo1;Slc38a1;Nova1;Fndc5;Sfrp1;Pcsk6;Ctsk;Per1;Mid1;Klhl31;Klhl13;Cpxm1;Tac1;Hist4h4;Sytl2;Sytl5;Rad51ap2;Cacnb4;Inmt;Limch1;Uba52;Sp110;Glul;Cutc;Scg3;Ephx1;Aldh3a1;Plcxd3;Arhgap22;Aldh3b1;Hspb1;Dpp4;Cxcl5;Hebp2;Palld;Pik3ip1;Col8a1;Chchd2,0.182923,0.161244,0.012904,0.296129,0.136146,0.029573,0.24035,0.002258,-0.173103,0.156717,0.185181,0.068761,0.308739
LEF1 (mouse),44,Rapgef5;Wtip;Kcna2;Cdc25b;Trim24;Cpne7;Hhip;Apod;Plat;Pld1;Trdmt1;Angptl1;Pygl;Fgf1;Trim30a;Pdk4;Vwc2;Lmo2;Lpl;Fabp5;Slc25a34;Lingo1;Ephb2;Sfi1;Snx8;Camkk2;Fam177a;Psrc1;Vim;Fzd4;Mrap;Emb;Fmo1;Fmo4;Sost;Sp100;Tsc22d3;Ankrd1;Scd2;Npy1r;Abcc4;Nfkbiz;Ncam1;Agap2,0.165537,-0.204021,-0.388679,-0.018699,-0.038484,-0.175526,0.121608,-0.10084,-0.300499,0.070547,-0.155236,-0.344334,-0.035329
NFKB1 (human),114,Mrvi1;Fxyd4;Mbd1;Kcna2;Gstp1;Atp10a;Trim67;Txnip;Ece1;St5;Slc10a6;Vmo1;Enpp2;Prdm8;Chchd10;Ccnb1ip1;Plat;Cytl1;Lasp1;Dapk1;Ptx3;Cbs;Tef;Ahsg;Fosb;Adamtsl2;Fkbp5;Fgf1;Mcm6;Mab21l2;Aqp1;Svil;Ppp2cb;Dbi;Lonrf1;Rbm3;Cox4i2;Pabpc1l;Ephb2;Fndc5;Mia;Gngt2;Penk;Per3;Per2;Ccne2;Bckdha;Rpl10;Fzd4;Gpr146;Cys1;Erf;Fam107a;Aspa;Elmo1;Aldh3a1;Aldh3b1;Nfkbiz;Cxcl5;Palld;Chchd2;Phka1;Crlf1;Cox6b2;Smpd3;Spp1;Dmxl2;Osgin1;Cirbp;Nrgn;Islr2;Cd200;Egr3;Il34;Rarres1;Fbn1;Hook2;Add2;Pygl;Aifm3;Hmgn2;Tfdp2;Slco2b1;C1qtnf3;Adamts4;Cst6;Clspn;Fam167a;Upb1;Klf11;Hspb11;Sh3bp2;Has1;Ccl7;Tspan4;Ano1;Camkk2;Col5a3;Vcan;Enpep;Chst15;Igfbp3;Cacnb4;Inmt;Daglb;Sp110;Manf;Tnnt2;Dixdc1;Rhoc;Myh11;Dpp4;Mlana;Pik3ip1,0.165308,-0.055101,-0.169007,0.048759,-0.051502,-0.141741,0.050226,-0.120272,-0.242072,-0.018461,0.045036,-0.043816,0.146089
TFAP2A (human),111,Fxyd3;Mbd1;Kcna2;Atp10a;Npas2;Kcnd3;Trim67;Tnfrsf25;Slc36a2;Ece1;E2f1;Cox19;Cytl1;Lasp1;Cbs;St3gal4;Angptl4;Tmem229b;Adamtsl2;Fkbp4;Bcl6;Aqp1;Svil;Atp1b1;Wif1;Lox;Dbi;Clock;Slc25a34;Peg3;Lingo1;Foxf1;Spon2;Tnfrsf12a;Gngt2;Penk;Per3;Per2;Tmem151a;Stbd1;Tbc1d8;Rpl10;Cyp1b1;Prdx6;Zfp28;Esrrg;Cys1;Ankrd12;Aspa;Fam180a;Arid3a;Aldh3a1;Aldh3b1;Aif1l;Crlf1;Bhlhe41;Tcp11l2;Slc39a11;Lcn8;Cirbp;Islr2;Cpne7;Egr3;Adcyap1r1;Tcap;Rarres1;Add2;Nr1d2;Tubb2b;Dhrs9;Aifm3;Pgf;Slco2b1;Ppl;Apba1;Hoxa10;Efnb2;Rasd1;Rasd2;Wee1;Fam167a;Klf11;Vamp5;Lrrc27;Hspb11;Smtnl2;Tmem52;Zbtb16;Sh3bp2;Crnde;Lepr;Nova1;Itih5;Tspan4;Rftn1;Camkk2;Cd55;Cd74;Mid1;Sox12;Cntfr;Chst15;Mthfs;Cyb561;Efhd1;Rhoc;Stc2;Myh11;Nr4a3;Hebp2;Nt5dc2,0.15358,0.001589,-0.132529,0.11842,-0.069394,-0.161051,0.031384,-0.151991,-0.257477,-0.04294,-0.033944,-0.139587,0.068404
STAT5B (human),42,Cdca7;Lypd1;Rapgef5;Ptgs2;Psmb8;Dmxl2;Gria4;Ece1;Lmcd1;Mid1;Klhl31;Acaa2;Vcan;Hist4h4;Sytl2;Sytl5;Plac8;Ahsg;Dhrs9;Tmem229b;Angptl1;Cdkn1a;Dio2;Ankrd37;Frmd4b;Rhobtb1;Clec2d;Adamts4;Arrdc3;Cmbl;Nmb;Npy1r;Elmo1;Scg3;Dock10;Postn;Lpl;Dbi;Hebp2;Scin;Tiam2;Palld,0.13978,0.061969,-0.141417,0.321592,0.201749,0.070479,0.323524,0.082394,-0.062731,0.258358,0.111731,-0.049308,0.27685
TBP (mouse),53,Mthfd2;Hyou1;Rapgef5;Atp10a;Ech1;Akr1c14;Enpp2;Ifi203;Pld1;Angptl4;Slc4a10;Lrrn4cl;Postn;Tiam2;Hsph1;Cyp2e1;Lix1;Dbf4;Creld2;Klhl31;Taf1c;Mmp3;Tac1;Rpl17;Olfr1034;Esrrg;Calcrl;Ankrd12;Aspa;Fastkd3;Nfkbiz;Spp1;Dlx6;Adh1;Epyc;Frmd4b;Tfdp2;Dna2;Magt1;Ptn;Wee1;Myoc;Pla2g4a;Mid1;Sytl2;Sytl5;Rad51ap2;Clec2d;Sema3e;Sp110;Tsc22d3;Fibin;Scg3,0.134488,0.068846,-0.126481,0.272725,0.091598,-0.031248,0.240011,0.064609,-0.088305,0.246708,0.199097,0.041456,0.333222
KLF13 (human),46,Tmem37;Hspb11;Dgat2;Mbd1;Cdc25b;S100a4;Npas2;Sh3bp2;Lepr;Mbp;Trim67;Sfrp1;Egr3;Tspan4;Snx8;Fkbp1b;Per1;Tcap;Col5a3;Klhl13;Bckdha;Trdmt1;Cbs;Clmp;Sytl2;Angptl7;Angptl2;Aifm3;Slco2a1;Esrrg;Tfdp2;Fam107a;Slco2b1;Inmt;Itpr3;Lbh;Mab21l2;Uba52;Vwc2;Gsta3;Comp;Ephx1;Nr4a3;Slc40a1;Pik3ip1;Col8a1,0.094343,-0.113837,-0.280858,0.041628,-0.113023,-0.251669,0.054319,-0.191175,-0.313647,-0.028448,-0.096832,-0.254377,0.081685
ZBTB7A (human),38,Crlf1;Rapgef5;Iqgap2;Hspb11;Mbd1;Slco3a1;Kcna2;Tmem52;Sh3bp2;Chaf1b;Trim67;Lingo1;Ece1;Fndc5;Cpne7;Tspan4;Creld2;Penk;Lmcd1;Per3;Klhl13;Acaa2;Chst15;Fosb;Cdkn1a;Adamtsl2;Aifm3;Tfdp2;Uba52;Manf;Glul;Svil;Podn;Efnb2;Rasd2;S1pr3;Nr4a3;Dbi,0.054551,-0.142122,-0.366919,0.083444,-0.182704,-0.323223,-0.024878,-0.128154,-0.321467,0.039194,-0.142264,-0.318078,0.054663
NFKB1 (mouse),98,Atp10a;Trim67;Tnfrsf25;Bok;Trim24;Sub1;C4b;Rnf144a;Lasp1;Fosb;Cebpd;Aqp1;Ifit1;Atp1b1;Bambi;Pdpn;Dbp;Lonrf1;Plaur;Clock;Prex2;Rnaseh2b;Peg3;Creld2;Pcsk6;Socs2;Per3;Fkbp1b;Ccne2;Per1;Tmem151a;Acaa2;Fam177a;Psrc1;Hist4h4;Eln;Gpr146;Zfp28;Ankrd37;Fam107a;Fastkd3;Ankrd1;Stab1;Arid3a;Sash1;Hspa5;Nfkbiz;Cxcl5;Chchd2;Aif1l;Bhlhe41;Hprt;Slc9a3r1;Chaf1b;Islr2;Egr3;Nfil3;Hhipl1;Car8;Nfatc2;Aifm3;Deptor;Hmgn2;Cdc14a;Slco2b1;Hmgcs2;Adamts4;Cldn10;Magt1;Cyp2b10;Sorbs1;Gabre;Lmo2;Lrrc27;Tmco6;Iqgap2;Smtnl2;F13a1;Tmem52;Ptgs2;Itih5;Ano1;Camkk2;Cd74;Nxph1;Vcan;Mthfs;Pax1;Adm;Fmo2;Efhd1;Tnmd;Daglb;Npy1r;Pdia6;Slc2a1;Arhgap18;Agap2,0.037319,-0.083758,-0.238904,0.059023,-0.084114,-0.177168,0.031869,-0.069954,-0.169289,0.035806,-0.107272,-0.211976,-0.027905
