frac_female_amplitude_larger
0.5766
0.3586
0.4466
0.4816
0.4378
0.2658
0.4372
0.6912
0.4862
0.488
0.1014
0.6272
0.2436
0.8898
0.7286
0.7542
0.7764
0.643
0.7742
0.2214
0.5646
0.3716
0.1432
0.3114
0.2656
0.836
0.6104
0.7196
0.55
0.5186
0.618
0.7004
0.94
0.238
0.3782
0.4064
0.5568
0.675
0.3154
0.4494
0.7932
0.8302
0.368
0.8782
0.5472
0.7186
0.7286
0.7872
0.895
0.1918
0.418
0.5912
0.391
0.672
0.5192
0.3942
0.498
0.691
0.5648
0.3414
0.4712
0.7278
0.3224
0.7626
0.4592
0.3644
0.682
0.4332
0.458
0.5476
0.606
0.1874
0.4006
0.5128
0.3192
0.4028
0.601
0.6976
0.4352
0.446
0.6256
0.8534
0.698
0.1624
0.8368
0.8128
0.8576
0.6168
0.701
0.3254
0.5044
0.3518
0.6068
0.6422
0.7454
0.409
0.6884
0.775
0.5364
0.6856
0.461
0.6558
0.6428
0.8912
0.6294
0.5224
0.3988
0.6228
0.447
0.6064
0.5096
0.746
0.473
0.7392
0.4522
0.4896
0.31
0.4978
0.388
0.2844
0.7518
0.2516
0.6038
0.7484
0.5034
0.5384
0.9108
0.2668
0.2578
0.2856
0.4084
0.205
0.3376
0.5692
0.6706
0.5032
0.305
0.5688
0.6302
0.37
0.6578
0.3812
0.6218
0.5538
0.2522
0.8536
0.3642
0.5566
0.3474
0.4188
0.4812
0.0964
0.2538
0.309
0.356
0.6086
0.589
0.5574
0.5912
0.6928
0.5454
0.8746
0.83
0.6912
0.6136
0.478
0.5254
0.7926
0.6502
0.5716
0.8086
0.3828
0.7254
0.2168
0.5302
0.8352
0.668
0.4144
0.287
0.4644
0.4156
0.3626
0.3862
0.2368
0.223
0.7128
0.6164
0.697
0.2108
0.2
0.4218
0.8712
0.4888
0.311
0.5252
0.333
0.707
0.6262
0.7078
0.8314
0.4268
0.694
0.525
0.5594
0.9416
0.7944
0.9288
0.6696
0.5794
0.2966
0.1808
0.6524
0.6174
0.5796
0.5952
0.4336
0.3996
0.4702
0.4168
0.4006
0.9254
0.0938
0.5672
0.4874
0.9376
0.4704
0.7004
0.8644
0.2336
0.7034
0.818
0.6658
0.8232
0.8016
0.2814
0.3248
0.4036
0.629
0.705
0.926
0.27
0.6748
0.3142
0.548
0.3386
0.6692
0.7718
0.1838
0.3592
0.433
0.3324
0.1666
0.3828
0.4744
0.4882
0.5624
0.8156
0.2006
0.6846
0.6074
0.2174
0.5428
0.4698
0.4606
0.6682
0.4612
0.3942
0.5396
0.2796
0.3696
0.7386
0.7484
0.9666
0.9072
0.3394
0.6972
0.5702
0.59
0.3404
0.2494
0.5076
0.6868
0.2592
0.584
0.6666
0.711
0.805
0.3458
0.8858
0.5248
0.515
0.5676
0.236
0.4596
0.5314
0.4722
0.517
0.3596
0.4282
0.1534
0.7246
0.9434
0.301
0.4454
0.2662
0.5562
0.7758
0.7362
0.6788
0.722
0.6582
0.6566
0.7894
0.4244
0.895
0.7096
0.4746
0.3396
0.5958
0.6696
0.6912
0.5806
0.625
0.3632
0.5862
0.6304
0.2654
0.625
0.6582
0.7144
0.2876
0.372
0.5532
0.1868
0.6294
0.3598
0.9138
0.3518
0.8714
0.7588
0.2808
0.505
0.5068
0.5764
0.6126
0.4656
0.2142
0.8528
0.2698
0.8428
0.8264
0.6568
0.115
0.384
0.7338
0.45
0.8918
0.4832
0.3506
0.24
0.3256
0.5234
0.4586
0.47
0.3654
0.7846
0.9346
0.6246
0.3976
0.3874
0.3358
0.546
0.4378
0.5264
0.0692
0.7116
0.4328
0.4684
0.34
0.608
0.441
0.7986
0.2054
0.6284
0.6488
0.376
0.4002
0.8378
0.2742
0.3118
0.86
0.268
0.3854
0.8966
0.3678
0.659
0.4588
0.6608
0.7784
0.5682
0.5358
0.6986
0.4204
0.2046
0.6144
0.586
0.497
0.5902
0.1562
0.828
0.9554
0.6722
0.7728
0.1626
0.8034
0.5226
0.3624
0.6292
0.6686
0.5716
0.4026
0.2644
0.5078
0.6928
0.9092
0.821
0.55
0.6396
