bf_threshold,male,female,shared,unique_male,unique_female
0.5,483,449,134,349,315
0.75,424,404,127,297,277
1.0,388,369,117,271,252
1.25,348,346,112,236,234
1.5,319,320,109,210,211
1.75,295,299,106,189,193
2.0,269,284,102,167,182
2.25,257,261,96,161,165
2.5,245,252,92,153,160
2.75,227,235,87,140,148
3.0,210,223,81,129,142
4.0,172,178,67,105,111
5.0,144,153,61,83,92
6.0,126,137,58,68,79
7.0,119,128,55,64,73
8.0,110,113,50,60,63
9.0,91,107,46,45,61
10.0,78,98,39,39,59
