gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
EGR1 (human),65,Atf3;Prex1;Klf11;Fzd8;Nr1d2;Sqle;Hyou1;Pdgfc;Dusp1;Kcnb1;Gprc5b;Phf19;Rnf145;Iqgap1;F3;Dhrs3;Ankrd50;Gk;Dgkg;Dgkd;Flnc;Kpna1;Erf;Lingo1;Kcnk3;Celf4;Dnajb1;Ptprz1;Cnnm3;Trim24;Plekha7;Egr2;Foxf1;Cbfa2t3;Twist2;Trpm3;Dpf1;Id1;Rpusd4;Id2;Sec14l1;Nfil3;Rab6b;Per2;Hip1;Nudt4;Gdf15;Aig1;Crtc3;Purb;Ccnd1;Auts2;Lhfp;Smad7;Nr4a3;Pkdcc;Arhgef26;Cacna1d;Plec;Npr3;Agap1;Pdlim4;Thra;Camk2b;Dip2c,0.164782,-0.083216,-0.177575,0.009638,-0.187484,-0.282457,-0.117275,-0.022702,-0.118995,0.048831,-0.082895,-0.169759,-0.002917
Sox17 (mouse),23,Rev1;Ccl19;Ablim1;Pim3;Bdnf;Phactr3;Ctxn1;Adamts6;Itih4;Slc22a2;Pdk4;Arl6ip5;Rhou;Dpep1;Nol3;Arhgef26;Mt1;Pdlim4;Fam71a;Il15ra;Tcf7l2;Colec11;Rnd3,0.154788,-0.139954,-0.278782,0.014541,-0.049532,-0.21219,0.08039,-0.20432,-0.343745,-0.056991,-0.068367,-0.235556,0.077135
SP1 (mouse),218,Optc;Atf3;Tob2;Dpysl2;Kcnb1;Dusp1;Wnt9a;Bhlhe40;Bhlhe41;Kcnc4;Mbd2;Wtip;Fads3;Nudt10;Map3k1;Pdcd4;Npas2;Npas4;Fbxo31;Fbxo30;Ahsa2;Bicc1;Kcnk3;Ntrk3;Myo10;Malt1;Trim24;Fam76a;Gstz1;Cpne5;Fam78b;Rrad;Nfil3;Kcnq3;Pnpla2;Nudt4;Ppia;Otud1;Zfand1;Auts2;Pkdcc;Cacna1d;Ets1;Nrtn;Sun2;Plec;Tnfaip8;Lasp1;Setbp1;Trib1;Homer2;Afap1;Rev1;Armc2;Hnrnpl;Tef;Adcy5;Zmiz1;Stard10;Nr1d2;Fosl2;Gnl1;Rara;Phf19;Prdm16;Tead1;Cdkn2c;Smoc1;Tmem229b;Rarg;Phf2;Nampt;Nfix;Ipo5;Cpt1a;Plekhg3;Dnaja4;Cebpb;Sik1;Arrdc2;Cbfa2t3;Slc35f5;Gse1;Zcchc24;Cdk2ap1;Efna5;Efnb2;Purb;Rasd2;Efna1;Axin2;Lpin1;Lonrf1;Tcf7l2;Pde10a;Ddit4;Ddit3;Hlf;Thra;Rfx2;Hspe1;Lin9;Slc5a3;Ppp4r1;Prex1;Sncg;Hes1;Klf11;Klf13;Zbtb7a;Lats2;Fermt2;Kcnma1;Zbtb7c;Upf1;Pth1r;Csnk2a2;Sap30;Hr;Kpna1;Stk24;Cdc42ep3;Fam13c;Hsp90aa1;Nfe2l2;Celf4;Foxk2;Ppp1r14b;Fhl3;Cxxc5;Bend4;Mapk12;Rcor2;Rassf3;Tspan9;Hivep2;Hivep3;Mrps6;Enah;Id1;Id4;Pcsk4;Socs2;Zfr;Stk17b;Zfp703;Sertad4;Mnt;Inhbb;Midn;Bcl9l;Pdlim4;Wnt4;Cdk14;Cntfr;Pip4k2a;Fzd4;Tnnc1;Tnnc2;Slc6a6;Prr12;Hspa4l;Tmem200b;Agtr1a;Prss12;Pawr;Brd1;Rybp;Gpr146;Ankrd50;Dgkd;Nkx6-1;Igfbp5;Irs2;Ptpn13;Il3ra;Rreb1;Irx3;Klf4;Klf2;Pfn1;Eif5a2;Nuak1;Stag1;Ezr;Gng10;Banp;Patz1;Tsc22d1;Tppp3;Igsf8;B3gnt8;Kif13a;Map4k4;Ryk;Arid3a;Fas;Pde7a;Rai14;Zfp36l1;Zfp36l2;Ephx2;Smad7;Smad6;Nr4a2;Usp42;Sh3kbp1;Espn;Sel1l3;Nr4a1;Usp53;Hspa8;Cmtm6;Agap1;Pde4a;Spen;Camk2b;Acan,0.15394,-0.045835,-0.098117,-0.003939,-0.177607,-0.235449,-0.130588,-0.023668,-0.078065,0.016849,-0.081229,-0.126013,-0.044503
KLF11 (human),112,Ngef;Hes1;Hes6;Gbp5;Zbtb7a;Cryab;Pdgfb;Zbtb7c;Dusp8;Fxyd5;Bhlhe40;Lag3;Rasl10b;Zbtb16;Cdc25b;Ly6e;Slc25a34;Hr;Adora1;Pim3;Marcksl1;Ntrk3;Cirbp;Nrgn;Mfsd10;Mapk12;Ppp1r1b;Wnk4;Rcor2;Slc45a4;Ifi30;Tspan4;Rrad;Tmem176b;Tcap;Crip1;Mpg;Nxph3;Ndrg2;Asb10;Ccnd1;Inhbb;Midn;Irf7;Rbm24;Plec;Prr7;Ldb3;Pold4;Cck;Asb2;Serpine1;Mrgprf;Zmiz1;Flrt1;Mthfr;Nr1d1;Nr1d2;Cyb561;Rnf152;Timp1;Dhrs3;Nfic;Ndufa4l2;Gpr146;Rarg;Gli1;Adamtsl5;Slco2a1;Sbsn;Igfbp6;Mamstr;Fam107a;Abhd11;Ccdc42;Phactr3;Plekhg5;Selenbp1;Cebpb;Haus8;Tnni3;Hsbp1l1;Pfn1;Gadd45g;Cbfa2t3;Dpf1;Izumo4;Igsf8;Acvrl1;Adrb1;Cgref1;B3gnt8;Mapre2;Sipa1;Gdpd3;Tgfbi;Nol3;Ephx1;Nr4a2;Efna1;Espn;Nr4a1;Nap1l5;Hspb7;Hspb2;Hebp2;Dbp;Pde4a;Cldn7;Thra;Camk2b;Ccdc28b,0.148306,-0.094365,-0.180216,-0.012547,0.030983,-0.036307,0.08617,-0.027175,-0.095143,0.040758,-0.117323,-0.187357,-0.045335
CEBPE (human),10,Snrpn;Rfx2;Mpg;Ndrg1;Dpysl2;Smad6;Cbx4;Nfil3;Fmo4;Gfod1,0.14816,-0.130047,-0.394814,0.10796,-0.278206,-0.50248,-0.052675,-0.130633,-0.37821,0.097189,-0.137859,-0.33269,0.119125
Stat3 (mouse),85,Oplah;Dusp1;Rapgef4;Mecom;Mbd1;Pdcd4;Hsp90b1;Map3k6;Ahsa2;Unc5d;Actn4;Cyp39a1;Akr1c14;Hhip;Bst2;Kalrn;Tmem220;Tnfaip6;Prelid2;Homer2;Tead1;Cdkn1a;Tle1;Ablim1;Pgr;Hmgcs2;Angpt2;Pir;Mcm6;Pln;Adamts3;Arrdc3;Arrdc4;Tpx2;Trpm3;Vav3;Cited4;Ptn;Lpin3;Plaur;Rbm3;Upb1;Mtmr4;Zfp282;Nox4;C3;Ncan;Tuba1a;Stk24;Bdnf;Dst;Tifa;Ank3;Cd14;Ptprd;Id1;Id2;Socs2;Zbp1;Mt1;Gpcpd1;Clcn7;Cpxm2;Fam98b;Churc1;Myc;Tnnc2;Ier5;Emb;Tmem140;Ankrd50;Sema6a;Fam107a;Gpm6a;Fibin;Sgk1;Fen1;Tgfb3;Npy1r;Arid3a;Steap3;Smad7;Usp53;Tshr;Acan,0.146,0.013783,-0.086322,0.099376,-0.067719,-0.142714,-0.000582,-0.132217,-0.211706,-0.042727,-0.0657,-0.13987,0.004695
ZNF281 (human),87,Klf11;Zbtb7a;Cryab;Pdgfc;Mybpc2;Wnt9a;Dusp8;Kcnc4;Spsb1;Bik;Olfm2;Ror1;Odc1;Flnc;Acly;Bdnf;Ppp1r14b;Marcksl1;Mboat1;Cxxc5;Epb41;Ppp1r1b;Tspan9;Rassf4;Ccdc112;Fhod3;Ndrg2;Auts2;Inhbb;Pkdcc;Cacna1d;Bcl9l;Plec;Trib2;Pold4;Cck;Hspa1a;Creb3l1;Zmiz1;Tmem200b;Gja4;Pqlc3;Prdm16;Nfic;Rarg;Gli1;Sncaip;Ckb;Dgkd;Itpripl2;Rbbp4;Nkx6-1;Irs2;Ccdc42;Echdc3;Rreb1;Cebpb;Cebpd;Ddit4l;Slc22a4;Glul;Tppp3;Igsf8;Cited4;Stc1;Zcchc24;Spcs3;Faim2;Arid3a;Fbln5;Scube3;Pdia6;Efna1;Cdh16;Sh3kbp1;Lpp;Espn;Nr4a1;Arhgap23;Usp53;Cbx4;Lpin1;Abcc1;Hspb7;Hspb2;Ncald;Ccdc28b,0.145367,-0.015887,-0.078838,0.066807,-0.161254,-0.241512,-0.101369,-0.026073,-0.092778,0.055221,-0.11845,-0.17276,-0.048265
Pax2 (mouse),73,Stard3;Optc;Ngef;Ppargc1a;Gbp5;Lxn;Kcnb1;Sphk1;Rapgef4;Rapgef5;Csnk2a2;Map3k1;Ly6e;Fbxo31;Bdnf;Kcnk3;Ip6k2;Dsp;Crispld2;Tifa;Rgl1;Id4;Neu2;Dync1i2;Kcnq3;Crtc3;Tbc1d16;Gem;Plb1;Lamc2;Gm6710;Plk2;Bace2;Prr13;Tet1;Tal2;Fmo2;Fmo4;Dhrs9;Plp2;Rspo3;Ckm;Cyp51;Slco2a1;Fam47e;Cdh3;Igfbp2;Dnajb2;Gal3st3;Ccdc60;Slc46a3;Apcdd1;Abra;Trpm3;Arl6ip5;Nmb;Tsc22d3;Tlr2;Sgk1;Cited2;Stc2;Scube3;Trp53bp1;Stil;Col6a6;Dock5;Dock8;Lpp;Hba-a1;Dbp;Lonrf1;Clock;Acan,0.14461,-0.027153,-0.1416,0.069553,0.000801,-0.097984,0.097254,-0.010968,-0.099871,0.085268,-0.143809,-0.226897,-0.059785
PCBP1 (human),128,Haghl;Atf3;Slc5a3;Dpysl2;Ppp4r1;Hes1;Hes6;Klf11;Zbtb7a;Klf13;Fermt2;Kcnma1;Pdgfc;Jun;Dusp1;Kcnb1;Sphk1;Dusp8;Bhlhe40;Bhlhe41;Kcnc4;Iqgap1;Csnk2a2;Spsb1;Kcna2;Olfm2;Odc1;Npas4;Flnc;Pfkfb3;Lingo1;Nfe2l2;Celf4;Fam76a;Gstz1;Cpne5;Lrp3;Foxf1;Rcor2;Rassf4;Tspan9;Tspan5;Hivep2;Tspan4;Ccdc112;Mrps6;Enah;Kcns3;Pcsk4;Acaca;Per3;Mnt;Cd82;Slc1a4;Ihh;Ndrg2;Tbc1d16;Auts2;Inhbb;Pkdcc;Cacna1d;Sun2;Plec;Rbm24;Wnt4;Setbp1;Gfod1;Trib1;Dip2c;Tef;Cyp1b1;Nxnl2;Fzd4;Fzd8;Nr1d2;Fosl2;Tmem200b;Pqlc3;Prdm16;Rnf152;Rarg;Ankrd50;Sema4c;Dgkd;Rcan1;Irs2;Ankrd12;Abhd11;Dnajb1;Rreb1;Irx3;Dnaja4;Cebpb;Pfn1;Sik1;Cbfa2t3;Ezr;Slc22a4;Twist2;Glul;Izumo4;Tsc22d1;Igsf8;Cited2;Zcchc24;Hip1;Arid3a;Atp1b1;Aig1;Efna5;Zfp36l2;Purb;S1pr3;Nr4a3;Efna1;Caprin2;Dock5;Sh3kbp1;Espn;Cbx4;Myh9;Dbp;Pde4a;Camk1d;Wee1;Pde10a;Pkd1;Acan,0.143505,-0.052832,-0.11045,0.005127,-0.129122,-0.194207,-0.068735,0.014383,-0.048362,0.084891,-0.093372,-0.148925,-0.030301
MYB (human),75,Stard4;Epb41l2;Fgfbp3;Rapgef4;Gsto1;Ptgs2;Dmd;Rchy1;Gmnn;Efemp1;Itga1;Bdnf;Upp2;Itgbl1;Alpk1;Epb41;Chordc1;Ank3;Igf1;Ifi30;Art3;Rassf3;Arsg;Ano4;Ano2;Pclo;Enpp4;Ypel2;Rem1;Narf;Pcdh11x;Ets1;Vcan;Ddx17;Churc1;Lama2;Sytl5;Prss12;Fmo2;Sulf1;Dhrs9;Tmem140;Slc8a3;Fra10ac1;Tceal1;Glt8d2;Ablim1;Fgf7;C1qtnf7;Ndp;Dnajc1;Dnajb4;Phactr4;Limch1;Clec2d;Syne1;Pln;Ifitm3;Gpm6a;Trpm3;Gng10;Sgk1;Vldlr;Pde6h;Cdk2ap1;Scg5;Pde7a;Rai14;Chrna1;Col6a6;Nfkbiz;Meis2;Pde4b;Dcn;Palld,0.141369,0.088202,0.00657,0.176091,0.040374,-0.042936,0.112663,-0.053166,-0.161797,0.015383,0.032567,-0.042716,0.096355
