ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-3.4590963713911593,-3.610291652403157,-3.2956977896068436
ZT6,-3.4046794483633174,-3.5463241290805647,-3.2647245240340848
ZT12,-3.601691263973943,-3.8221535615322852,-3.3686341145444305
ZT18,-3.313300714816586,-3.4631314481891264,-3.177839025441738
