ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-3.4116086502301006,-3.575079668026858,-3.2480716186045044
ZT6,-3.3185664529201886,-3.4577745945616645,-3.1778113092934763
ZT12,-3.4174617651986314,-3.5762514749763565,-3.2560335400843674
ZT18,-3.2798664211914366,-3.422326367881746,-3.1390739016487346
