ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-3.3302862556229,-3.472106784410602,-3.1879000046667096
ZT6,-3.306903088948758,-3.4479021713747158,-3.1626457985822016
ZT12,-3.4161863375000663,-3.5833201723108496,-3.2444454141783994
ZT18,-3.246484379696776,-3.384632851936968,-3.1066428971143036
