ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-4.478289616980063,-4.775569559458724,-4.072919211408609
ZT6,-4.194474965670227,-4.389677204716191,-3.9912289689360962
ZT12,-4.253655099010558,-4.466615407155862,-4.022279781649918
ZT18,-3.932259965365141,-4.101911345787174,-3.7766466910557503
