gene,acrophase_aligned_h,acrophase_misaligned_h
1200007C13Rik,1.0287303634253222,2.1130806012135714
1810062G17Rik,5.588180187139815,5.241262758003205
2310015D24Rik,2.0511112220724543,5.362881807888292
4631405J19Rik,3.7259736138201696,6.53420660019743
4930579P08Rik,1.3628904535972173,3.1151306458663877
4932422M17Rik,7.764939779448406,7.348594218275055
9630015K15Rik,6.853744920364827,7.734904627776773
Adam19,1.184045562801652,3.6118692011792453
Adamts1,13.626192277189562,15.112109895181465
Adamts12,1.1479048088666368,5.007689273286212
Adamts9,17.354724738544544,18.32919357453952
Adcy7,14.446954447665146,17.39388280105242
Akap5,1.1788182650404313,4.766368589352642
Apcdd1,15.653011129538768,18.4884073095779
Apobec2,6.234143718269542,5.897707492840647
Arhgef19,18.31496680546514,21.20835874539506
Arid5b,18.72373519314625,16.45572336123209
Armc2,5.526037893652921,7.716513635962392
Arntl,0.6049506952604431,3.6834085508321484
Arrdc3,13.117073541578424,14.627175130942383
Arrdc4,8.87334074293262,9.291938345488903
Asap2,4.355656937994569,6.914344167632725
Asb2,0.4319687558140811,5.010204737176055
Asb5,1.7898247505241056,5.539977342690824
Asph,2.8638698380350687,6.945563700476846
BC067074,7.80395653465667,8.12912305559211
Banp,20.76124093756668,16.674701633065723
Bhlhe40,10.028747841528304,12.079508140690063
Bik,1.0231136608507456,2.868552092862751
Bmf,2.282345564847295,3.7155255846137214
Bmp3,15.804083649480411,18.16183672192483
Cacnb2,0.8798356257882605,4.285650822601651
Camk2b,3.9406578333968483,7.459701470900669
Ccdc107,4.286990720392026,5.69399758099866
Ccdc112,0.8273441804323147,3.666905771655008
Ccdc42os,1.246418782231994,3.1936420831417625
Ccdc60,2.9039952852146467,6.13284339547242
Ccdc71l,12.908044587264435,14.750810989288608
Cck,4.8060216349711675,6.718199798885955
Cdc25b,9.293554191452044,9.864351747824974
Cdk2ap1,13.100279875850322,17.352767223563962
Cdkl5,17.85865788563511,18.697080954609127
Cdo1,13.146522664481772,17.5255093041944
Cebpb,12.488475530850371,13.89079090360517
Cebpd,12.516533128580928,14.517615455781433
Cgnl1,18.05857123481012,17.974760769493926
Ciart,11.413641073428089,12.051941798919911
Cirbp,9.19138836863964,6.425066426298876
Cited4,23.844100165013238,2.682518112536854
Ckb,5.421592920149553,6.300330437689266
Clec2d,13.37108144103954,12.934563858218514
Clock,0.5467525219177375,2.901573002740005
Cnn3,13.690672963858873,16.414333114111884
Col27a1,15.794905318453782,20.271206494794953
Coq10b,10.979279182706433,14.255575664476499
Cpt1a,5.588251674686232,4.894597044177066
Crispld2,8.785199455017514,8.577631748281556
Crybg3,0.37793317198740173,2.9592071384045697
Csf1,11.602270853301995,12.02102132178033
Cstad,8.685415856475688,3.404991254339164
Cyp1b1,22.06040569644093,0.7564219055495526
Cys1,15.327059161284255,17.76044151717947
Dbp,10.309062694719987,12.08358259411644
Dclk1,14.703347113223812,17.348895320930723
Ddit3,16.660654345916022,17.72459278195407
Dgkg,4.931589982329241,6.117194372113508
Dgkh,11.763040386018531,13.626416775355167
Dhrs3,0.1445489254430168,2.4838680297739937
Dock10,15.10961121835029,17.715341985239462
Dpf1,3.1718132255327234,4.286271620680092
Dpy19l3,2.6665082417284838,7.267955380411519
Dpysl2,14.552054964336955,19.39059530013841
Dusp18,5.913695274411438,5.973679318306462
Dusp5,2.2731120327115737,1.978272372443814
E130006D01Rik,1.5416295988102418,5.517289142158312
Eepd1,11.013975627408037,11.091070808521781
Efhc2,6.960968751346581,9.105808489400864
Eln,1.5699155752253477,6.39238909302437
Epb41,15.641579617686535,18.303407221874465
Ephx1,13.038635572308271,16.070659870855614
Erf,7.9153760991298645,8.006264541724578
Fabp3,10.394718720762388,11.975979832954337
Fam13a,12.793661538660826,10.864758475670742
Fam204a,7.5023590777973155,6.628025758183432
Fkbp5,12.71265095871925,15.415786366505294
Fmo1,15.375692460038808,18.538014986222535
Fmo2,17.90801929092575,20.0793938006254
Fmo3,15.38499887503112,17.84263207780634
Foxo3,11.909582520123642,12.05366080801064
Foxs1,23.918981819476237,3.6398444157671372
Frmd8os,6.711271817242642,6.479924894221822
G530011O06Rik,14.381897729506493,21.437390141003405
Gabra3,21.87071643707042,23.857251236496964
Gabrq,20.208912968736858,21.088610593047733
Galnt6,5.519275140629558,7.2214508856522475
Gdpd5,0.38313060405329935,3.3840694996205958
Gja4,11.949540073356676,13.742378164681849
Gk,1.458133721881912,4.154519434257507
Glul,12.73768965535614,14.905659914727394
Gm10115,14.849277393131903,14.136072029969217
Gm12840,19.721627405377685,20.28371687731078
Gm19689,0.40118580675215365,4.379906480519243
Gm41724,2.0930528608354573,4.416584867286162
Gm4876,4.564813952438617,6.702653059298637
Gm5860,9.548031633643706,10.006895739607518
Gm973,3.691351447174811,6.731289345370694
Gpcpd1,9.257833100609876,9.274492572439787
Gramd4,0.1568707404763516,1.3362314098694315
Gse1,16.96095430657509,18.868297244006218
Gsta4,17.905919895348518,22.725175491441625
Haghl,8.425524700521242,6.201528770522925
Has3,11.810862258175053,13.10728810495625
Herpud1,13.365669383786642,14.910953140354898
Hes1,6.693698055076134,10.118501482957825
Hes6,6.5486057487659854,7.504134967746069
Hhip,8.779866290477258,23.78390669664596
Higd1a,16.729260102330624,20.04945046399895
Hist1h1e,1.9276523085336579,4.245330562392429
Hist2h3c2,20.311499578222943,21.78432419646985
Hlf,13.570142400443736,15.930244278853147
Hmgb3,8.326013951006969,5.125236004068937
Hspb7,10.791345261906137,12.69980120179466
Id3,11.368156776725474,10.75435398218613
Ifit3,14.936198827324134,18.81119087355676
Ifit3b,15.127001322383261,18.605541279218723
Igsf9,1.2556117189684637,3.7026226387904932
Irx3,0.7802600955503823,2.1316703904529035
Isoc1,6.683009515858473,8.408291445180293
Jam2,17.120659820670525,20.83140969165587
Kcna2,2.071358070465061,5.822988339139478
Kcnab1,3.6144322634866053,7.607804784808213
Kcnd3,6.8091569226304,9.16607665088367
Kcns3,12.680282522108403,16.602511966923206
Kitl,15.045808518129382,16.545121990359178
Klf15,11.486625060738888,12.65814883108423
Klf9,10.530218128739754,11.916421980492538
Klhdc8b,10.258749345549184,11.638888957793284
Krt18,3.6584922907158357,3.2049825692950606
Ky,4.666301050955193,6.615191103497432
Leo1,0.03814323917305869,1.833615958215629
Limch1,2.199144412152733,6.452046667540238
Limd1,12.514351890953531,13.757903667404598
Lin9,13.184379769955182,16.807196803057316
Lonrf1,15.302402795598114,17.231329875401357
Lpl,15.728247024406423,19.030572634593696
Lratd1,5.721846881556128,5.8977294709579855
Lxn,14.609411823346642,17.54626250991614
Maco1,14.452013346110409,18.15133278447689
Mamdc2,14.968885475957102,16.185125076204166
Map1a,0.26891339020390526,4.169088359171629
Mapkapk3,13.229441173111297,15.396541303791272
Mapre2,14.888777751883065,18.018192385143458
Mgp,15.678257632314693,20.39535084926203
Mknk2,13.215566801293317,14.950374285955913
Mmp14,2.3978848790907454,5.43018735763061
Mpc1,13.936509941684191,19.529707354703767
Mpzl1,5.501331736338122,4.764736590605614
Mri1,9.238962561741623,6.466472169374411
Mrps6,20.111819063371495,17.950050632437748
Mthfd1,1.7569307666368927,4.9751501738437485
Mthfd1l,13.995247797730663,17.063110325473417
Mturn,19.38484938129532,21.078555206480893
Mvd,20.089314554168837,18.044693232579142
Mylk4,15.895629746307343,17.287525720583954
Myo10,1.4599043579982283,4.8487608109210605
Myoz2,14.902358317334963,18.331662978985477
Nav2,2.7571547064406454,6.66587496535126
Ncald,6.729251206272353,7.05606189203824
Nceh1,8.657736488105652,8.297406828092885
Ndst3,15.886066152542469,17.915697312369964
Ndufv3,2.571779148039183,6.539122117494625
Net1,13.7332464309717,15.58504397596453
Nfkbia,10.775247177130197,12.886338529411312
Nox4,15.580024270885275,18.707082496405295
Npas2,2.006827739699894,4.553301173576536
Npr3,18.35780501037834,19.694896410790705
Npy1r,14.411378833646808,15.435309196007886
Nr1d1,8.375140071629552,10.198643265670222
Nr1d2,10.485471696196358,13.441768073471497
Nrn1,11.916442136879024,19.18584656126747
Olfml2a,6.8104545533690395,9.572525291007864
Oplah,16.06710181404432,19.509786446033242
P2rx5,15.642099330774082,16.579507005217863
Pdcd4,8.741186400395877,7.9904583637959155
Pde4b,2.5107397965710763,4.836751207018377
Pdzd2,1.6854960560399812,5.410643195125651
Per1,11.344293509592271,12.178466220155752
Per2,14.706868367545068,17.54146579674331
Per3,13.51664625521304,15.280977089908507
Pex11a,7.629553823984279,4.599462474480676
Plat,12.245155819535745,16.680023044588758
Plekhg3,0.8377797716563912,4.78282100015388
Plvap,3.1102908178741098,5.431230078432645
Prelid2,2.9801028273157577,5.421972824514627
Prnp,18.12601872973807,21.531214141632514
Ptgs2,12.300317830754109,17.709905603379973
Rab6b,18.018101054734807,21.476233615536067
Rapgef5,13.493252384635817,14.755522614776392
Rara,5.683017349525989,4.921287766592815
Rasl11a,0.015619176065363533,1.3920684768820546
Rassf3,1.515757221256138,5.14252883359059
Rbm3,10.804649566021286,11.981470285755131
Resf1,11.921825560995996,14.23484124554719
Rfx2,5.77224633953899,6.080196647102518
Rgl1,16.312647719719237,18.400145460390277
Rhou,12.983435379842089,14.673639058180965
Rin3,16.463151262930587,17.835203705507467
Rnaseh2b,12.959283446828659,15.769009160354738
Rnaset2a,13.230445089211933,15.647685250683878
Rnf152,12.942027213292256,13.915051497020396
Rrad,2.55759682159785,2.0947212662625097
Sat1,14.77695748631373,18.174240138432197
Sema5a,8.842756580306098,10.115493826487109
Serp2,7.740289478420309,5.624770000515953
Serpine1,6.422545694563964,12.868695152498152
Serpini1,15.17448356970018,19.86762390911901
Sgk1,9.661167380191184,12.425232944461293
Sh3pxd2a,0.8584957728704506,5.792392836836982
Slc16a11,8.784986311232096,10.051597223385528
Slc22a4,3.223673546928225,5.322520239816162
Slc25a34,0.9308247096751451,4.032126266975869
Slc46a3,15.414434798312268,17.11899456607105
Slc8a1,2.58224696580994,6.482898172885605
Smad7,9.191339439936524,10.128940840345477
Smc2,16.371266696485264,17.364093731903502
Smoc1,18.81415493840176,21.003639408160886
Sncg,13.211421900072876,15.849690183101774
Sphk1,8.317507256509039,11.595874479744275
Spsb1,9.721676961329926,9.229622744238409
St3gal5,0.46498926563736753,3.435876444606535
Stard4,21.16649659579224,17.614461779732668
Stbd1,12.01957964343666,15.648076738105319
Stip1,19.286663425699068,17.97826188450765
Stk26,16.267638461842335,19.28619059441176
Sult1a1,15.020758174620353,17.734276615739052
Synpo2l,12.332802863629286,11.087886075235104
Tagln2,3.258895915087833,3.984257577581799
Tcap,9.846007334965693,12.196076942339396
Tcim,12.578168703165431,14.321292707141367
Tent5a,20.33193167824936,16.902899465703676
Tent5b,12.706041236242807,15.366225565444488
Tex30,11.653277695016746,14.35706777144365
Tfap2b,9.854958811125005,3.3895173804120473
Tgfb2,18.99970946602893,17.60290385917433
Thra,3.1235515451170137,7.05939052427622
