ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-4.89276480836215,-5.103031481014421,-4.68320655347961
ZT6,-4.865842686266924,-5.060367831934537,-4.670875471755809
ZT12,-4.885004901842878,-5.088670816220691,-4.679541721279931
ZT18,-4.8412947459180815,-5.028864271232442,-4.6599374535438285
