ZT,mean,ci_lo,ci_hi
ZT0,-9.276805376787967,-9.633293534441277,-8.915620952004987
ZT6,-9.155986233239759,-9.492061717073039,-8.819361810149829
ZT12,-9.543815170143423,-10.04352352562216,-9.0155334224463
ZT18,-9.149948068868381,-9.473766345382675,-8.825419162574034
