ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-4.717756423265723,-4.9241197504964145,-4.507885570305383
ZT6,-4.698462689146682,-4.888406712645576,-4.505618580420417
ZT12,-4.637079536300158,-4.799249640943131,-4.474596069485005
ZT18,-4.665139384250358,-4.838341391905054,-4.492358587032925
