ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-3.671194409751056,-3.9229120279770107,-3.3769395405926566
ZT6,-3.4746524822613725,-3.641856451320324,-3.306433726726654
ZT12,-3.4553881193653857,-3.6110646707084166,-3.2955738242991255
ZT18,-3.200715274174474,-3.3965657140611647,-3.022446830876762
