ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-4.8908232321912415,-5.10074503617137,-4.680579928502041
ZT6,-4.865310619381875,-5.060899683862853,-4.668258084754086
ZT12,-4.884032253515623,-5.089054629194913,-4.679712144388178
ZT18,-4.839330916198723,-5.02142581865926,-4.65597042799877
