ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-4.338217663276719,-4.3945606459996425,-4.034871394125594
ZT6,-3.810328778708161,-4.037971734145012,-3.5735830631432397
ZT12,-3.962035794099226,-4.244677886038933,-3.5922448114738286
ZT18,-3.326642305547597,-3.574164722580573,-3.1096902404391407
