ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-4.611166915861067,-4.757479777734739,-3.9250216307747796
ZT6,-3.6893255076169,-4.245711758554842,-3.3205278952782087
ZT12,-4.009358144370827,-4.400597490526502,-3.6182787801039846
ZT18,-4.649210569337291,-4.757480506026918,-4.098285427769751
