ZT,mean,ci_lo,ci_hi
ZT0,-8.203248655473809,-8.717618778531714,-7.65096215427909
ZT6,-7.862959437507674,-8.21383100966784,-7.497612813802886
ZT12,-7.896133265041925,-8.270680950379603,-7.528615358080984
ZT18,-7.391616583860593,-7.805954991475326,-6.996674463871831
