ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-3.4133390413915623,-3.5712744434047514,-3.253305795816382
ZT6,-3.3193417534383407,-3.4636474091594094,-3.1792990682044504
ZT12,-3.416828655010167,-3.5705782603360503,-3.259234850755104
ZT18,-3.280506548902187,-3.427631871744297,-3.1401497603838204
