ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-3.6695833253996586,-3.9179710629338995,-3.3715234172813906
ZT6,-3.4752720882004833,-3.641664703586113,-3.2956599298980835
ZT12,-3.4557506306246286,-3.612107734662526,-3.293508787490557
ZT18,-3.200018204292038,-3.390273865314898,-3.0220005471421003
