ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-3.9903481590110474,-4.136829074556032,-3.8460770023505897
ZT6,-4.116194198544503,-4.304741787341546,-3.9254442260721065
ZT12,-4.158322495083938,-4.365093600058864,-3.9409381842018316
ZT18,-3.9821987650618227,-4.126522030358354,-3.8388158250894735
