ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-3.823333278277306,-4.316024455738584,-3.4694163082630487
ZT6,-4.363893727500271,-4.793823596120544,-3.7792819680440415
ZT12,-4.76061192369864,-4.858466629419586,-4.245337608094443
ZT18,-4.044778738459079,-4.441196270251638,-3.665776827425533
