ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-3.342659780752261,-3.491678221806039,-3.1928032045767067
ZT6,-3.364270400640549,-3.510284689923549,-3.2225294455346005
ZT12,-3.6567492954882406,-3.8694506849877492,-3.430891849499961
ZT18,-3.5763853179600114,-3.760747394589784,-3.375337801654812
