ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-3.7394724975471845,-3.8901226828827316,-3.594528275331038
ZT6,-3.7813685380414666,-3.9412136212254847,-3.623856705110993
ZT12,-3.966636544442895,-4.217907697929811,-3.695998624475502
ZT18,-3.6119700964379327,-3.7556462373871584,-3.4721074307832875
