ZT,mean,ci_lo,ci_hi
ZT0,-10.857044709453305,-11.341012609999927,-10.354819430833421
ZT6,-10.817682359283213,-11.268114303525195,-10.36802334461214
ZT12,-10.676135677852322,-11.05645120708404,-10.314732723053027
ZT18,-10.73934741463865,-11.130497549852837,-10.337835425228954
