ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-3.3285927304037912,-3.468743351438707,-3.1870464162691103
ZT6,-3.30956889491404,-3.446815560490423,-3.1731275580646923
ZT12,-3.4158087394650742,-3.586291517749609,-3.2409104193017306
ZT18,-3.249095497827506,-3.3935998037646247,-3.1118016342077848
