frac_misaligned_amplitude_larger
0.5298
0.3664
0.2136
0.4454
0.5648
0.643
0.0916
0.656
0.4514
0.2758
0.5066
0.2004
0.3024
0.2704
0.7158
0.6592
0.58
0.288
0.2196
0.3188
0.3898
0.397
0.4724
0.4838
0.3964
0.558
0.4244
0.0916
0.3552
0.3516
0.4068
0.5674
0.1312
0.5396
0.5896
0.3716
0.3926
0.3606
0.5352
0.5408
0.4858
0.607
0.6358
0.1336
0.3336
0.4186
0.5716
0.436
0.4126
0.5048
0.2812
0.4488
0.4748
0.4318
0.3808
0.3498
0.3342
0.667
0.408
0.7898
0.5618
0.5318
0.9094
0.439
0.5598
0.5372
0.2116
0.3516
0.5588
0.5542
0.7676
0.5796
0.394
0.2478
0.6572
0.4202
0.4924
0.7542
0.5034
0.579
0.3988
0.3736
0.237
0.6842
0.2826
0.2548
0.4976
0.4902
0.5284
0.4628
0.5216
0.4792
0.8724
0.2424
0.6552
0.607
0.5516
0.2858
0.562
0.4524
0.6264
0.4604
0.4506
0.3198
0.1638
0.532
0.5822
0.4918
0.7876
0.296
0.4262
0.6986
0.577
0.307
0.259
0.384
0.3954
0.481
0.3394
0.4256
0.497
0.3066
0.2714
0.2428
0.6128
0.212
0.2108
0.4288
0.5508
0.4942
0.3474
0.7144
0.51
0.6826
0.1766
0.5614
0.4032
0.315
0.5294
0.3902
0.2102
0.2614
0.5684
0.437
0.4474
0.5476
0.3568
0.4504
0.6358
0.5558
0.4582
0.6018
0.414
0.4302
0.362
0.5088
0.1002
0.1538
0.4864
0.6984
0.4466
0.3344
0.3344
0.5198
0.388
0.383
0.5068
0.0356
0.494
0.8328
0.65
0.232
0.6906
0.4514
0.5424
0.6398
0.3936
0.5586
0.5502
0.4112
0.556
0.2942
0.4162
0.104
0.3074
0.6922
0.3728
0.3266
0.3256
0.7666
0.429
0.6802
0.713
0.7858
0.767
0.4672
0.4532
0.7712
0.8886
0.4788
0.2884
0.5528
0.309
0.591
0.4466
0.2994
0.5836
0.2338
0.5696
0.3918
0.412
0.3548
0.3586
0.6826
0.276
0.2686
0.157
0.5216
0.3822
0.5648
0.535
0.2882
0.627
0.646
0.1404
0.348
0.4346
0.4114
0.6216
0.631
0.3606
0.6168
0.2376
0.4688
0.6228
0.3338
0.309
0.4544
0.374
0.6362
0.345
0.4812
0.3806
0.2672
0.4488
0.5958
0.4996
0.3266
0.6466
0.1794
0.3264
0.4502
0.233
0.314
0.3824
0.2474
0.577
0.5866
0.1116
0.422
0.0598
0.8242
0.3386
0.2622
0.4292
0.3372
0.3572
0.5576
0.6376
0.6738
0.4114
0.2448
0.5136
0.4344
0.4548
0.2128
0.3924
0.5422
0.466
0.4488
0.3302
0.272
0.2276
0.7454
0.5176
0.2202
0.6566
0.4596
0.436
0.4136
0.479
0.4584
0.8416
0.245
0.7404
0.5272
0.6992
0.8694
0.103
0.544
0.5548
0.318
0.5852
0.561
0.668
0.538
0.5058
0.4228
0.491
0.4612
0.3138
0.4704
0.2516
0.4606
0.4428
0.4998
0.4562
0.571
0.5832
0.3584
0.376
0.587
0.5124
0.3948
0.423
0.4452
0.148
0.418
0.309
0.2598
0.2424
0.5752
0.6752
0.3732
0.3078
0.5262
0.7222
0.5154
0.477
0.4572
0.18
0.4514
0.455
0.4186
0.4494
0.6048
0.4648
0.3974
0.4824
0.7176
0.73
0.6418
0.5394
0.6534
0.3058
0.426
0.0968
0.5156
0.197
0.3552
0.8158
0.7828
0.4336
0.3966
0.5258
0.9338
0.2658
0.4652
0.3812
0.2884
0.2162
0.3304
0.207
0.5146
0.2514
0.1398
0.5256
0.6222
0.1552
0.2644
0.738
0.5762
0.4314
0.3236
0.4244
0.303
0.3898
0.2508
0.3598
0.788
0.319
0.8964
0.7716
0.4578
0.3726
0.4464
