ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-4.090191079890142,-4.369801552942323,-3.7577968999593288
ZT6,-3.9122100509004167,-4.118975945993356,-3.699596440662682
ZT12,-3.9905988912790575,-4.226441337454337,-3.7373705127226073
ZT18,-3.580352619872248,-3.780955698508209,-3.3965325417883303
