ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-4.338611304172207,-4.3945606468467515,-4.011704217584222
ZT6,-3.811487443140587,-4.0269314757026455,-3.571194050616752
ZT12,-3.9620537784745924,-4.247070402201311,-3.591199138769183
ZT18,-3.328781254011725,-3.5831621578973776,-3.109457757713335
