ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-4.4778245166384565,-4.775191472442553,-4.064976065393809
ZT6,-4.194043296404841,-4.393817296463238,-3.987092979851683
ZT12,-4.252282704621441,-4.472110514158293,-4.026831689753812
ZT18,-3.931692113494216,-4.099809546467156,-3.777886376899391
