ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-4.1633017117665245,-4.35281505007916,-3.9679621943898242
ZT6,-4.130371148958674,-4.300237686203433,-3.958101412636862
ZT12,-4.185689543983766,-4.389638970884815,-3.984712603392326
ZT18,-4.005684780839059,-4.153766252531051,-3.85800533117612
