tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
FOXL1 (human),16,Etv3;Hmbs;Smc4;Smu1;Hmgb2;Rbbp7;Tmsb10;Nmi;Man1c1;Gpr65;Ccl7;Mid1;Stmn1;Sf3a3;Sin3b;Anp32e,3.75,4,9.784726207756917,4.463618885511869,9.0
LEF1 (human),16,Etv3;Aldh9a1;Ulk2;Mmp9;Rbbp7;Nmi;Pdgfc;Tagln;Zeb2;Hax1;Ccl7;Mid1;Stmn1;Sf3a3;Mpeg1;Basp1,3.75,9,10.733643382755128,7.576961589650184,19.0
NR5A2 (human),10,Cd9;Smc4;Ddit4;Thra;Socs3;Slc7a8;Tagln;Ccl7;Tspan4;Mpeg1,3.6,3,9.149536412665087,4.125510671761935,7.0
HINFP (human),14,Tmbim1;Cd9;Nr1d2;Thra;Gpr65;Tspan4;Sbno2;Hmgb2;Hspa1a;Stmn1;Rbbp7;Nmi;Tppp3;Cd300a,3.4285714285714284,4,10.118910623082686,5.313437445074083,9.0
RELB (human),7,Hax1;Tspan4;Mmp9;Hmgb2;Sf3a3;Tmsb10;Cd300a,3.4285714285714284,2,7.617191844052424,3.8813166589078274,5.0
TBP (human),7,Smc4;Fkbp5;Gpr65;Mid1;Hmgb2;Nmi;Mpeg1,3.4285714285714284,3,9.5288072997414,3.6634795189457767,7.0
ZNF148 (human),7,Man1c1;Nr1d2;Tspan4;Sbno2;Hspa1a;Tmsb10;Cd300a,3.4285714285714284,6,8.166429911192523,6.6592648296593335,13.0
NFYA (human),7,Ndufb11;Zeb2;Fkbp5;Dbp;Sbno2;Hmgb2;Anp32e,3.4285714285714284,4,11.643904611016639,3.9970499875682446,9.0
ZBTB7A (human),7,Pdgfc;Tspan4;Sbno2;Etv3;Hmgb2;Man1c1;Smc4,3.4285714285714284,4,14.56639608269634,6.168279789501028,9.0
NFKB1 (mouse),7,Hmbs;Dbp;Thra;Socs3;Nmi;Pdgfc;Man1c1,3.4285714285714284,6,11.000597569827136,5.053066126924851,13.0
ELK1 (mouse),7,Pdgfc;Acot13;Aldh9a1;Dbp;Tspan4;Nmi;Tppp3,3.4285714285714284,6,11.950134164072333,5.998232093616833,13.0
CBEPB (mouse),7,Smu1;Cd300a;Gpr65;Retnla;Ccr5;Mid1;Ccl12,3.4285714285714284,5,22.43090380577418,7.259199280680971,11.0
MEF2A (human),11,Slc7a8;Zeb2;Phf3;Aldh9a1;Gpr65;Ccl7;Mid1;Hmgb2;Stmn1;Tmsb10;Arid5b,3.2727272727272725,9,10.745086498295713,5.494308558640814,19.0
YY1 (human),15,Fkbp5;Aldh9a1;Dbp;Thra;Socs3;Mmp9;Arid5b;Slc7a8;Tmbim1;Nr1d2;Phf3;Gpr65;Mid1;Hspa1a;Mpeg1,3.2,6,10.8246095522995,5.663689537572639,13.0
HNF4A (human),8,Slc7a8;Hmbs;Nr1d2;Fkbp5;Thra;Mid1;Tmsb10;Cd300a,3.0,2,9.561114201214757,4.24390821137107,5.0
POU2F1 (mouse),8,Man1c1;Zeb2;Fkbp5;Thra;Gpr65;Ccr5;Mid1;Nmi,3.0,5,11.688605961270515,7.662392811047911,11.0
CBEPB (human),8,Slc7a8;Hmbs;Zeb2;Mid1;Mmp9;Anp32e;Cmc1;Nmi,3.0,4,7.784030636013741,6.12492718616104,9.0
SND1 (human),8,Hax1;Ccl7;Ccr5;Etv3;Mmp9;Hmgb2;Fkbp5;Thra,3.0,4,13.314590419726255,7.389938841053695,9.0
STAT5B (human),8,Slc7a8;Hax1;Socs3;Mid1;Smc4;Nmi;Cd300a;Mpeg1,3.0,2,8.533721660183984,4.661640326293174,5.0
GATA1 (human),8,Nr1d2;Aldh9a1;Smu1;Gpr65;Ccr5;Mid1;Mpeg1;Arid5b,3.0,5,11.78973515120426,5.367672832055693,11.0
TFAP2A (human),12,Neat1;Ndufb11;Sbno2;Hmgb2;Rbbp7;Tppp3;Man1c1;Nr1d2;Tspan4;Mid1;Anp32e;Basp1,3.0,4,12.695741526423241,4.912290977479349,9.0
TP53 (human),16,Etv3;Cd9;Phf3;Fkbp5;Smu1;Dbp;Ccl7;Mid1;Mmp9;Hmgb2;Tmsb10;Sin3b;Anp32e;Cmc1;Cd300a;Arid5b,3.0,5,10.539786270306328,4.896421237399204,11.0
JUN (human),8,Slc7a8;Ndufb11;Hmbs;Phf3;Mid1;Mmp9;Stmn1;Nmi,3.0,3,7.972356409608555,4.722201361400675,7.0
RELA (human),13,Tagln;Fkbp5;Smu1;Dbp;Thra;Hax1;Ulk2;Tspan4;Socs3;Sbno2;Hmgb2;Anp32e;Tppp3,2.7692307692307696,4,12.338026529654307,3.4558807602041997,9.0
WT1 (human),9,Pdgfc;Man1c1;Hmbs;Nr1d2;Hax1;Tspan4;Sbno2;Hmgb2;Rbbp7,2.6666666666666665,4,12.249464604191003,4.159070150638916,9.0
FOXC1 (human),29,Plk2;Fkbp5;Socs3;Rbbp7;Slc7a8;Tspan4;Mid1;Cmc1;Ndufb11;Etv3;Mmp9;Hmgb2;Nmi;Hax1;Sf3a3;Ddit4;Sbno2;Tmsb10;Arid5b;Pdgfc;Man1c1;Hmbs;Smc4;Smu1;Phf3;Ccl7;Stmn1;Sin3b;Mpeg1,2.4827586206896552,4,10.038905568697599,4.762011258572423,9.0
RUNX1 (human),15,Ndufb11;Cd9;Fkbp5;Dbp;Ddit4;Thra;Sbno2;Mmp9;Tmsb10;Cd300a;Man1c1;Zeb2;Ccl7;Hspa1a;Stmn1,2.4000000000000004,3,8.011694626654078,5.719871465372566,7.0
SRF (human),15,Ndufb11;Plk2;Fkbp5;Aldh9a1;Dbp;Sbno2;Mmp9;Arid5b;Tmbim1;Tagln;Zeb2;Gpr65;Mid1;Hspa1a;Sin3b,2.4000000000000004,3,11.185463826416111,6.646921423901806,7.0
NFIC (human),11,Ndufb11;Plk2;Dbp;Sbno2;Hmgb2;Rbbp7;Tppp3;Zeb2;Tspan4;Hspa1a;Sf3a3,2.181818181818182,3,10.886806695487316,6.250304423606327,7.0
POU2F2 (mouse),6,Man1c1;Thra;Gpr65;Ccr5;Mid1;Nmi,2.0,1,6.923378941300813,7.2686455574216495,3.0
Prrx2 (mouse),6,Hmbs;Plk2;Retnla;Mid1;Cd300a;Arid5b,2.0,2,9.063192491870787,7.252913398118147,5.0
NFE2 (human),12,Slc7a8;Api5;Man1c1;Hmbs;Plk2;Nr1d2;Thra;Socs3;Mmp9;Sf3a3;Anp32e;Nmi,2.0,1,8.048010274861255,3.944266156512321,3.0
