gene,acrophase_hour,acrophase_rad,bf_log10,expected_mesor
Brd9,16.62,4.3524,5.9,-9.5243
Bst2,3.74,0.979,94.57,-9.9162
Btg1,21.09,5.5207,207.92,-8.3186
C030013C21Rik,18.23,4.7713,3.85,-12.7844
C1qtnf2,6.52,1.7068,31.04,-9.3796
C1qtnf7,3.32,0.8683,54.99,-11.071
Cabcoco1,5.78,1.512,10.27,-13.2625
Cachd1,18.72,4.9011,9.99,-12.0114
Cacnb2,23.84,6.2418,34.6,-10.2455
Cacng7,17.1,4.4755,3.42,-12.2163
Camk1d,16.19,4.2396,15.83,-12.7807
Camk2b,3.66,0.9591,445.52,-11.6131
Capg,6.91,1.8087,50.29,-10.5812
Capn3,7.53,1.9723,4.9,-12.8482
Car11,15.5,4.0585,25.54,-10.8647
Carmn,23.86,6.2467,14.88,-9.3428
Cask,17.06,4.4661,10.17,-10.7826
Casp3,4.82,1.2612,6.61,-11.102
Casq1,10.82,2.8314,28.1,-10.6902
Cbr2,10.62,2.7813,61.49,-7.9254
Ccdc107,5.0,1.3091,228.42,-8.6457
Ccdc112,0.44,0.1149,15.66,-11.0228
Ccdc28b,8.46,2.2158,12.9,-10.6921
Ccdc42,3.14,0.8226,69.34,-9.3908
Ccdc42os,0.06,0.0145,12.07,-12.6789
Ccdc60,4.02,1.0536,13.26,-12.9526
Ccdc85a,18.61,4.8712,5.5,-11.9485
Ccdc85b,10.02,2.6233,547.68,-8.5916
Cck,6.06,1.5858,40.52,-12.5506
Ccn2,21.62,5.6605,3848.35,-6.5159
Ccn5,19.88,5.2056,94.21,-9.3129
Cct3,19.29,5.0507,3.5,-9.2783
Cd81,7.41,1.9394,80.0,-7.4279
Cd82,8.59,2.2486,7.15,-11.4334
Cd9,4.89,1.2791,1182.49,-6.86
Cdc14a,11.85,3.1022,17.1,-10.8819
Cdc25b,7.84,2.0525,95.13,-12.0836
Cdc42ep3,1.91,0.4991,235.83,-7.979
Cdc42se1,15.91,4.1659,6.79,-9.3451
Cdh3,2.1,0.5496,10.94,-12.6268
Cdk14,17.9,4.6874,28.54,-11.8408
Cdk19,18.0,4.7129,4.33,-10.9513
Cdkl5,17.29,4.5264,200.18,-9.5503
Cdkn1a,2.33,0.6107,128.68,-9.6385
Cdkn2b,22.27,5.8311,64.08,-12.0114
Cdkn2c,7.55,1.9775,4.03,-11.6739
Cela1,7.67,2.0071,22.12,-12.8531
Cend1,12.67,3.3176,3.22,-12.3273
Cfl1,7.96,2.0847,93.54,-7.7783
Cgrrf1,13.99,3.6632,43.61,-10.1636
Chchd10,8.77,2.296,85.57,-10.5846
Chn1,18.07,4.7307,3.97,-12.9828
Chordc1,20.41,5.3425,143.19,-9.7327
Chrna1,22.26,5.8268,4.71,-12.7271
Chrna1os,7.54,1.9735,15.88,-11.9407
Ciart,10.18,2.6658,299.23,-12.7961
Cirbp,6.76,1.7689,334.79,-9.54
Cited2,12.55,3.286,365.6,-8.5077
Cited4,23.79,6.2278,13.4,-12.8296
Ckb,6.36,1.6655,586.78,-8.0166
Ckm,14.06,3.6803,6.04,-12.5683
Cldn22,5.02,1.313,16.19,-11.3901
Cldn3,19.64,5.143,13.6,-11.7628
Clec2d,7.01,1.8352,14.23,-10.8136
