gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
FOXA2 (human),3,Cenpk;Bhlhe41;Ccnb1ip1,1.456655,0.268662,-0.505275,1.082979,-1.187993,-1.962597,-0.376398,-0.279326,-1.148862,0.471398,-0.834717,-1.403835,-0.162599
HNF1B (human),3,Lix1;Spp1;Lypd1,1.221128,0.263903,-0.73077,0.847042,-0.957225,-1.572415,-0.27691,-0.321513,-1.064753,0.459693,-0.792648,-1.427861,-0.110076
PURA (human),15,Lrrc27;Gas6;G0s2;Rspo3;Slc25a47;Slc9a3r1;Gal3st2;Cmbl;Slc10a6;Gdpd3;Enpp6;Pik3r6;Lasp1;Dapk1;Lama4,0.913902,0.10727,-0.209368,0.452985,-0.503955,-0.798887,-0.190937,0.409947,0.014899,0.810427,0.140717,-0.230339,0.432618
Nkx2-5 (mouse),12,Dhdh;Prex2;Hsph1;Ccl11;S100a8;Epyc;Hsp90aa1;Sp110;Akr1c14;Net1;Hhip;Sfi1,0.811494,0.668638,0.205772,1.027867,-0.142857,-0.486675,0.16319,0.194191,-0.203732,0.495821,0.188933,-0.131146,0.504794
SOX10 (mouse),12,Gjb5;Fxyd4;Pygl;Tmem52;Slc25a47;Insig1;Mbp;Lingo1;Hist1h2ae;Arhgap22;Scin;Hist1h2ap,0.796929,-0.065926,-0.509805,0.375635,-0.363271,-0.722143,0.060454,0.268165,-0.090751,0.587286,-0.528763,-0.873634,-0.173355
POU1F1 (human),33,Fabp4;Spp1;Fam13a;Mbp;Kcnj8;Kcnk2;Pla2g4a;Ano4;Mid1;Ccnb1ip1;Gclc;Rgs4;Trdn;Nav3;Sytl2;Rad51ap2;Fmo2;Angptl6;Rspo2;Dio2;Epyc;Calcrl;Tnmd;Thsd4;Gng11;Cldn10;Scg3;Postn;Lpl;Nfkbiz;Ncald;Palld;Aldh1a2,0.71529,-0.039266,-0.23705,0.160159,-0.435042,-0.674244,-0.21322,0.280248,0.049943,0.485926,-0.20959,-0.409177,-0.028581
Sox5 (mouse),16,Cntfr;Accs;Prex2;Gbp5;Gstm7;Myoc;Tcf21;Rspo3;Epyc;Hsp90aa1;Islr2;Cd200;Frat2;Pla1a;Enpp6;Cd74,0.67358,0.13474,-0.194372,0.452658,-0.250604,-0.461608,-0.016544,0.422977,0.180238,0.684239,0.035765,-0.242009,0.310591
ZNF148 (human),45,Crlf1;Fxyd4;Bhlhe40;Fxyd3;Cdc25b;Syt15;Cirbp;Nrgn;Islr2;Tcap;Prdm8;Mknk2;Nr1d1;Nr1d2;Tubb2b;Gas6;Dhrs3;Cdkn1a;Slco2a1;Bcl6;Cldn15;Svil;Thoc6;Gdpd3;Fam83e;Cadm1;Lrrc27;Lrrc3;Hspb11;Zbtb16;Slc25a34;Mbp;Lingo1;Itih5;Spon2;Ifi30;Tspan4;Wnt2;Zfp28;Stc1;Ephx1;Aldh3b1;Pcsk1n;Cxcl5;Hebp2,0.637129,-0.073859,-0.258356,0.105033,-0.486121,-0.673964,-0.325109,0.151008,-0.062214,0.317294,0.026221,-0.155963,0.167443
CEBPB (human),34,Cdca7;Il20rb;Bhlhe40;Cenpm;Tcp11l2;Slc9a3r1;Lepr;Ky;Nova1;Ifi30;Il34;Klhl13;Plau;Fam178b;Vim;Junb;Rad51ap2;Ahsg;G0s2;Alms1;Fgf1;Slco2b1;Angpt1;Inmt;Clec2d;Glul;Thoc6;Cst6;Gsta4;Scg3;Sash1;Arhgap22;Scin;Aldh1a2,0.633322,0.051604,-0.18982,0.250587,-0.405263,-0.601065,-0.225644,0.228059,0.023624,0.408829,-0.045767,-0.256324,0.185265
Nobox (mouse),5,Ech1;Nuak1;Lmo2;S100a8;Ghr,0.623889,0.881244,0.321007,1.459304,0.285994,-0.206945,0.830983,0.535431,-0.105568,0.999661,0.257355,-0.169641,0.790203
CREM (human),16,Slc6a6;Prkar2b;Tmco6;Gas6;Fosb;Tcf21;Calcrl;Peg3;Cldn15;Gpam;Rasd2;Nr4a3;Aldh3b1;Bckdha;Tac1;Fam167a,0.613788,-0.222797,-0.60962,0.104128,-0.461856,-0.776479,-0.151222,0.076049,-0.279388,0.360773,0.151932,-0.08551,0.464585
USF1 (mouse),27,Upb1;Klf15;Lrrc27;Sirt5;Wtip;Cdc25b;Spp1;Syt15;Ephb3;Tmem86a;Akr1c14;Pla1a;Tmem151a;Ifi205;Prdm8;Daam2;Fam178b;Tef;Hspa4l;Anxa3;Nfatc2;Mrap;Cacng7;Atp6v0a4;Rasd2;Hgf;Gmppb,0.613705,-0.001435,-0.299932,0.235989,-0.484131,-0.729488,-0.180627,0.129573,-0.193908,0.436542,-0.1537,-0.396621,0.109058
ETV4 (mouse),44,Sfxn4;Col13a1;Mmp14;Fxyd6;Smpd3;Plod2;Slc36a2;Crispld1;Lpar4;Tcap;Cd1d1;Lasp1;Tef;Plac8;Hmgcs2;Angpt1;Bcl6;Lyz2;Lmo2;Hist1h2ae;Hgf;Clock;Hlf;Upb1;Gbp5;Abtb2;Prkar2b;Lepr;Ctla2a;Ccl2;Gngt2;Socs2;Per1;Agtr1a;Rad51ap2;Fmo3;Ccl11;Acss3;Calcrl;Rhobtb1;Gng11;Tsc22d3;Arhgap22;Gmppb,0.612961,0.144684,-0.069384,0.339847,-0.468277,-0.649425,-0.2421,0.089961,-0.102676,0.272647,-0.056107,-0.221027,0.119651
AHR (mouse),8,Il20rb;Ptgs2;Ccl19;Glul;Dynlt1b;Fkbp1b;Ddit4;Chchd2,0.606683,0.067411,-0.357667,0.547633,-0.539272,-0.881307,-0.195079,-0.167358,-0.498014,0.154365,0.049545,-0.289629,0.354434
ELK4 (human),29,Hpgd;Mbd1;Adam22;Pdcd4;Slc25a47;Hsp90aa1;Itih5;Foxd2;Sfi1;Klhl13;Rgs4;Sytl2;Rpl10;Nr1d1;Hspa4l;Hells;Dhrs9;Ankrd37;Calcrl;Insig1;Uba52;Gng11;Edn1;Ptn;Wif1;Hist2h2be;Ncald;Scin;Clock,0.606023,-0.000171,-0.221579,0.203604,-0.31696,-0.506639,-0.089333,0.289063,0.026885,0.531887,-0.010812,-0.216862,0.251415
APEX1 (human),29,Atf3;Neurl1b;Vamp5;Lrrc27;Smpd3;Lix1;Fbxo32;Flywch2;Herpud1;Ccnb1ip1;Bckdha;Mknk2;Fam178b;Vim;Rpl17;Ier5;Mrap;Ahsg;Pygl;Ccl19;Slco2b1;Uba52;Mthfd1l;Cmbl;Ifit1;Lmo2;Pcsk1n;Palld;Aldh1a2,0.593951,0.144607,-0.114725,0.346319,-0.449344,-0.659216,-0.260544,0.077886,-0.161432,0.301927,0.03296,-0.149979,0.259465
