gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
Regulation of lipolysis in adipocytes,3,Adrb2;Fabp4;Ptgs2,1.854993,0.208114,-0.463417,0.862849,-1.646879,-2.436362,-0.66234,-0.230336,-0.799416,0.421994,-0.200251,-0.890485,0.56766
Ferroptosis,3,Gclc;Trf;Slc40a1,1.514264,-0.239419,-1.059513,0.402567,-0.453315,-1.065231,0.206449,1.060949,0.352268,1.683996,-0.050594,-0.775666,0.639462
ECM-receptor interaction,5,Comp;Spp1;Col4a1;Lama4;Thbs1,1.456169,0.553012,0.063382,0.989464,-0.440369,-0.859657,0.027443,0.406969,0.045816,0.789687,-0.903157,-1.327872,-0.421717
Leukocyte transendothelial migration,3,Cldn10;Cldn15;Pecam1,1.420756,-1.048619,-1.766595,-0.367581,-0.670703,-1.360769,-0.014784,0.367415,-0.372574,1.045146,0.372137,-0.353795,1.066066
Cell adhesion molecules (CAMs),5,Cadm1;Cdh4;Cldn10;Cldn15;Pecam1,1.370271,-0.642679,-1.329664,0.065845,-0.942864,-1.530333,-0.285514,0.427407,-0.17221,0.903255,0.066253,-0.439293,0.596431
Ether lipid metabolism,4,Pla2g4a;Gdpd3;Pld1;Enpp6,1.325513,0.510519,-0.234538,1.248864,-0.814994,-1.294085,-0.22643,0.281121,-0.356099,1.001882,0.098576,-0.415815,0.747832
Retinol metabolism,6,Cyp26b1;Aox3;Dhrs3;Dhrs9;Aldh1a2;Adh1,1.226181,-0.599277,-1.02564,-0.05191,-0.464137,-0.962432,0.015927,0.626904,0.29505,1.045947,0.423602,-0.096857,0.934393
IL-17 signaling pathway,10,Hsp90aa1;Il6;S100a8;Cxcl2;Cxcl5;Fosb;Ccl11;Ptgs2;Ccl7;Ccl2,1.164279,0.856698,0.486376,1.240855,0.112757,-0.288532,0.513298,-0.307582,-0.604847,0.13603,-0.22601,-0.540515,0.112102
Circadian entrainment,6,Rasd1;Gng11;Gngt2;Per3;Per2;Per1,1.136084,0.440969,-0.157847,0.914784,-0.695116,-1.110606,-0.267976,-0.16146,-0.52068,0.227728,-0.151917,-0.491009,0.28952
Mineral absorption,4,Mt1;Mt2;Trf;Slc40a1,1.098537,-0.123734,-0.749034,0.579936,-0.750802,-1.160043,-0.203642,0.347735,-0.094454,0.855893,-0.245138,-0.696785,0.262546
Focal adhesion,7,Col4a1;Comp;Spp1;Hgf;Pgf;Lama4;Thbs1,1.02366,0.333156,-0.033588,0.706217,-0.488017,-0.921786,-0.13015,0.377846,0.041966,0.78655,-0.645814,-1.077347,-0.202315
Serotonergic synapse,4,Pla2g4a;Gng11;Gngt2;Ptgs2,1.010249,0.27919,-0.345254,0.763,-0.400681,-0.977513,0.108406,-0.173964,-0.70725,0.382506,-0.73106,-1.1127,-0.27167
Tyrosine metabolism,3,Adh1;Aox3;Aldh3b1,0.982806,-0.244861,-1.083081,0.460324,-0.795377,-1.396637,-0.124885,0.025029,-0.537184,0.539079,0.187429,-0.379581,0.80657
Dopaminergic synapse,7,Atf6b;Arntl;Creb3l1;Gng11;Gngt2;Clock;Ppp2cb,0.941499,-0.10648,-0.4442,0.264807,0.521286,0.122569,0.910119,0.074751,-0.331962,0.445828,-0.420213,-0.833832,-0.112724
Alcoholism,13,Grin3a;Hist1h4i;Creb3l1;Gng11;Hist2h2aa1;Gngt2;Fosb;Atf6b;Hist1h2ae;Hist2h2bb;Hist2h2be;Hist1h2ap;Hist4h4,0.924011,0.253143,-0.093818,0.595344,-0.023056,-0.287348,0.319558,0.120184,-0.180753,0.475785,-0.670868,-0.995683,-0.315152
Phagosome,6,Dync2h1;Comp;Atp6v0a4;Tubb2a;Tubb2b;Thbs1,0.903344,0.401923,0.016223,0.78753,-0.132037,-0.505099,0.2845,0.358023,-0.033615,0.84023,-0.501421,-0.833239,-0.087645
Apelin signaling pathway,7,Spp1;Ccn2;Plat;Gng11;Agtr1a;Pik3r6;Gngt2,0.898525,-0.057721,-0.429421,0.54394,-0.459185,-0.862506,-0.010735,0.329059,-0.100466,0.696805,-0.569466,-1.081005,-0.102096
TNF signaling pathway,9,Atf6b;Creb3l1;Junb;Edn1;Il6;Mmp14;Cxcl2;Ptgs2;Ccl2,0.833658,0.272565,-0.0983,0.593313,0.020328,-0.333279,0.345321,-0.561093,-0.89114,-0.188057,-0.165793,-0.443208,0.149344
Wnt signaling pathway,10,Bambi;Sfrp1;Frat2;Wif1;Fzd4;Nfatc2;Wnt2;Daam2;Rspo3;Rspo2,0.798393,0.118805,-0.274142,0.581553,-0.170438,-0.503429,0.175946,0.627954,0.172852,1.058118,-0.132662,-0.537981,0.210774
NOD-like receptor signaling pathway,9,Gbp5;Rnasel;Ifi207;Ifi204;Hsp90aa1;Il6;Cxcl2;Txnip;Ccl2,0.794353,0.286762,-0.28324,0.695698,-0.399084,-0.858973,0.014757,-0.507591,-0.869912,-0.072021,0.093472,-0.343661,0.416705
