gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
IRF9 (human),3,Arntl;Tcf7l2;Mob2,1.094298,-0.290973,-0.566954,0.015314,0.803325,0.350558,1.233872,0.049228,-0.236992,0.316263,-0.004454,-0.568449,0.418919
MXI1 (human),5,Dhrs3;Arhgef3;Slc25a34;Odc1;Tob2,0.449017,-0.141344,-0.43122,0.203053,0.307673,0.027349,0.566471,0.287565,-0.072517,0.554606,-0.131438,-0.455787,0.222685
Nobox (mouse),10,Ech1;Asb4;Nuak1;Gpm6a;Gabrq;S100a8;Stox2;Nap1l5;Ghr;Negr1,0.410749,0.497783,0.192346,0.783835,0.183181,-0.160478,0.473209,0.501863,0.208911,0.755004,0.091114,-0.174885,0.357553
SMAD3 (human),8,Tgfb3;Spen;Foxf1;Serpine1;Eln;Npas4;Pip4k2a;Ankrd1,0.39406,0.017995,-0.202682,0.255553,0.321617,0.052827,0.54939,0.182124,-0.052473,0.402181,-0.072443,-0.297434,0.164831
Nr2e3 (mouse),10,Itgbl1;Efnb1;Nr4a2;Sphk1;Tet1;Plec;Pth1r;Hist1h1c;Gpr146;Zdhhc23,0.346529,-0.062963,-0.28174,0.172258,-0.105041,-0.293061,0.081565,0.008443,-0.184348,0.212013,0.241488,0.069762,0.51567
ELF5 (mouse),30,Nxnl2;Fgfbp3;Rapgef4;Eln;Dhrs3;Gpr146;Ston2;Leo1;Rab3a;Ogn;Naf1;Pi15;Bend4;Bend5;Il1r1;Lyve1;Tlr2;Arhgef3;Rab6b;Sorbs1;Ramp2;Ppp2cb;Lmo7;Mid1;S1pr3;Dock5;Cytl1;Nap1l5;Pdlim5;Sept9,0.335875,-0.043509,-0.173106,0.091127,0.029185,-0.099949,0.169535,0.292365,0.130643,0.439217,0.065251,-0.086717,0.19146
MYB (human),57,Fgfbp3;Rapgef4;Gsto1;Tnni3k;Ptgs2;Dmd;Rchy1;Kcne4;Efemp1;Mdga2;Itgbl1;Alpk1;Epb41;Chordc1;Igf1;Rassf3;Ano4;Ano2;Nrp2;Enpp4;Ypel2;Msx2;Narf;Pcdh11x;Vcan;Churc1;Sytl5;Cfh;Fmo2;Sulf1;Dhrs9;Fra10ac1;Tceal1;Glt8d2;Ablim1;Fgf7;C1qtnf7;Dnajc1;Dnajb4;Phactr4;Limch1;Syne1;Pln;Ifitm3;Gpm6a;Trpm3;Sgk1;Vldlr;Pde6h;Gdf10;Cdk2ap1;Rai14;Chrna1;Nfkbiz;Meis2;Dcn;Palld,0.327635,0.009237,-0.096497,0.148197,-0.097407,-0.180165,0.014978,0.230228,0.139191,0.323204,0.053024,-0.047367,0.144883
Nkx2-5 (mouse),26,Asb4;Cfh;Hsph1;Fgfbp3;Foxp1;Ly6e;S100a8;Stox2;Sema6a;Hsp90aa1;Ip6k2;Apcdd1;Ntn4;Akr1c14;Net1;Hhip;Lgals9;Apobec2;Ptprd;Ctsk;Cd34;Cacybp;Filip1l;Gabrq;Sh3kbp1;Negr1,0.315882,0.327624,0.166369,0.483188,0.011742,-0.158473,0.164771,0.32583,0.172476,0.489197,0.048645,-0.087088,0.164518
KLF11 (human),103,Ngef;Hes6;Zbtb7a;Cryab;Pdgfb;Zbtb7c;Dusp8;Crlf1;Fxyd5;Bhlhe40;Pparg;Lag3;Prrx2;Rasl10b;Zbtb16;Uckl1;Cdc25b;Ly6e;Slc25a34;Hr;Adora1;Pim3;Cirbp;Fhl1;Nrgn;Ppp1r1b;Rcor2;Slc45a4;Cend1;Rassf7;Tspan4;Rrad;Tmem176b;Kcnq5;Tcap;Crip1;Mpg;Ndrg2;Asb10;Ccnd1;Inhbb;Midn;Mmrn2;Rbm24;Plec;Ldb3;Pold4;Cck;Asb2;Serpine1;Mrgprf;Zmiz1;Flrt1;Mthfr;Nr1d1;Nr1d2;Cyb561;Dhrs3;Nfic;Ndufa4l2;Gpr146;Rarg;Gli1;Slco2a1;Sbsn;Igfbp6;Mamstr;Fam107a;Ccdc42;Phactr3;Plekhg5;Selenbp1;Haus8;Tnni3;Hsbp1l1;Pfn1;Gadd45g;Cbfa2t3;Tnnt3;Dpf1;Izumo4;Nme3;Cgref1;Susd2;B3gnt8;Mapre2;Sipa1;Gdpd3;Tgfbi;Nol3;Ephx1;Nr4a2;Efna1;Nap1l5;Hspb7;Hspb2;Hebp2;Dbp;Pde4a;Fgr;Thra;Camk2b;Ccdc28b,0.279138,0.088852,0.016702,0.162084,-0.143225,-0.227184,-0.069282,-0.019479,-0.102075,0.052847,0.135914,0.058551,0.221563
PGR (human),84,Atf3;Ppargc1a;Klf15;Hsph1;Sult1a1;Fxyd5;Iqgap1;S100a8;Npas4;Fam13c;Dpt;Ahsa2;Ahsa1;Kcnk1;Adamts12;Dst;Prc1;Slc25a25;Rin2;Ppp1r3a;Herc2;Nudcd3;Apobec2;Kcns3;Arhgef3;Pdzrn4;Kalrn;Creg2;Sdhd;Zfand1;Asb10;Ccnb1ip1;Pcdh11x;Acaa2;Mmp3;Nav2;Gsk3b;Grk5;Scarb2;Sytl5;Adcy5;St3gal5;Ier5;Anxa5;Phf19;Fmo4;Dhrs9;Fosb;Smoc1;Slc8a1;Phldb2;Tceal1;Glt8d2;Cfl1;Stox2;Slc15a2;Frmd4b;Cacnb2;C1qtnf7;Angpt1;Prkg2;Pln;Myl12a;Tpx2;Ifit3;Tsc22d3;Mlf1;Vav3;Sgk1;Ppp2cb;Tgfb2;Pde6h;Elmo1;Nr4a3;Diaph3;Lpl;Lpp;Srgn;Hspb2;Dtx4;Hebp2;Dbp;Palld;Ccdc28b,0.264217,0.19706,0.116245,0.282522,-0.067157,-0.154549,0.010358,0.095181,0.003077,0.171817,0.080848,-0.001345,0.169756
