gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
Arrhythmogenic right ventricular cardiomyopathy (ARVC),14,Itga5;Jup;Actn2;Itga10;Itga9;Itga7;Dsp;Tcf7l2;Cacnb2;Itgb3;Cacna1d;Slc8a1;Gja1;Dmd,0.324895,-0.05588,-0.206996,0.097659,0.269015,0.098283,0.426311,0.153714,-0.003245,0.326609,0.121468,-0.090476,0.283724
Neurotrophin signaling pathway,13,Map3k1;Trp53;Foxo3;Ntf3;Map3k5;Prkcd;Jun;Nfkbia;Pik3cb;Gsk3b;Irak2;Camk2b;Arhgdib,0.321725,-0.05703,-0.261809,0.138847,0.063445,-0.117977,0.216136,0.264695,0.055085,0.429718,0.167298,-0.050012,0.32273
Hypertrophic cardiomyopathy (HCM),17,Edn1;Tgfb3;Tgfb2;Itga5;Itga10;Itga9;Itga7;Prkaa2;Igf1;Cacnb2;Tnnt2;Itgb3;Cacna1d;Actc1;Slc8a1;Tnni3;Dmd,0.296828,-0.053621,-0.247396,0.098399,0.243207,0.053861,0.403202,0.209597,0.045345,0.367856,0.102331,-0.067341,0.239383
Focal adhesion,26,Actn4;Igf1;Myl12a;Pdgfb;Jun;Vegfd;Vav3;Itga10;Rock1;Comp;Ccnd1;Flnc;Pak3;Pak6;Pgf;Itga5;Pik3cb;Itga9;Itga7;Gsk3b;Lamc2;Vwf;Lama4;Itgb3;Thbs1;Mylk4,0.279962,-0.024264,-0.179076,0.115748,0.046281,-0.080093,0.168205,0.255699,0.109863,0.384994,0.06506,-0.054112,0.203442
PI3K-Akt signaling pathway,42,Prkaa2;Gng8;Myc;Igf1;Kitl;Pdgfb;Vegfd;Tlr2;Sgk1;Kit;Ccne2;Cdkn1a;Ppp2cb;Trp53;Itga10;Csf1;Il6ra;Foxo3;Efna5;Comp;Ccnd1;Ntf3;Pgf;Efna1;Fgfr2;Fgf7;Hsp90aa1;Angpt2;Itga5;Angpt1;Pik3cb;Il3ra;Itga9;Itga7;Gsk3b;Lamc2;Ghr;Vwf;Ddit4;Lama4;Itgb3;Thbs1,0.268539,-0.041597,-0.159629,0.078273,-0.065991,-0.212954,0.058354,0.202548,0.087754,0.311038,0.065155,-0.045744,0.18713
MAPK signaling pathway,42,Il1r1;Hspa1l;Hspa1a;Hspa1b;Myc;Gadd45g;Igf1;Kitl;Pdgfb;Jun;Vegfd;Nfatc1;Dusp8;Ecsit;Mecom;Fos;Kit;Map4k4;Tgfb3;Map3k1;Tgfb2;Trp53;Cdc25b;Fas;Csf1;Efna5;Ntf3;Flnc;Map3k5;Pgf;Cacnb2;Efna1;Fgfr2;Cacna1d;Fgf7;Angpt2;Angpt1;Hspa8;Dusp16;Hspb1;Mknk2;Ddit3,0.257828,-0.064123,-0.187075,0.053725,0.034859,-0.092783,0.1469,0.193704,0.082492,0.300258,0.033703,-0.05571,0.119134
Melanogenesis,13,Wnt5a;Wnt5b;Adcy5;Fzd4;Fzd8;Kitl;Edn1;Wnt9a;Wnt16;Gsk3b;Tcf7l2;Kit;Camk2b,0.243349,0.000849,-0.142736,0.222714,0.171559,-0.071987,0.30574,0.118871,-0.073959,0.300682,0.244198,0.060019,0.43434
Axon guidance,24,Ryk;Epha7;Sema4c;Wnt5a;Wnt5b;Ngef;Rock1;Efna5;Ntn4;Efnb2;Dpysl2;Ablim1;Efnb1;Cfl1;Pak3;Pak6;Sema6a;Efna1;Myl12a;Enah;Pik3cb;Gsk3b;Unc5b;Camk2b,0.236058,0.000181,-0.1563,0.201651,0.185079,0.020741,0.325991,0.150684,0.001975,0.265168,0.236239,0.105302,0.394239
AMPK signaling pathway,14,Prkaa2;Foxo3;Ccnd1;Ppargc1a;Igf1;Pfkfb3;Irs2;Eef2k;Pik3cb;Acaca;Cpt1a;Pparg;Ppp2cb;Scd2,0.230006,0.002886,-0.224824,0.222332,0.048712,-0.14823,0.277615,0.129605,-0.034331,0.296433,0.232892,0.055972,0.380305
mTOR signaling pathway,14,Wnt5a;Wnt5b;Prkaa2;Fzd4;Fzd8;Igf1;Wnt9a;Wnt16;Slc7a5;Lpin1;Pik3cb;Sgk1;Gsk3b;Ddit4,0.215517,-0.012211,-0.210214,0.212552,0.008975,-0.172679,0.174068,0.09759,-0.090349,0.239182,0.203306,0.060187,0.390055
Chemokine signaling pathway,16,Adcy5;Prex1;Gng8;Prkcd;Vav3;Ccl19;Elmo1;Rock1;Foxo3;Nfkbia;Pik3cb;Gsk3b;Cxcl2;Grk5;Tiam1;Fgr,0.189077,0.279337,0.089921,0.512019,0.146195,-0.045359,0.325341,0.09026,-0.102289,0.277819,0.260517,0.028178,0.495718
Wnt signaling pathway,23,Ryk;Wnt5a;Wnt5b;Trp53;Sfrp2;Ror1;Ccnd1;Myc;Serpinf1;Fzd4;Fzd8;Jun;Axin2;Wnt9a;Nfatc1;Wnt16;Gsk3b;Tcf7l2;Csnk2a2;Cacybp;Camk2b;Cxxc4;Rspo3,0.172776,0.041978,-0.086796,0.207842,0.020378,-0.121064,0.157024,0.181805,0.039806,0.345482,0.193154,0.054913,0.331515
Signaling pathways regulating pluripotency of stem cells,16,Pcgf5;Wnt5a;Wnt5b;Myc;Fzd4;Fzd8;Igf1;Inhbb;Fgfr2;Axin2;Wnt9a;Wnt16;Id1;Pik3cb;Id2;Gsk3b,0.10205,0.073506,-0.117564,0.289981,0.096311,-0.064712,0.275586,0.113262,-0.049845,0.305817,0.175556,0.023184,0.327231
Regulation of actin cytoskeleton,28,Actn4;Pfn1;Pip4k2a;Myl12a;Ezr;Pdgfb;Enah;Vav3;Iqgap1;Itga10;Rock1;Cfl1;Myh10;Pak3;Pak6;Diaph3;Fgfr2;Fgf7;Itga5;Baiap2;Pik3cb;Itga9;Myh9;Itga7;Wasf1;Tiam1;Itgb3;Mylk4,0.084609,0.069887,-0.036002,0.211729,0.154496,0.000776,0.302733,0.149512,0.032799,0.266021,0.102577,-0.006788,0.218015
