tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
HNF4A (mouse),21,Fzd4;Nr1d2;Eln;Cdkn2b;Tmem229b;Cdc42ep3;Htr1b;Gal3st3;Zbtb38;Malt1;Akr1c14;Lyve1;Arhgef3;Stip1;Esyt1;Fkbp11;Faim2;Scd2;Zfp36l1;Comp;Lamc2,2.857142857142857,0,19.738764278810056,5.100459411101003,1.0
KLF11 (human),80,Ngef;Hes1;Hes6;Pdgfb;Dusp8;Fxyd5;Bhlhe40;Fstl3;Prrx2;Rasl10b;Zbtb16;Cdc25b;Cxcl12;Slc25a34;Hr;Adora1;Kcnd3;Amdhd2;Pim3;Cirbp;Nrgn;Pgm5;Mfsd10;Ppp1r1b;Cend1;Ifi30;Tspan4;Arhgef2;Sync;Rrad;Tcap;Crip1;Mmgt1;Klhl26;Mpg;Nxph3;Ndrg2;Asb10;Inhbb;Rbm24;S100b;Ldb3;Nr3c2;Cck;Asb2;Mthfr;Nr1d1;Nr1d2;Hoxb8;Cmklr1;Grtp1;Gpr146;Adamtsl5;Slco2a1;Zyx;Metrnl;Mamstr;Fam107a;Ccdc42;Phactr3;Tppp;Hdac4;Haus8;Tnni3;Pfn1;Nme3;Igsf8;B3gnt2;Mapre2;Ephx1;Nr4a2;Nr4a1;Nap1l5;Hspb7;Hebp2;Dbp;Ssbp4;Thra;Camk2b;Ccdc28b,2.85,4,9.473570860334913,5.405508402881011,9.0
AHR (mouse),13,Gtf2ird1;Cyp1b1;Mthfr;Ptp4a3;Atad2;Ptgs2;Npas4;Pitpnm2;Nfe2l2;Glul;Creg2;Zfp36l1;Pkd1,2.7692307692307696,8,16.560582038749544,5.16709055092635,17.0
KLF4 (human),83,Ngef;Hes1;Hes6;Pdgfb;Mybpc2;Dusp8;Fxyd5;Bhlhe40;Fstl3;Prrx2;Rasl10b;Zbtb16;Cdc25b;Cxcl12;Slc25a34;Hr;Adora1;Kcnd3;Amdhd2;Pim3;Cirbp;Nrgn;Pgm5;Mfsd10;Ppp1r1b;Cend1;Ifi30;Tspan4;Arhgef2;Sync;Rrad;Tcap;Crip1;Mmgt1;Klhl26;Mpg;Nxph3;Ndrg2;Asb10;Inhbb;Rbm24;S100b;Ldb3;Nr3c2;Cck;Asb2;Mthfr;Nr1d1;Nr1d2;Hoxb8;Cmklr1;Grtp1;Gpr146;Adamtsl5;Slco2a1;Zyx;Metrnl;Mamstr;Fam107a;Ccdc42;Dnajb1;Phactr3;Tppp;Hdac4;Haus8;Tnni3;Pfn1;Nme3;Igsf8;B3gnt2;Mapre2;Ephx1;Nr4a2;Nr4a1;Nap1l5;Hspb7;Hebp2;Dbp;Lonrf1;Ssbp4;Thra;Camk2b;Ccdc28b,2.746987951807229,4,9.738526597761334,5.639438224727079,9.0
LOC135440 (human),18,Asrgl1;Cyp1b1;Stac;Ppfibp2;Net1;Il16;Steap3;Usp2;Nr4a3;Fam13a;Nr4a1;Mark1;Bicd2;Xirp1;Pdlim5;Unc5b;Ralgapa2;Ldb3,2.6666666666666665,9,15.706281474419317,5.266387146700248,19.0
NR1H2 (human),18,Nr1d2;Alkbh7;Kank4;Echdc3;Dnajb1;Xirp1;Aimp2;Ezr;Acy1;Sec14l1;Cct3;Elmo1;Plaur;Tiam2;Pik3ip1;Camk2b;Samhd1;Spata24,2.6666666666666665,7,15.154718754682314,7.5393451819858,15.0
SNAI2 (human),64,Haghl;Tmem82;Spint2;Nanos1;Spsb1;Kcna2;Prrx2;Slc25a34;Hsp90b1;Pcyt2;Acly;Pim3;Osgin1;Tnfrsf25;Myo10;Bend7;Epb41;Csnk1d;Sugp2;Tspan9;Il16;Agtrap;Pcsk6;Sec14l1;Cct3;Tcap;Gba;Cachd1;Mpg;Plvap;Klhl30;Pak6;Lnx1;Hnrnpl;Tef;Arpc5l;Nr1d1;Slc6a6;Ptp4a3;Tesc;Cdkn1a;Brd9;Ankrd23;Tle6;Igfbp2;Ppef1;Mamstr;Cacnb2;Echdc3;Phactr3;Tppp;Prr5l;Tulp1;Sost;Tub;Nceh1;Tsc22d3;Tlr2;Rasd2;Dbp;Lonrf1;Pik3ip1;Camk2b;Ccdc28b,2.625,4,7.330657937043695,7.143297783873888,9.0
TCF3 (human),64,Haghl;Tmem82;Spint2;Nanos1;Spsb1;Kcna2;Prrx2;Slc25a34;Hsp90b1;Pcyt2;Acly;Pim3;Osgin1;Tnfrsf25;Myo10;Bend7;Epb41;Csnk1d;Sugp2;Tspan9;Il16;Agtrap;Pcsk6;Sec14l1;Cct3;Tcap;Gba;Cachd1;Mpg;Plvap;Klhl30;Pak6;Lnx1;Hnrnpl;Tef;Arpc5l;Nr1d1;Slc6a6;Ptp4a3;Tesc;Cdkn1a;Brd9;Ankrd23;Tle6;Igfbp2;Ppef1;Mamstr;Cacnb2;Echdc3;Phactr3;Tppp;Prr5l;Tulp1;Sost;Tub;Nceh1;Tsc22d3;Tlr2;Rasd2;Dbp;Lonrf1;Pik3ip1;Camk2b;Ccdc28b,2.625,4,7.330657937043695,7.143297783873888,9.0
SNAI1 (human),64,Haghl;Tmem82;Spint2;Nanos1;Spsb1;Kcna2;Prrx2;Slc25a34;Hsp90b1;Pcyt2;Acly;Pim3;Osgin1;Tnfrsf25;Myo10;Bend7;Epb41;Csnk1d;Sugp2;Tspan9;Il16;Agtrap;Pcsk6;Sec14l1;Cct3;Tcap;Gba;Cachd1;Mpg;Plvap;Klhl30;Pak6;Lnx1;Hnrnpl;Tef;Arpc5l;Nr1d1;Slc6a6;Ptp4a3;Tesc;Cdkn1a;Brd9;Ankrd23;Tle6;Igfbp2;Ppef1;Mamstr;Cacnb2;Echdc3;Phactr3;Tppp;Prr5l;Tulp1;Sost;Tub;Nceh1;Tsc22d3;Tlr2;Rasd2;Dbp;Lonrf1;Pik3ip1;Camk2b;Ccdc28b,2.625,4,7.330657937043695,7.143297783873888,9.0
RUNX2 (mouse),75,Spint2;Tesk1;Ppfibp2;Pkia;Rapgef5;Pcyt2;Mfsd10;Akr1c14;Grap;Htra4;Htra3;Plb1;Ldb2;Prelid2;Pcgf5;Homer1;Galt;Grtp1;Dhrs9;Tmem229b;Cdkn1a;Csf1;Fam47e;Tceal1;Stox2;P2rx5;Tulp1;Ifitm3;Aqp1;Pnp;Slc22a4;Rab6b;Spcs3;Zdhhc20;Wnt5a;Cyp2j6;Wnt16;Rbm3;Haghl;Tmem82;Lats2;As3mt;Leo1;Fam13c;Ppm1n;Ntn4;Tmem86a;Uspl1;Fkbp11;Ihh;Gpcpd1;Rbm24;Hmgb3;Samhd1;Sytl5;Cntfr;Maml3;Anxa3;Cdh3;Rcan1;Nacad;Myom1;Rhobtb1;Dusp18;Mustn1;Prr5l;Cacng7;B3gnt2;Elmo1;Stil;Pdzd2;Hspb7;Hspb6;Hebp2;Pik3ip1,2.5600000000000005,4,5.265817691518286,8.659409300378938,9.0
