gene	log_min	log_max
Sept6	-13.02984	-9.575962
Pcyt1b	-13.378147	-9.924269
Cldn10	-15.863054	-12.409176
Map3k13	-15.863054	-12.409176
Fancc	-14.071295	-10.617416
Pde1b	-13.465158	-10.01128
Gm5148	-15.863054	-12.409176
Rufy2	-13.090466	-9.636587
Cdc42se1	-10.99552	-7.5416417
Mif4gd	-12.397318	-8.9434395
Ghrl	-15.863054	-12.409176
Riok3	-10.987857	-7.533979
Glra1	-14.47676	-11.0228815
Cwf19l2	-11.75218	-8.298302
Usf3	-12.867322	-9.413444
Ptp4a1	-14.253616	-10.799738
Psmb9	-11.218663	-7.7647853
Prdm11	-14.7644415	-11.310563
Tmem231	-14.7644415	-11.310563
Dcaf11	-11.87407	-8.420192
Zmat1	-13.783612	-10.329734
Map1a	-14.253616	-10.799738
Setd2	-11.0267725	-7.5728946
Gm30015	-15.863054	-12.409176
Ints8	-12.567217	-9.113338
Ccnt2	-12.078864	-8.624986
Ccdc142	-15.169907	-11.716028
Fibp	-11.802611	-8.348733
Birc6	-11.003242	-7.5493636
Slc9a8	-13.155004	-9.701125
A930005H10Rik	-13.223997	-9.770119
Ccdc186	-11.643546	-8.189668
Gm37634	-15.169907	-11.716028
Txn1	-10.16596	-6.7120824
Xaf1	-11.931229	-8.47735
Gm28417	-13.223997	-9.770119
Mtmr10	-11.971233	-8.517355
Itga2	-15.863054	-12.409176
Tmsb4x	-5.9415298	-2.4876523
Eef1aknmt	-13.917144	-10.463265
Rabif	-13.02984	-9.575962
Prrg2	-12.461857	-9.007978
Trim11	-12.397318	-8.9434395
Gars	-12.397318	-8.9434395
Maml2	-12.225468	-8.771589
Cisd3	-12.972682	-9.518804
Tmbim6	-9.701846	-6.2479687
Ildr1	-14.7644415	-11.310563
Tmpo	-11.385717	-7.9318395
Mfn2	-12.685	-9.231122
Cenps	-14.253616	-10.799738
Mea1	-12.012906	-8.559028
Tifab	-12.336694	-8.882815
Pif1	-14.253616	-10.799738
Gm30881	-15.169907	-11.716028
Tbl3	-13.298104	-9.844226
Tmem14c	-10.446954	-6.993076
F2rl2	-15.169907	-11.716028
Dgat2l6	-15.169907	-11.716028
Psmc1	-11.688666	-8.234788
Gm28578	-14.7644415	-11.310563
Notch1	-11.218663	-7.7647853
Fam210a	-12.918615	-9.464737
Nfam1	-10.369992	-6.9161143
Ano8	-13.378147	-9.924269
Txnrd3	-13.66583	-10.211951
0610040B10Rik	-14.071295	-10.617416
Dlgap4	-11.247933	-7.7940555
Dus2	-13.783612	-10.329734
Prorsd1	-12.279535	-8.825657
Cep350	-11.08393	-7.630052
Mlkl	-14.7644415	-11.310563
Chka	-10.972705	-7.518827
Qk	-9.616947	-6.1630692
Arhgap1	-11.91181	-8.4579315
Zfp958	-14.47676	-11.0228815
Ddx46	-10.907227	-7.4533486
8030456M14Rik	-15.169907	-11.716028
Zfyve9	-13.298104	-9.844226
Zfp945	-12.604958	-9.151079
Fcrls	-9.201199	-5.747321
Rfc5	-13.02984	-9.575962
4930581F22Rik	-13.378147	-9.924269
Cpd	-11.532321	-8.078443
Mipep	-14.071295	-10.617416
Ogfod1	-13.917144	-10.463265
Ranbp10	-12.101854	-8.647976
Fscn2	-15.863054	-12.409176
Uros	-13.917144	-10.463265
Trappc11	-12.867322	-9.413444
Prdx2	-10.302372	-6.848494
Aimp2	-12.72756	-9.273682
Gm49980	-13.560469	-10.10659
Zcchc9	-11.892762	-8.438884
Ndufs8	-11.247933	-7.7940555
Zadh2	-12.644178	-9.1903
Exoc6	-12.72756	-9.273682
Patj	-13.917144	-10.463265
Ercc3	-12.429067	-8.975188
Gtf2ird2	-13.917144	-10.463265
Epb41l1	-11.91181	-8.4579315
Tmem106a	-10.487776	-7.033898
Il4i1	-14.47676	-11.0228815
Gm45716	-13.66583	-10.211951
Pacc1	-13.223997	-9.770119
Zfas1	-10.865842	-7.411964
Rhno1	-13.378147	-9.924269
Commd4	-11.558989	-8.10511
Ripk2	-12.72756	-9.273682
Pdzrn4	-14.253616	-10.799738
Cplane2	-15.863054	-12.409176
Klrd1	-14.071295	-10.617416
Ctxn1	-14.7644415	-11.310563
Scfd2	-14.071295	-10.617416
Hnrnpul1	-11.218663	-7.7647853
Elob	-9.656478	-6.2026
Cep97	-13.783612	-10.329734
1700025G04Rik	-12.174174	-8.720296
Pnp	-10.268343	-6.814465
Prox2	-15.169907	-11.716028
Dnajc12	-13.223997	-9.770119
Gm13470	-15.169907	-11.716028
2410131K14Rik	-14.071295	-10.617416
C030005K06Rik	-14.47676	-11.0228815
Rdh13	-14.253616	-10.799738
Utp14a	-11.785517	-8.331638
Wdsub1	-12.604958	-9.151079
Mapk1ip1l	-11.820003	-8.366124
Ythdc1	-10.525516	-7.0716376
Fbxo28	-12.307706	-8.853827
Mrvi1	-12.252136	-8.798258
Tmem41a	-14.071295	-10.617416
Gm26756	-15.863054	-12.409176
Gcsh	-12.279535	-8.825657
Stil	-15.863054	-12.409176
Gm13431	-15.169907	-11.716028
Vav3	-11.153523	-7.6996455
Cox15	-13.378147	-9.924269
Agbl5	-15.169907	-11.716028
Gpr45	-15.169907	-11.716028
B930059L03Rik	-15.169907	-11.716028
Commd6	-11.719919	-8.266041
E330032C10Rik	-15.863054	-12.409176
Cfap36	-12.867322	-9.413444
Tspan18	-15.863054	-12.409176
Ier3	-8.615261	-5.161383
Dcaf7	-11.87407	-8.420192
Unc45a	-12.604958	-9.151079
Tcta	-13.378147	-9.924269
Ccpg1	-11.171706	-7.7178283
Ubfd1	-12.307706	-8.853827
Cyba	-8.796587	-5.342709
Dnm2	-10.71556	-7.261682
Gcnt1	-11.971233	-8.517355
Dgcr8	-13.560469	-10.10659
Gns	-10.374116	-6.920238
Rbx1	-10.203571	-6.7496934
Rabgap1	-11.820003	-8.366124
Zfp574	-13.465158	-10.01128
Fgfr1op2	-10.872622	-7.4187436
Edem1	-11.309177	-7.8552995
Eml3	-12.918615	-9.464737
Ripk3	-13.783612	-10.329734
Rtn4ip1	-14.47676	-11.0228815
Pphln1	-12.972682	-9.518804
Cd300lf	-14.7644415	-11.310563
9130023H24Rik	-14.7644415	-11.310563
Nsfl1c	-11.75218	-8.298302
Snu13	-10.78788	-7.334002
Zeb1	-12.972682	-9.518804
Gtf2h1	-11.802611	-8.348733
Rbm18	-12.307706	-8.853827
Sap130	-12.818531	-9.364653
Gtse1	-15.863054	-12.409176
Tmem19	-12.461857	-9.007978
Ribc1	-15.863054	-12.409176
Amd2	-15.863054	-12.409176
Pqlc2	-12.818531	-9.364653
Olfr433	-14.47676	-11.0228815
Stk38	-11.003242	-7.5493636
Krcc1	-11.144555	-7.690677
Tmem192	-11.991853	-8.537974
Mob3c	-11.374417	-7.9205394
Pm20d1	-15.863054	-12.409176
Fam126b	-12.495758	-9.04188
Hacl1	-14.47676	-11.0228815
Eed	-11.688666	-8.234788
Slc2a1	-13.090466	-9.636587
Gm43768	-14.47676	-11.0228815
Plac8	-12.252136	-8.798258
Racgap1	-13.155004	-9.701125
Nucb1	-10.935801	-7.4819226
Resf1	-10.845774	-7.391896
Polr2k	-11.408707	-7.9548287
Gimap7	-15.863054	-12.409176
Nat2	-13.465158	-10.01128
Dock3	-15.863054	-12.409176
Btaf1	-11.75218	-8.298302
Timp1	-13.783612	-10.329734
Mapkapk3	-12.772012	-9.318133
Ndc80	-15.863054	-12.409176
Utp20	-12.772012	-9.318133
Slc10a1	-14.253616	-10.799738
Pkib	-13.465158	-10.01128
Gpr84	-14.253616	-10.799738
Zfat	-13.66583	-10.211951
Yars2	-13.917144	-10.463265
Uprt	-14.7644415	-11.310563
Jtb	-11.363244	-7.909366
Rsph10b	-15.863054	-12.409176
Rtn2	-14.7644415	-11.310563
4632427E13Rik	-11.971233	-8.517355
Col5a1	-14.47676	-11.0228815
Zfp94	-15.863054	-12.409176
Zfp983	-13.783612	-10.329734
Gm17344	-15.863054	-12.409176
Mfsd8	-13.917144	-10.463265
Slc35d1	-13.465158	-10.01128
Dusp28	-13.783612	-10.329734
Pim1	-10.492416	-7.0385385
Gpx8	-14.7644415	-11.310563
Dcaf4	-13.917144	-10.463265
Inmt	-14.253616	-10.799738
Pdk4	-15.169907	-11.716028
Nme3	-14.47676	-11.0228815
AY036118	-9.556778	-6.1029005
Wwox	-13.155004	-9.701125
Gm15965	-15.863054	-12.409176
Slc19a2	-14.7644415	-11.310563
Mapkbp1	-13.66583	-10.211951
Pcmtd1	-11.05087	-7.596992
Bzw1	-10.272067	-6.818189
4930430E12Rik	-15.863054	-12.409176
Mttp	-13.560469	-10.10659
Lhfpl2	-14.071295	-10.617416
Gm17167	-15.863054	-12.409176
Cops3	-12.101854	-8.647976
Gm48768	-15.863054	-12.409176
Pnma1	-15.169907	-11.716028
AU041133	-14.47676	-11.0228815
Phldb2	-14.7644415	-11.310563
Ntn3	-14.7644415	-11.310563
Gm9873	-13.66583	-10.211951
Cbfa2t2	-12.972682	-9.518804
D330041H03Rik	-15.169907	-11.716028
Igkv4-86	-15.863054	-12.409176
Fabp4	-13.66583	-10.211951
Zfp341	-14.253616	-10.799738
Kras	-10.800459	-7.346581
Tmem120b	-14.253616	-10.799738
Gm43848	-13.66583	-10.211951
R3hdm4	-11.600374	-8.146496
Ranbp3	-12.101854	-8.647976
Zfp626	-12.918615	-9.464737
Diaph3	-13.465158	-10.01128
Cldn1	-15.863054	-12.409176
Ptgis	-12.818531	-9.364653
Atmin	-12.056392	-8.602513
Cyb5r3	-11.1809225	-7.7270446
Men1	-13.223997	-9.770119
Zbtb48	-13.917144	-10.463265
Hdgfl2	-12.644178	-9.1903
Tmcc2	-13.298104	-9.844226
Wdfy3	-10.839173	-7.3852954
Pla2g2d	-10.950399	-7.4965215
Uba1	-11.228325	-7.774447
Dvl1	-12.972682	-9.518804
Gm50232	-15.863054	-12.409176
Sugt1	-11.363244	-7.909366
Creb5	-11.209094	-7.755216
Col11a2	-15.169907	-11.716028
Rtl5	-13.66583	-10.211951
Efcab11	-15.863054	-12.409176
Lrp1	-10.149322	-6.6954436
Zfp229	-15.169907	-11.716028
Stoml1	-12.567217	-9.113338
C1galt1	-11.87407	-8.420192
Hmgn1	-10.686904	-7.233026
Zfp606	-14.071295	-10.617416
Gm9573	-15.863054	-12.409176
Gm15952	-15.863054	-12.409176
Gm33023	-13.783612	-10.329734
Bank1	-10.957779	-7.503901
Dnase1l2	-14.7644415	-11.310563
Slf2	-11.892762	-8.438884
Ddias	-13.783612	-10.329734
Huwe1	-11.1809225	-7.7270446
Timm17a	-12.078864	-8.624986
Tulp1	-14.253616	-10.799738
Gm35154	-13.465158	-10.01128
Slc25a45	-12.225468	-8.771589
Ficd	-14.7644415	-11.310563
Sri	-10.497078	-7.0432
Med30	-12.530849	-9.076971
Pbx4	-15.863054	-12.409176
Tfeb	-11.991853	-8.537974
2410006H16Rik	-10.446954	-6.993076
Cnih2	-15.863054	-12.409176
Pcnp	-11.228325	-7.774447
Smarcd1	-12.530849	-9.076971
Gm15764	-15.863054	-12.409176
2610507B11Rik	-10.38659	-6.932712
Glod4	-11.892762	-8.438884
Gm43065	-15.169907	-11.716028
Lage3	-11.892762	-8.438884
Srprb	-12.279535	-8.825657
Osbpl6	-15.169907	-11.716028
Pgs1	-12.604958	-9.151079
Mybl1	-15.169907	-11.716028
Gm12185	-15.863054	-12.409176
Maged2	-13.090466	-9.636587
Tusc1	-13.378147	-9.924269
Fam13b	-11.673399	-8.219521
Abcd3	-12.530849	-9.076971
Aptx	-13.090466	-9.636587
