frac_misaligned_amplitude_larger
0.3174
0.6116
0.2756
0.4214
0.2988
0.2418
0.3302
0.373
0.1998
0.5744
0.2124
0.5198
0.1274
0.2516
0.1178
0.299
0.3152
0.2674
0.7048
0.6934
0.3672
0.3154
0.4758
0.2408
0.3754
0.3076
0.0282
0.203
0.3932
0.5204
0.214
0.2676
0.5354
0.3966
0.6936
0.4552
0.2222
0.3012
0.6856
0.568
0.326
0.697
0.1812
0.3692
0.5918
0.2896
0.3972
0.3396
0.2016
0.6276
0.2976
0.1376
0.3196
0.3894
0.7292
0.229
0.2742
0.3092
0.3828
0.273
