gene,acrophase_aligned_h,acrophase_misaligned_h
1200007C13Rik,22.21125971308047,1.331011205256214
2210407C18Rik,16.75677088419845,17.437010801083034
2310015D24Rik,2.1190891516443315,7.8489273454562944
2310022B05Rik,22.4212446605581,2.062510908177197
3425401B19Rik,9.872706403457128,12.521973850394545
4631405J19Rik,5.750057609184395,6.991390431692228
4833412C05Rik,5.174231864489947,5.50897817109261
4930579P08Rik,0.38310998518890027,3.242772851855734
Abra,18.80180801324539,16.49578322599955
Abtb2,21.667042079339982,2.424355438978562
Acan,15.585424556122561,18.0185845637889
Actn2,20.723314514476307,13.936185842410236
Actr3b,12.17963921539929,14.935806607826535
Adam19,0.8478213214147186,3.8138562307257287
Adamts1,13.982633829766264,14.631462954446029
Adamts15,0.8793856430851363,1.689892498804074
Adamtsl1,23.850510732960643,23.609921193348935
Adamtsl5,14.781203094151426,19.980389641047264
Adcy7,15.295151722929635,17.68128698148246
Ahctf1,16.94299778546253,17.11148619947432
Ahsa2,20.613896755743816,18.792020216234036
Akap5,1.3990530276216164,2.681326283267254
Akr1c14,0.7640293658864383,14.438959551311005
Alkbh7,1.142313565926735,3.106239512527151
Alpk1,12.410555053549782,16.888510314900927
Angptl2,16.49190875026219,21.396046414397816
Ankrd23,0.33609308497984,3.80309576503251
Ano4,0.9003896867222646,14.55267340183294
Apcdd1,16.778653617336072,19.11401817051225
Arid5a,16.854931734092055,14.16674673696517
Arid5b,17.139664157950044,17.180344399652608
Arntl,0.7041945345495325,3.5171982666272212
Asb2,1.4386030558790341,4.297348432617135
Asb4,1.39421301504588,12.359783269757614
Asb5,1.057132337000609,3.162423498004567
Atad2,16.121517568186476,18.08735687315742
Atp1b1,8.890905018391832,13.688571503433739
Atp6ap1l,1.194220788704337,1.0346985401147482
Aven,15.250885827394502,18.624151297521436
B3gnt2,14.358540391011,13.837639164715831
Banp,21.45539868188861,20.34779648878444
Bhlhe41,10.913769228453019,14.675665164996865
Bik,1.3031185803552092,3.6136318089356525
Bmp2,19.654827202953566,18.090850627585006
Bmp3,16.8662024774486,18.20789489455646
Bst2,3.7396152858828713,12.23046969611232
C1qtnf7,3.3165537539337286,3.689689703947135
Camk1d,16.194148509310253,20.98217887839983
Camk2b,3.663363761428152,9.412178571002777
Ccdc107,5.000377426583722,6.499934376858107
Ccdc112,0.4390268016658801,3.2887256159758
