gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
REACTOME_SEALING_OF_THE_NUCLEAR_ENVELOPE_NE_BY_ESCRT_III,3,Tubb4a;Tuba1a;Tuba1c,0.433105,-0.443539,-0.90791,-0.044047,-0.150123,-0.48057,0.247068,-0.010434,-0.277691,0.282527,-0.152611,-0.423849,0.147842
REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER,6,Smad7;Serpine1;Myc;Cdkn2b;Ubc;Uba52,0.429743,0.020015,-0.254732,0.271152,-0.409564,-0.606606,-0.113664,0.020179,-0.321233,0.292099,-0.016183,-0.219166,0.216225
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION,6,Smad7;Serpine1;Myc;Cdkn2b;Ubc;Uba52,0.429743,0.020015,-0.254732,0.271152,-0.409564,-0.606606,-0.113664,0.020179,-0.321233,0.292099,-0.016183,-0.219166,0.216225
REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY,4,Hsp90aa1;Hspa8;Ubc;Uba52,0.428247,-0.104454,-0.325347,0.149166,-0.420605,-0.719634,-0.099144,-0.04763,-0.29765,0.223617,0.007642,-0.219888,0.236315
REACTOME_ARACHIDONIC_ACID_METABOLISM,5,Dpep1;Ptgs2;Abcc1;Ephx2;Cyp1b1,0.424765,-0.725445,-1.106146,-0.211266,-0.352597,-0.702634,0.080979,-0.309553,-0.640777,0.009505,-0.30068,-0.606592,0.011903
REACTOME_HSF1_ACTIVATION,11,Fkbp4;Hsp90aa1;Hspb1;Hsph1;Dnajb1;Rpa1;Tnfrsf21;Hspb2;Hspa1b;Hspa1a;Hspa1l,0.415961,-0.20713,-0.342833,-0.007876,-0.463466,-0.701534,-0.312363,-0.388703,-0.597909,-0.175933,-0.047505,-0.229775,0.116784
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,3,Dcn;Vcan;Ncan,0.410203,-0.388682,-0.819611,0.157673,-0.197328,-0.576367,0.382376,-0.478692,-0.919158,-0.122085,-0.068489,-0.394771,0.211106
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS,3,Dcn;Vcan;Ncan,0.410203,-0.388682,-0.819611,0.157673,-0.197328,-0.576367,0.382376,-0.478692,-0.919158,-0.122085,-0.068489,-0.394771,0.211106
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS,3,Dcn;Vcan;Ncan,0.410203,-0.388682,-0.819611,0.157673,-0.197328,-0.576367,0.382376,-0.478692,-0.919158,-0.122085,-0.068489,-0.394771,0.211106
REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS,3,Dcn;Vcan;Ncan,0.410203,-0.388682,-0.819611,0.157673,-0.197328,-0.576367,0.382376,-0.478692,-0.919158,-0.122085,-0.068489,-0.394771,0.211106
REACTOME_CS_DS_DEGRADATION,3,Dcn;Vcan;Ncan,0.410203,-0.388682,-0.819611,0.157673,-0.197328,-0.576367,0.382376,-0.478692,-0.919158,-0.122085,-0.068489,-0.394771,0.211106
