gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
GOBP_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT,7,Efnb2;Ephb2;Fkbp4;Mbp;Spp1;Vim;Sema3e,0.80277,0.181357,-0.244636,0.608147,0.031761,-0.371156,0.378732,-0.126619,-0.500658,0.23417,0.676152,0.310409,1.096708
GOBP_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,7,Efnb2;Ephb2;Fkbp4;Mbp;Spp1;Vim;Sema3e,0.80277,0.181357,-0.244636,0.608147,0.031761,-0.371156,0.378732,-0.126619,-0.500658,0.23417,0.676152,0.310409,1.096708
GOBP_GRANULOCYTE_CHEMOTAXIS,13,Il34;Dpp4;Edn1;Cxcl2;Lgals3;Prex1;Ccl2;Ccl7;Ccl11;Ccl19;Cxcl5;Thbs1;Cd74,0.799867,-0.190575,-0.543012,0.151806,-0.028982,-0.352075,0.322497,0.176095,-0.160622,0.507716,0.609293,0.251451,0.977354
GOBP_GRANULOCYTE_MIGRATION,13,Il34;Dpp4;Edn1;Cxcl2;Lgals3;Prex1;Ccl2;Ccl7;Ccl11;Ccl19;Cxcl5;Thbs1;Cd74,0.799867,-0.190575,-0.543012,0.151806,-0.028982,-0.352075,0.322497,0.176095,-0.160622,0.507716,0.609293,0.251451,0.977354
GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY,6,Ccn2;Limch1;Rgcc;Rhoc;Myoc;Sfrp1,0.792995,-0.072079,-0.541945,0.353892,0.073661,-0.252227,0.321739,-0.685211,-1.042502,-0.268048,0.107783,-0.22365,0.486163
GOBP_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY,6,Ccn2;Limch1;Rgcc;Rhoc;Myoc;Sfrp1,0.792995,-0.072079,-0.541945,0.353892,0.073661,-0.252227,0.321739,-0.685211,-1.042502,-0.268048,0.107783,-0.22365,0.486163
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION,10,Edn1;Fgf1;Sash1;Anxa3;Hspb1;Enpp2;Ptgs2;Epb41l5;Tek;Thbs1,0.784705,-0.213647,-0.558416,0.224067,-0.05538,-0.340294,0.25763,-0.416714,-0.737192,-0.053499,0.367991,0.062091,0.661808
GOBP_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY,7,Ccn2;Limch1;Rgcc;Rhoc;Myoc;Sfrp1;Alms1,0.775613,-0.156752,-0.619066,0.194376,0.089757,-0.251084,0.350177,-0.676412,-1.049152,-0.242608,0.099201,-0.22823,0.463887
GOBP_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS,6,C1qtnf3;Cry1;Lepr;Chst15;Dgat2;Per2,0.774136,-0.576463,-1.129891,-0.057648,-0.127604,-0.452558,0.203995,-0.604987,-0.977999,-0.17849,0.169149,-0.337102,0.800453
GOBP_REGULATION_OF_ACTOMYOSIN_STRUCTURE_ORGANIZATION,8,Ccn2;Edn1;Limch1;Rgcc;Rhoc;Myoc;Sfrp1;Alms1,0.771753,-0.114041,-0.533803,0.282592,0.141811,-0.166744,0.394956,-0.629941,-1.009111,-0.240405,0.139305,-0.134532,0.540573
