gene	log_min	log_max
Gm13571	-16.313957	-12.860079
Cnot9	-13.238182	-9.784304
Dars2	-13.886209	-10.43233
Wdr48	-12.065462	-8.611584
Gm14393	-17.412569	-13.958691
Arsb	-12.90171	-9.447831
Ache	-16.719421	-13.265544
1810037I17Rik	-9.738417	-6.2845387
Nkrf	-14.522198	-11.068319
Gm20682	-15.803131	-12.349253
Cdc42se1	-11.97449	-8.520612
Lin54	-13.095081	-9.641203
Acot9	-11.622609	-8.168731
Hist1h3g	-17.412569	-13.958691
Kif26a	-11.496367	-8.042489
Rubcn	-12.730438	-9.27656
Flvcr1	-13.6989975	-10.245119
Cdhr4	-16.026274	-12.572396
Grik5	-12.576287	-9.122409
4930573H18Rik	-16.026274	-12.572396
Cpeb3	-13.916061	-10.462183
Zkscan14	-13.978582	-10.524704
Irx2	-16.313957	-12.860079
Pdzk1ip1	-11.9788475	-8.524969
1110002O04Rik	-16.719421	-13.265544
Col16a1	-14.927663	-11.473784
Rnd3	-13.583928	-10.13005
9830144P21Rik	-17.412569	-13.958691
Actr6	-12.703039	-9.249161
A530016L24Rik	-16.313957	-12.860079
Zfp239	-16.313957	-12.860079
Calcrl	-10.182731	-6.7288527
Nisch	-10.726708	-7.2728305
Zbtb9	-14.522198	-11.068319
Acad11	-13.423585	-9.969707
Cspg4	-15.215344	-11.761466
E230029C05Rik	-15.014674	-11.560796
R3hdm4	-12.324973	-8.871095
6430548M08Rik	-13.461326	-10.007447
Bpgm	-10.530131	-7.0762534
Parp6	-13.135903	-9.682025
Fam120b	-12.186823	-8.7329445
Med6	-12.362713	-8.908834
Tmem18	-12.608548	-9.15467
Usp50	-13.801651	-10.347773
Pcdhga3	-15.62081	-12.166931
Catsper3	-16.719421	-13.265544
Plaur	-11.887116	-8.433238
Zfp598	-12.435836	-8.981957
Itsn2	-11.008995	-7.555117
Tmco6	-14.321527	-10.867648
Capg	-10.870097	-7.416219
Pitpnm2os2	-17.412569	-13.958691
Dennd1b	-12.415357	-8.961478
Trim8	-11.698836	-8.244958
Mad1l1	-13.405236	-9.951358
Gm48730	-15.333128	-11.87925
Mfap5	-10.065914	-6.612036
Tmod2	-11.220207	-7.7663293
4933431K23Rik	-17.412569	-13.958691
Adk	-11.411155	-7.957277
Lck	-16.026274	-12.572396
Bloc1s4	-12.2251835	-8.771305
Saa3	-17.412569	-13.958691
Arrdc3	-11.923632	-8.469753
Srgap2	-12.114252	-8.660374
Atp6v0c	-9.809669	-6.3557906
2300009A05Rik	-12.343665	-8.889787
Cep131	-14.63998	-11.186102
Psmd10	-12.608548	-9.15467
Mapk12	-11.821582	-8.367703
