gene,wt_cross_sex_ll,ko_cross_sex_ll,is_wt_cycler
Add1,-282.9055808189793,-291.170658801456,False
Adgra3,-278.1267681038939,-268.73804894036056,False
Adgre5,-270.3687985253306,-294.0559948313668,False
Adgrl1,-285.6481292448806,-333.5626916741277,False
Adgrl2,-281.1725872045735,-281.67605315199893,False
Adh5,-250.85321892944216,-252.80570486158038,False
Adipor1,-242.0902092331762,-240.18797512611133,False
Adk,-264.3859770929067,-272.60176795978236,False
Adm,-277.73624219226,-293.82699683174786,False
Adnp,-280.25720630381113,-271.1745372771274,False
Adprh,-248.62618661092466,-233.61196643734527,False
Adrm1,-246.0018580097293,-260.82657212477403,False
Adss,-249.07525981377358,-261.36325865805424,False
Aebp1,-312.16164024441593,-247.4694865390946,False
Aebp2,-284.8513925666315,-265.6805739849707,False
Afap1,-274.5773415171449,-275.3014412011953,True
Aff1,-310.9549608233204,-275.66505753709805,False
Aff4,-280.0743134763194,-275.2156418300601,True
Aftph,-246.2973486239509,-259.47229915486514,False
Aga,-272.5260532492776,-253.49806564014045,False
Agfg1,-253.99325279933265,-257.29150993399327,False
Agl,-280.5968037888871,-258.0130168384438,False
Ago2,-275.4181235162977,-263.2983559093195,False
Agpat3,-259.6152190683577,-258.49917998705024,False
Agpat5,-271.91308251260216,-265.73021582376765,False
Agrn,-278.5550605567084,-284.69081488351696,False
Agtpbp1,-260.4045930895591,-263.25686461882054,False
Ahcyl1,-255.1004710171499,-254.9316965483002,False
Ahdc1,-281.17058796254923,-331.4743571940977,False
Ahnak,-331.07825869621087,-290.764773488843,True
Ahnak2,-278.0902275913696,-300.233133299252,False
Ahsa1,-262.7994041630854,-265.34697920480573,False
Ahsa2,-305.6808078212827,-250.45564672928944,True
Aida,-263.64224901346876,-275.6549242142382,False
Aifm1,-241.88781851204246,-279.6826349329685,False
Aig1,-259.88424404385506,-245.6258375178865,False
Aimp1,-242.32484506598172,-245.42786592150142,False
Aimp2,-298.31095911272,-286.5266576512858,False
Aip,-263.2347177449402,-252.81449866029166,False
Ak1,-254.98082305478647,-249.3314076542082,False
Ak2,-251.5331317515042,-240.77486902969065,False
Ak3,-283.00190591776095,-248.7992797606573,False
Ak6,-239.1777472038773,-243.4771614793598,False
Akap11,-277.9074012405516,-267.9705416256132,False
Akap13,-279.21481940246537,-294.5727518755633,False
Akap6,-280.9262546092482,-262.23511143953226,False
Akap8,-256.04043658876117,-258.2722523950877,False
Akap8l,-261.1168682311242,-252.2270990956167,False
Akap9,-262.99439465238163,-249.81707175255585,False
Akirin1,-277.70967298809984,-253.97904191082978,False
Akirin2,-280.72463060507664,-241.42494525947774,False
Akr1a1,-246.85207746513797,-256.7778008996927,False
Akr1b3,-260.9264338253135,-264.70506898701626,False
Akr7a5,-258.0043626522535,-272.43471859583843,False
Akt1,-261.555557557627,-270.1492418547335,False
Akt1s1,-250.65975273980428,-243.6788432286228,False
Akt2,-281.13974584607604,-285.2444508830427,False
Akt3,-244.36653875467542,-281.1475416350811,False
Aktip,-257.6850289549259,-255.1828363080311,False
Alcam,-283.3914394230859,-268.6438714202601,False
Aldh2,-257.6662328942006,-260.3785545565188,False
Aldh6a1,-275.30088495112824,-256.98596354841794,False
Aldh7a1,-238.6082226822002,-238.06762032750868,False
Aldoa,-263.19634804728037,-255.64976954295162,False
Alg14,-271.67959370788856,-253.0552420028595,False
Alg5,-259.9910566148215,-250.73566753579547,False
Alkbh5,-243.08152457344414,-236.20153894695372,False
Alyref,-305.758220365674,-249.66061502407607,False
Amd1,-249.11247804378,-263.59276291303536,False
Amfr,-257.47393860819165,-252.16199383243344,False
Amotl1,-294.67565254020315,-261.3827114078095,False
Amotl2,-381.2674533943049,-279.0794292864244,True
Anapc1,-252.2135249863134,-261.2573888077614,False
Anapc11,-256.01168621026386,-261.7100131674396,False
Anapc13,-263.47722217046623,-253.59218575184684,False
Anapc16,-259.52848210616696,-255.97863139718652,False
Anapc2,-255.3511716112764,-262.4106555404806,False
Anapc4,-262.76754928968256,-266.9697831812457,False
Anapc5,-246.39640457131608,-249.92282507590565,False
Anapc7,-251.09715549494837,-273.3589105953762,True
Angel2,-253.95193422680057,-266.0568176107222,False
Angpt2,-312.78448271799147,-275.7496454512201,False
Angptl2,-287.9057746536986,-267.5009821778924,True
Ank,-303.7907679778766,-392.1062669280683,False
Ank2,-282.2370199863975,-277.1822529149484,False
Ankhd1,-269.0376177759313,-259.25781098236854,False
Ankmy2,-248.8518863650993,-260.4116148282518,False
Ankra2,-265.79988123533025,-280.0026268242128,False
Ankrd10,-294.3630517106474,-254.13539629829833,False
Ankrd11,-290.6382403468974,-254.04597867511904,False
Ankrd12,-258.28097299262606,-250.883031683115,False
Ankrd17,-277.86788934428694,-262.73603608257326,False
Ankrd40,-280.99901841711215,-273.28955431706476,False
Ankrd9,-269.0549565658719,-271.01160855511375,False
Anln,-315.90443375821746,-270.3001014993819,True
Ano1,-277.93829823678396,-362.64662783049187,False
Ano10,-259.0099482240782,-269.57676898244785,False
Ano6,-299.8195094502722,-263.37520160189695,False
Anp32a,-253.61878848048923,-262.04476496575904,False
Anp32b,-267.88811093111826,-250.32258244404835,False
Anp32e,-259.0455892283964,-252.3705575638016,False
Antxr1,-296.73589834740415,-271.13558443364604,True
Anxa1,-264.01965213099254,-275.3865641532086,False
Anxa11,-259.51235298109896,-255.25005003377055,False
Anxa2,-254.94981777112991,-264.1868286100484,False
Anxa3,-275.0475796198212,-246.59388516294237,True
Anxa4,-258.99696089445195,-242.51550940918185,False
Anxa5,-273.5451772338653,-255.3069728579585,True
Anxa6,-266.77569686118636,-263.9114107014847,False
Anxa7,-259.4728455821741,-255.42521799146706,False
Aoc3,-264.059968607047,-250.93872344057652,False
Aopep,-292.40258350731676,-250.6041809880197,False
Ap1s1,-250.3081587978172,-262.8452475246987,False
Ap1s2,-278.0544003998865,-270.29421560351125,False
Ap2a1,-291.90501828674815,-277.98191223903336,False
Ap2b1,-327.17519577629747,-249.3241545740244,False
Ap2m1,-253.14385824334374,-282.81902485045987,False
Ap2s1,-256.20556259214374,-255.695369692615,False
Ap3b1,-259.77517667696526,-276.73725188052316,False
Ap3d1,-322.3186678645099,-264.69487357210977,False
Ap3m1,-294.94410019420445,-252.36442611345927,False
Ap3s1,-279.9872112148279,-271.83605189207196,False
Ap4s1,-272.6910892205847,-264.56625373024497,False
Apbb1,-259.6862537619202,-264.22171080600486,False
Apc,-296.5591386119753,-267.22110549416925,False
Aph1a,-239.9344050772123,-229.20586776954394,False
Api5,-252.3220964635608,-256.029144837681,False
Apip,-258.7216825164447,-245.71136434371698,False
Aplp2,-257.6259047419517,-258.89375307341686,False
Apoe,-250.18451686858066,-483.22373538303424,False
Apopt1,-251.50146679735354,-257.78521194373513,False
App,-310.66028768791483,-304.28190202645294,False
Appbp2,-267.0991842181015,-247.29221037546887,False
Appl1,-253.1122182291978,-257.2777465434673,False
Aprt,-268.88242986892004,-262.3724017093399,False
Aqp1,-313.2480562672398,-641.8445698981911,True
Aqr,-269.4919002356347,-260.5450064362812,False
Ar,-320.3883134082063,-352.67907044088565,False
Araf,-261.0669451679766,-255.3531021948369,False
Arap2,-268.3132777357929,-262.90877323879766,False
Arcn1,-255.89659061768754,-264.6329184771561,False
Arf1,-274.492040023623,-259.7603178201065,False
Arf2,-261.0129238084169,-277.7180611153561,False
Arf3,-259.7055126414437,-275.7235428784731,False
Arf4,-255.14847887505695,-250.10607260149476,False
Arf5,-311.5626817092959,-258.7045359723983,False
Arf6,-260.1443464500594,-250.92992920351094,False
Arfgap2,-263.4422085989958,-255.44403368875618,False
Arfgef1,-260.0041960160991,-283.28634564865894,False
Arfip1,-299.9860794867823,-278.60804222232554,False
Arfrp1,-261.90790161828534,-249.51645733164605,False
Arglu1,-253.66665278439876,-239.5153970234974,False
Arhgap1,-259.80095000065967,-303.0572135796933,False
Arhgap10,-265.7920597511097,-268.04655396761774,True
Arhgap17,-280.78652261742843,-278.37549629578905,False
Arhgap29,-278.9914912379736,-270.4839923237882,False
Arhgap35,-273.46382534333407,-290.4375883234498,False
Arhgap5,-238.5652049258718,-250.70459283661202,False
Arhgdia,-255.31994176110504,-264.67641393908735,False
Arhgef1,-260.3176382779249,-257.14550084755183,False
Arhgef10l,-278.82179690067153,-279.40536509732806,False
Arhgef12,-290.7361440309397,-259.83337593886654,False
Arhgef17,-302.61492775560396,-288.71591573230944,False
