bf_threshold,wt,ko,shared,unique_wt,unique_ko
0.5,786,443,75,711,368
0.75,707,381,62,645,319
1.0,648,338,55,593,283
1.25,590,303,49,541,254
1.5,538,263,41,497,222
1.75,491,239,35,456,204
2.0,454,215,33,421,182
2.25,415,195,32,383,163
2.5,385,177,30,355,147
2.75,360,167,26,334,141
3.0,329,148,24,305,124
4.0,249,107,21,228,86
5.0,194,82,14,180,68
6.0,163,61,13,150,48
7.0,134,49,12,122,37
8.0,116,42,11,105,31
9.0,104,38,10,94,28
10.0,96,32,8,88,24
