bf_threshold,wt,ko,shared
0.5,900,208,32
0.75,861,189,27
1.0,825,168,25
1.25,786,159,25
1.5,766,144,24
1.75,740,128,21
2.0,712,118,19
2.25,695,111,18
2.5,673,102,16
2.75,656,96,15
3.0,634,91,15
4.0,570,77,15
5.0,518,72,14
6.0,474,67,12
7.0,442,62,11
8.0,413,59,10
9.0,394,57,9
10.0,381,55,9
