ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-3.7494570731049164,-4.0361305552889135,-3.335165221238065
ZT6,-3.6033114630683145,-3.8452065488274347,-3.321494290522648
ZT12,-3.212571662143753,-3.382913435717053,-3.0542985609092224
ZT18,-3.319051713133013,-3.4686885944087043,-3.174593234729069
