gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,mean_ZT6,mean_ZT12,mean_ZT18
Regulation of lipolysis in adipocytes,3,Adrb2;Fabp4;Ptgs2,1.903799115938067,0.22501045870242856,-1.6787886572356383,-0.22409223303340864,-0.3233741649186212
Ferroptosis,3,Gclc;Trf;Slc40a1,1.5305979095366231,-0.2594058882637208,-0.43662625983524833,1.0939716497013747,0.06550692667671865
ECM-receptor interaction,5,Comp;Spp1;Col4a1;Lama4;Thbs1,1.4554387842479222,0.5390879195272394,-0.428995210901553,0.3889259779988349,-0.9163508647206826
Cell adhesion molecules (CAMs),5,Cadm1;Cdh4;Cldn10;Cldn15;Pecam1,1.370510595897406,-0.6523721062484006,-0.9297089873360878,0.44080160856131817,-0.00017249923239869903
Circadian entrainment,6,Rasd1;Gng11;Gngt2;Per3;Per2;Per1,1.194295632293387,0.44840909805840873,-0.7458865342349784,-0.13173495713296415,-0.17668547650725352
IL-17 signaling pathway,10,Hsp90aa1;Il6;S100a8;Cxcl2;Cxcl5;Fosb;Ccl11;Ptgs2;Ccl7;Ccl2,1.1716308356963743,0.8576079509039488,0.12555840684879188,-0.3140228847924254,-0.27300700840239167
Mineral absorption,4,Mt1;Mt2;Trf;Slc40a1,1.1271533004063445,-0.1565911820350763,-0.7500384127455756,0.37711488766076895,-0.20559529224658793
Axon guidance,3,Efnb2;Nfatc2;Ephb3,1.0782982843288305,0.22940084285937357,0.7588674482644885,0.08795388296508994,-0.3194308360643419
