frac_misaligned_amplitude_larger
0.3166
0.613
0.267
0.4086
0.3018
0.2476
0.3366
0.3618
0.1876
0.5942
0.2204
0.5252
0.1264
0.2494
0.1266
0.291
0.3008
0.2648
0.6966
0.6954
0.3586
0.3106
0.48
0.2382
0.3788
0.3126
0.0304
0.2162
0.4078
0.5148
0.22
0.269
0.535
0.3922
0.6786
0.4702
0.2322
0.2942
0.6906
0.572
0.3378
0.6754
0.1912
0.363
0.59
0.2906
0.4064
0.3324
0.195
0.6278
0.2996
0.144
0.3264
0.396
0.7196
0.2232
0.2822
0.3066
0.3772
0.2858
