gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,mean_ZT6,mean_ZT12,mean_ZT18
Antigen processing and presentation,6,Cd74;Hsp90aa1;Hspa1l;Hspa8;Hspa1a;Hspa1b,1.5151724262637685,-0.40893383550230544,-0.03290879290742171,1.1062385907614631,-0.3383470410438143
Spliceosome,5,Hspa1l;Hspa1a;Hspa1b;Hspa8;Rbm8a,1.3396366091463352,-0.5370961748894189,-0.14273931908662793,0.8025404342569165,-0.26491016486881297
Cytosolic DNA-sensing pathway,3,Zbp1;Nfkbia;Il33,1.2021317384266177,0.5711881966472684,-0.6309435417793492,-0.1427286487933478,-0.12105046732608958
Inflammatory mediator regulation of TRP channels,7,Il1r1;Adcy5;Prkcd;Igf1;Pik3cb;Htr2a;Camk2b,0.8300251206082185,-0.309577590306654,0.14957829193510064,0.5204475303015645,0.058576918233207466
Dopaminergic synapse,10,Adcy5;Arntl;Gng8;Ppp1r1b;Cacna1d;Gsk3b;Fos;Clock;Camk2b;Ppp2cb,0.7022917598666867,-0.2951748537666932,0.4071169060999935,0.2564112120371249,0.21419621328316832
JAK-STAT signaling pathway,13,Cntfr;Il6ra;Ccnd1;Myc;Pdgfb;Pim1;Pik3cb;Il3ra;Ghr;Socs2;Il15ra;Cdkn1a;Fhl1,0.6966674644016048,-0.24758490855576676,-0.3209037368094458,0.375763727592159,0.0834767399630937
ErbB signaling pathway,9,Jun;Pik3cb;Gsk3b;Myc;Pak3;Pak6;Btc;Cdkn1a;Camk2b,0.6803292639044158,-0.3268079455271625,0.057972480445360144,0.35352131837725326,0.11974062312572979
Oocyte meiosis,8,Cdc20;Adcy5;Igf1;Ar;Pgr;Ccne2;Camk2b;Ppp2cb,0.6734356276946866,-0.2185816667371933,-0.09598403775948375,0.45485396095749325,0.008174612216914097
