ZT,mean_log10,ci_lo_log10,ci_hi_log10
ZT0,-3.503541064721584,-3.654999041878895,-3.354622065896333
ZT6,-3.840733701435355,-4.069548235524849,-3.5879075525037902
ZT12,-3.6568304063541395,-3.8052511323223985,-3.5056006629653065
ZT18,-3.6100681690387857,-3.754716311042333,-3.4682278774621755
