gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Spa17	0.44	0.18	0.18	0.54	1.0	-1524.8925	-1510.3335	-1514.3914	-1521.5548	0.0	-1.4495214	-11.56341487016461	1.8763538016183414	0.14476190476190476	456
Ccdc114	0.4399999999999999	0.1	0.1	0.68	0.9599999999999996	-584.6658	-582.8235	-582.73224	-585.4842	0.0	0.35543546	-12.897742820978152	1.4371349548200243	0.04349206349206349	137
Nenf	0.38	0.37	0.37	0.53	1.0	-8111.5244	-7998.288	-8082.036	-8017.171	0.0	-40.97721	-7.634505341613235	1.9614556088303505	0.9917460317460317	3124
Samd4b	0.27	0.4	0.27	0.57	1.0	-3542.3503	-3495.007	-3536.575	-3500.4187	0.0	-18.21068	-10.02123379450524	3.5208932538412565	0.48412698412698413	1525
Lrig2	0.41	0.34	0.34	0.57	1.0	-1609.0521	-1591.38	-1597.829	-1601.4202	0.0	-3.3145173	-11.414860192842173	1.7984434278997057	0.16444444444444445	518
Tmx1	0.21	0.47	0.21	0.54	1.0	-3575.0593	-3544.0488	-3567.4734	-3550.563	0.0	-10.638624	-9.997738810857959	2.9874264913349	0.5165079365079365	1627
Mrnip	0.31	0.22	0.22	0.59	1.0	-365.3924	-359.71805	-364.40054	-361.6316	0.0	-1.633296	-13.56641360817676	2.1051508884751122	0.02412698412698413	76
Cep78	0.43	0.22	0.22	0.59	1.0	-839.9372	-832.0192	-839.6792	-831.7739	0.0	-3.5452626	-12.421961044516223	1.934230054223363	0.06888888888888889	217
Dlx1as	0.34	0.46	0.34	0.58	1.0	-9.576981	-9.626932	-9.525709	-9.619711	1.0	0.018557547	-17.813733339047737	3.0329725267782264	0.00031746031746031746	1
Nefh	0.12	0.49	0.12	0.69	0.93	-13.359568	-15.57786	-13.526378	-15.338498	0.9248025	0.8594386	-17.146601213909747	0.020169073134671756	0.00031746031746031746	1
Dpp8	0.36	0.4499999999999999	0.36	0.65	1.0	-2929.734	-2899.7427	-2921.393	-2908.6155	0.0	-9.171608	-10.386740309667953	5.999063016498466	0.37492063492063493	1181
Gm8883	0.38	0.44	0.38	0.62	1.0	-29.804256	-30.010483	-29.654978	-30.164434	1.0	0.15642332	-16.60884790376501	2.2698774634124224	0.0012698412698412698	4
Adra1b	0.35	0.29	0.29	0.57	1.0	-898.4834	-887.69617	-891.83185	-895.4518	0.0	-1.3166142	-12.332604874030459	1.9714623215766602	0.06888888888888889	217
Sh3bp5l	0.41	0.32	0.32	0.64	1.0	-1414.3	-1400.6865	-1405.6733	-1409.1145	0.0	-2.2520545	-11.579318350132718	0.9174237001268164	0.1415873015873016	446
Slf1	0.4399999999999999	0.36	0.36	0.42	1.0	-1757.4037	-1751.7324	-1759.9641	-1749.9934	0.0	-3.218243	-11.282024337459557	4.688558122669269	0.18476190476190477	582
Fam13a	0.22	0.24	0.22	0.5	1.0	-1810.35	-1795.6985	-1811.3715	-1797.1716	0.0	-5.7232823	-11.323922804269024	2.3175001875205212	0.16793650793650794	529
Zfp612	0.4499999999999999	0.4	0.4	0.68	0.9599999999999996	-2175.6753	-2148.642	-2169.705	-2152.4976	0.0	-10.065962	-10.943667280623258	4.536284799335475	0.23365079365079366	736
Cdc42ep1	0.09	0.14	0.09	0.52	1.0	-549.2318	-550.371	-549.8495	-551.22705	0.45777968	0.86652136	-13.138152347806102	3.583592674894994	0.03936507936507937	124
Fgr	0.41	0.03	0.03	0.77	0.69	-188.56612	-192.01677	-189.55688	-192.834	0.71287507	1.8535181	-14.431393827518004	1.4733243339805338	0.010793650793650795	34
Snai1	0.29	0.11	0.11	0.62	1.0	-169.25037	-166.97256	-168.05844	-168.83984	0.0	-0.17828764	-14.648566876144756	1.8870558956485919	0.008253968253968255	26
Cd2ap	0.34	0.41	0.34	0.58	1.0	-5543.3364	-5391.9067	-5536.124	-5401.5103	0.0	-61.594322	-9.089897113293116	2.2864368841403615	0.76	2394
Ccl19	0.38	0.13	0.13	0.44	1.0	-1174.089	-1180.4889	-1182.9357	-1172.8735	0.0	-0.527865	-12.002124818656162	1.7427585899690214	0.0980952380952381	309
E130307A14Rik	0.4399999999999999	0.39	0.39	0.6	1.0	-1122.2009	-1095.5809	-1113.559	-1101.8433	0.0	-8.841222	-11.983385086224095	5.38160001536594	0.09650793650793651	304
Nubp1	0.25	0.32	0.25	0.56	1.0	-2071.1982	-2054.0789	-2063.6152	-2062.4316	0.0	-3.8072867	-10.955920101068934	0.8352349358531557	0.2473015873015873	779
1500009L16Rik	0.42	0.41	0.41	0.58	1.0	-3430.8093	-3363.9707	-3400.3098	-3392.8352	0.0	-16.491951	-10.174756977021243	3.205573714170639	0.4012698412698413	1264
B3galt4	0.49	0.24	0.24	0.47	1.0	-929.8776	-920.42303	-924.7799	-924.4559	0.0	-2.3546374	-12.264891451779791	1.5173571041465719	0.08	252
Gm42702	0.4499999999999999	0.45	0.4499999999999999	0.5	1.0	-270.88776	-267.18057	-268.86966	-269.25375	0.0	-0.70963836	-13.896116295587607	1.055226728944258	0.01619047619047619	51
Gm12111	0.47	0.12	0.12	0.62	1.0	-43.55855	-44.411827	-43.220104	-44.75765	1.0	0.5207611	-16.1246946895385	1.6009253604812743	0.0019047619047619048	6
BC043934	0.3399999999999999	0.06	0.06	0.59	1.0	-435.54584	-440.25684	-437.19073	-441.28125	0.6508389	2.490858	-13.35201263727955	1.402685357926793	0.030476190476190476	96
