gene	log_min	log_max
Nab1	-11.380456	-7.926578
Nemp2	-15.564032	-12.110153
Mfsd6	-11.865202	-8.411324
Inpp1	-11.958533	-8.504655
Hibch	-12.45497	-9.001092
1700019D03Rik	-15.787175	-12.333297
Pms1	-14.688563	-11.234685
Ormdl1	-14.177737	-10.723859
Osgepl1	-12.9107895	-9.456911
Asnsd1	-12.5290785	-9.0752
Dnah7a	-17.17347	-13.719591
Stk17b	-11.85535	-8.401471
Hecw2	-14.128947	-10.675069
Ccdc150	-17.17347	-13.719591
Gtf3c3	-12.64087	-9.186992
Pgap1	-13.079125	-9.625247
Ankrd44	-12.169523	-8.715645
Sf3b1	-10.133809	-6.679931
Coq10b	-11.287366	-7.833488
Hspd1	-10.380003	-6.926125
Hspe1	-10.127693	-6.6738153
Mob4	-10.795043	-7.341165
Rftn2	-11.612788	-8.15891
Gm10561	-13.166137	-9.712258
Mars2	-14.128947	-10.675069
Plcl1	-12.651681	-9.197803
Satb2	-15.38171	-11.927832
9130024F11Rik	-14.6085205	-11.154642
1700066M21Rik	-14.229031	-10.775152
Tyw5	-12.651681	-9.197803
Maip1	-12.268195	-8.814317
Spats2l	-10.891203	-7.437325
Kctd18	-13.344828	-9.890949
Sgo2a	-14.46542	-11.011541
Aox1	-13.079125	-9.625247
Aox3	-14.870885	-11.4170065
Bzw1	-11.048786	-7.594908
Clk1	-10.734119	-7.2802415
Ppil3	-12.568299	-9.114421
Nif3l1	-13.535883	-10.082005
Orc2	-12.411296	-8.9574175
Gm15834	-16.074858	-12.620979
Fam126b	-11.005953	-7.552075
Ndufb3	-10.010297	-6.556419
Cflar	-11.126098	-7.6722198
Casp8	-12.76675	-9.312872
Trak2	-11.668138	-8.214259
Stradb	-13.014586	-9.560708
Tmem237	-12.45497	-9.001092
G730003C15Rik	-15.38171	-11.927832
Als2	-14.082427	-10.628549
Cdk15	-17.17347	-13.719591
Fzd7	-12.313657	-8.859778
Sumo1	-10.933193	-7.4793153
Nop58	-11.648017	-8.194139
Bmpr2	-10.701123	-7.2472453
Fam117b	-12.791443	-9.337564
Ica1l	-16.480322	-13.0264435
Wdr12	-12.588502	-9.134624
Carf	-13.41227	-9.958391
Nbeal1	-10.192464	-6.738586
Cyp20a1	-12.162834	-8.708956
Abi2	-11.905611	-8.451733
Raph1	-11.249214	-7.7953362
Cd28	-17.17347	-13.719591
Icos	-17.17347	-13.719591
Pard3b	-11.974973	-8.521094
Pard3bos1	-16.480322	-13.0264435
Nrp2	-13.806173	-10.352295
Ino80d	-11.744123	-8.290245
Ino80dos	-14.177737	-10.723859
Gm20342	-13.38928	-9.935402
Ndufs1	-11.692831	-8.238953
Eef1b2	-9.365959	-5.9120817
Zdbf2	-14.976245	-11.522367
Fastkd2	-13.203177	-9.749299
Klf7	-10.898707	-7.4448295
Creb1	-11.496716	-8.042837
Mettl21a	-13.030334	-9.576456
2810408I11Rik	-14.688563	-11.234685
Ccnyl1	-13.535883	-10.082005
Fzd5	-12.500641	-9.046762
Plekhm3	-12.816761	-9.362883
Idh1	-12.176257	-8.722379
Pikfyve	-12.345156	-8.891277
Pth2r	-16.480322	-13.0264435
Map2	-13.806173	-10.352295
Rpe	-12.377679	-8.9238
Kansl1l	-11.684532	-8.230654
Acadl	-10.831348	-7.3774705
Myl1	-16.480322	-13.0264435
Lancl1	-11.958533	-8.504655
Erbb4	-14.6085205	-11.154642
Gm29114	-17.17347	-13.719591
Ikzf2	-12.754629	-9.300751
Gm28112	-15.564032	-12.110153
Bard1	-15.0940275	-11.640149
Atic	-12.085874	-8.631995
Fn1	-8.868975	-5.4150968
Apol7d	-15.38171	-11.927832
Mreg	-14.688563	-11.234685
Pecr	-12.855982	-9.402103
Xrcc5	-12.598759	-9.14488
Smarcal1	-12.983815	-9.529937
Rpl37a	-7.8177304	-4.363853
Igfbp2	-13.4358	-9.981921
Igfbp5	-12.002986	-8.549108
Tns1	-9.001305	-5.547427
Arpc2	-9.321031	-5.8671527
Gpbar1	-16.480322	-13.0264435
Aamp	-10.964879	-7.511001
Pnkd	-10.941022	-7.487144
Tmbim1	-11.449884	-7.9960065
Gm29358	-15.787175	-12.333297
Catip	-17.17347	-13.719591
Slc11a1	-16.480322	-13.0264435
Ctdsp1	-11.281825	-7.827947
Vil1	-17.17347	-13.719591
Usp37	-13.046335	-9.592457
Cnot9	-13.484591	-10.030712
Plcd4	-16.074858	-12.620979
Zfp142	-12.983815	-9.529937
Bcs1l	-13.344828	-9.890949
Rnf25	-13.166137	-9.712258
Stk36	-15.0940275	-11.640149
Ttll4	-13.535883	-10.082005
Cyp27a1	-13.707733	-10.253855
Prkag3	-15.787175	-12.333297
Wnt6	-15.787175	-12.333297
Ihh	-14.775575	-11.321696
Nhej1	-14.128947	-10.675069
Slc23a3	-16.480322	-13.0264435
Cnppd1	-12.446082	-8.992204
Retreg2	-12.123613	-8.669735
Zfand2b	-12.385978	-8.932099
Abcb6	-14.976245	-11.522367
Atg9a	-12.46394	-9.010061
Ankzf1	-13.28165	-9.827771
Glb1l	-13.509908	-10.056029
Stk16	-11.427266	-7.973388
Tuba4a	-13.261447	-9.807569
Dnajb2	-11.731051	-8.277173
Ptprn	-14.46542	-11.011541
Dnpep	-12.031806	-8.577928
Des	-11.3183975	-7.8645196
Speg	-10.734119	-7.2802415
Gmppa	-12.169523	-8.715645
